label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight	rss_kib	rings_built	monitors	short_reads	reads_per_ask
sz16384	product	off	cold	stride	16384	500000	1	1	0	0	256	252494	361618	425094	42793	68823368	3720	9	0	0	99.6	0.000	1	1	192	1	0	0	1.00
sz16384	product_ahead	off	cold	stride	16384	500000	1	1	0	1	256	129179	289244	358618	32669	35484265	7214	9	0	0	99.6	0.000	2	2	48	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	1	1	0	2	256	231072	330410	447906	43917	62467334	4098	10	0	0	99.6	0.000	0	0	36	0	0	0	0.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	0	3	256	243456	326222	405708	35077	64465814	3971	9	0	0	99.6	0.000	0	1	48	0	0	0	0.00
sz16384	product_ahead	off	cold	stride	16384	500000	1	1	1	0	256	125180	254064	377368	45222	36150620	7081	9	0	0	99.6	0.000	2	2	36	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	1	1	1	1	256	281399	402212	470578	86532	74644517	3430	10	0	0	99.6	0.000	0	0	16	0	0	0	0.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	1	2	256	252190	373163	453536	38746	68579690	3733	9	0	0	99.6	0.000	0	1	48	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	1	1	1	3	256	245429	335021	407683	40920	65724430	3895	9	0	0	99.6	0.000	1	1	0	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	1	1	2	0	256	250794	324854	397524	47937	65482299	3909	10	0	0	99.6	0.000	0	0	20	0	0	0	0.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	2	1	256	234740	323830	369169	35513	61448225	4166	9	0	0	99.6	0.000	0	1	16	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	1	1	2	2	256	298328	370748	428481	58823	77315028	3311	9	0	0	99.6	0.000	1	1	28	1	0	0	1.00
sz16384	product_ahead	off	cold	stride	16384	500000	1	1	2	3	256	145391	272804	346975	70475	40100824	6384	9	0	0	99.6	0.000	2	2	0	1	0	0	1.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	3	0	256	266983	357772	433077	42744	71029576	3604	9	0	0	99.6	0.000	0	1	0	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	1	1	3	1	256	219506	279458	356690	35156	57674327	4439	9	0	0	99.6	0.000	1	1	0	1	0	0	1.00
sz16384	product_ahead	off	cold	stride	16384	500000	1	1	3	2	256	124531	216303	315583	33816	32492637	7879	9	0	0	99.6	0.000	2	2	8	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	1	1	3	3	256	237311	306360	351482	61941	62340970	4106	10	0	0	99.6	0.001	0	0	0	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	1	1	4	0	256	254037	317666	379947	50026	66934386	3825	9	0	0	99.6	0.000	1	1	0	1	0	0	1.00
sz16384	product_ahead	off	cold	stride	16384	500000	1	1	4	1	256	119514	202856	262173	37116	31754628	8062	9	0	0	99.6	0.001	2	2	0	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	1	1	4	2	256	238870	306321	347284	54463	63392664	4038	10	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	4	3	256	246288	328636	425184	37087	65341987	3918	9	0	0	99.6	0.000	0	1	0	0	0	0	0.00
sz16384	product_ahead	off	cold	stride	16384	500000	1	1	5	0	256	131415	232981	450178	42790	34503973	7419	9	0	0	99.6	0.000	2	2	0	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	1	1	5	1	256	248548	329048	1966100	67225	78674049	3254	10	0	0	99.6	0.000	0	0	12	0	0	0	0.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	5	2	256	271441	375463	445579	35459	71741157	3568	9	0	0	99.6	0.000	0	1	0	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	1	1	5	3	256	239040	322377	410282	32842	63002542	4063	9	0	0	99.6	0.000	1	1	0	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	1	1	6	0	256	252979	324211	403444	58522	67811648	3775	10	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	6	1	256	238009	310094	359038	42567	62909699	4069	9	0	0	99.6	0.000	0	1	16	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	1	1	6	2	256	218296	278051	324301	35753	57318388	4466	9	0	0	99.6	0.000	1	1	0	1	0	0	1.00
sz16384	product_ahead	off	cold	stride	16384	500000	1	1	6	3	256	119134	202118	283593	30791	31192035	8207	9	0	0	99.6	0.000	2	2	0	1	0	0	1.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	7	0	256	233512	304126	370482	41458	63304727	4044	9	0	0	99.6	0.000	0	1	0	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	1	1	7	1	256	250535	354156	421472	34196	67361727	3800	9	0	0	99.6	0.000	1	1	0	1	0	0	1.00
sz16384	product_ahead	off	cold	stride	16384	500000	1	1	7	2	256	131085	267768	354132	35961	35419073	7228	9	0	0	99.6	0.000	2	2	0	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	1	1	7	3	256	253238	354949	411915	58660	67692068	3782	10	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	1	1	8	0	256	330898	424326	477008	74053	85053038	3010	9	0	0	99.6	0.000	1	1	0	1	0	0	1.00
sz16384	product_ahead	off	cold	stride	16384	500000	1	1	8	1	256	162725	351384	395304	74891	45810394	5588	9	0	0	99.6	0.000	2	2	0	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	1	1	8	2	256	223661	355125	490970	59456	62651444	4086	10	0	0	99.6	0.000	0	0	16	0	0	0	0.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	8	3	256	253600	350781	423868	41710	67131122	3813	9	0	0	99.6	0.000	0	1	0	0	0	0	0.00
sz16384	product_ahead	off	cold	stride	16384	500000	1	1	9	0	256	122251	249822	365176	31469	33906228	7550	9	0	0	99.6	0.000	2	2	0	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	1	1	9	1	256	228915	287280	332308	43241	59240578	4321	10	0	0	99.6	0.000	0	0	4	0	0	0	0.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	9	2	256	253284	333917	409896	43365	67260268	3806	9	0	0	99.6	0.000	0	1	0	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	1	1	9	3	256	233913	298097	380220	34057	61103144	4190	9	0	0	99.6	0.000	1	1	0	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	1	1	10	0	256	226116	364079	446194	42090	62952130	4067	10	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	10	1	256	250837	339635	411503	35891	66565858	3846	9	0	0	99.6	0.000	0	1	12	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	1	1	10	2	256	325252	441284	532234	85235	85120868	3007	9	0	0	99.6	0.000	1	1	0	1	0	0	1.00
sz16384	product_ahead	off	cold	stride	16384	500000	1	1	10	3	256	121046	229716	285521	32895	32328688	7919	9	0	0	99.6	0.000	2	2	0	1	0	0	1.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	11	0	256	238887	300107	337631	38444	62479433	4097	9	0	0	99.6	0.000	0	1	0	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	1	1	11	1	256	223813	292884	327247	35030	61177546	4185	9	0	0	99.6	0.000	1	1	0	1	0	0	1.00
sz16384	product_ahead	off	cold	stride	16384	500000	1	1	11	2	256	122695	272553	383844	27589	34355306	7452	9	0	0	99.6	0.000	2	2	16	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	1	1	11	3	256	237040	332668	459641	46171	63300912	4044	10	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	2	1	0	0	256	125454	218038	303541	30544	32639850	7843	9	0	0	99.6	0.000	2	2	0	1	0	0	1.00
sz16384	product_ahead	off	cold	stride	16384	500000	2	1	0	1	256	73978	184708	254866	24500	21929664	11674	9	0	0	99.6	0.000	3	3	16	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	2	1	0	2	256	243113	328087	462869	49998	32560420	7862	12	0	0	99.6	0.000	0	0	32	0	0	0	0.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	2	1	0	3	256	253878	362028	407593	29437	34191234	7487	9	0	0	99.6	0.000	0	2	32	0	0	0	0.00
sz16384	product_ahead	off	cold	stride	16384	500000	2	1	1	0	256	77202	205547	264267	35798	23738441	10784	9	0	0	99.6	0.000	3	3	24	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	2	1	1	1	256	291916	388386	494326	92788	39139250	6541	12	0	0	99.6	0.000	0	0	8	0	0	0	0.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	2	1	1	2	256	295569	394144	1404707	59659	43416661	5896	9	0	0	99.6	0.000	0	2	20	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	2	1	1	3	256	133723	231403	304244	49684	35276872	7257	9	0	0	99.6	0.000	2	2	0	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	2	1	2	0	256	246762	341878	446656	53930	33269201	7695	12	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	2	1	2	1	256	224526	305851	397946	29267	30084133	8509	9	0	0	99.6	0.000	0	2	16	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	2	1	2	2	256	118015	200595	258055	31396	30483154	8398	9	0	0	99.6	0.000	2	2	0	1	0	0	1.00
sz16384	product_ahead	off	cold	stride	16384	500000	2	1	2	3	256	78273	197180	274733	27343	22713641	11271	9	0	0	99.6	0.000	3	3	32	1	0	0	1.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	2	1	3	0	256	263493	366816	443243	31293	35663430	7178	9	0	0	99.6	0.000	0	2	48	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	2	1	3	1	256	118208	252013	355744	28788	33528826	7635	9	0	0	99.6	0.000	2	2	4	1	0	0	1.00
sz16384	product_ahead	off	cold	stride	16384	500000	2	1	3	2	256	79923	175822	241525	27514	22035195	11618	9	0	0	99.6	0.000	3	3	0	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	2	1	3	3	256	238285	348160	419311	51553	32256380	7936	11	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	2	1	4	0	256	116804	217774	296555	37924	32215471	7946	9	0	0	99.6	0.000	2	2	32	1	0	0	1.00
sz16384	product_ahead	off	cold	stride	16384	500000	2	1	4	1	256	77683	178246	249231	34519	22623102	11316	9	0	0	99.6	0.000	3	3	16	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	2	1	4	2	256	245389	338242	440422	58479	32960634	7767	12	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	2	1	4	3	256	233055	313296	412063	35784	31815005	8047	9	0	0	99.6	0.000	0	2	0	0	0	0	0.00
sz16384	product_ahead	off	cold	stride	16384	500000	2	1	5	0	256	79036	191733	320819	27792	22851359	11203	9	0	0	99.6	0.000	3	3	12	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	2	1	5	1	256	240248	331614	425974	44747	32063333	7984	11	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	2	1	5	2	256	253866	384930	468180	32670	35272527	7258	9	0	0	99.6	0.000	0	2	0	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	2	1	5	3	256	124252	224664	312446	30094	32701973	7828	9	0	0	99.6	0.000	2	2	0	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	2	1	6	0	256	237173	333894	424725	46113	32017995	7996	12	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	2	1	6	1	256	244178	367326	447676	31099	33761098	7583	9	0	0	99.6	0.000	0	2	0	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	2	1	6	2	256	120314	220448	323959	27754	32275435	7932	9	0	0	99.6	0.000	2	2	0	1	0	0	1.00
sz16384	product_ahead	off	cold	stride	16384	500000	2	1	6	3	256	79648	191089	245946	30100	22450490	11403	9	0	0	99.6	0.000	3	3	16	1	0	0	1.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	2	1	7	0	256	235687	324917	422912	34905	32411380	7898	9	0	0	99.6	0.000	0	2	0	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	2	1	7	1	256	128078	261880	357930	31116	34506996	7419	9	0	0	99.6	0.000	2	2	32	1	0	0	1.00
sz16384	product_ahead	off	cold	stride	16384	500000	2	1	7	2	256	76778	187673	248643	28866	22411464	11423	9	0	0	99.6	0.000	3	3	0	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	2	1	7	3	256	271658	404711	1867644	54810	43547771	5879	12	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	product	off	cold	stride	16384	500000	2	1	8	0	256	122226	229723	406682	30391	33643492	7609	9	0	0	99.6	0.000	2	2	0	1	0	0	1.00
sz16384	product_ahead	off	cold	stride	16384	500000	2	1	8	1	256	72773	195669	248194	27186	22451614	11402	9	0	0	99.6	0.000	3	3	32	1	0	0	1.00
sz16384	pool	off	cold	stride	16384	500000	2	1	8	2	256	246862	339948	469074	57839	33479320	7647	12	0	0	99.6	0.000	0	0	0	0	0	0	0.00
sz16384	hybrid_lazyring	off	cold	stride	16384	500000	2	1	8	3	256	246414	352177	447292	33746	33860689	7560	9	0	0	99.6	0.000	0	2	44	0	0	0	0.00
