label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight	rss_kib	rings_built	monitors	short_reads	reads_per_ask
w3_d_short	uring	off	cold	stride	250000	500000	1	1	0	0	256	1109251	1223560	2717222	317944	293525530	872	9	0	0	100.0	0.000	0	1	292	0	0	0	0.00
w3_d_short	hybrid_lazyring	off	cold	stride	250000	500000	1	1	0	1	256	851715	1189979	2105992	203033	238137202	1075	9	0	0	99.6	0.000	0	1	496	0	0	0	0.00
w3_d_short	uring_ringfd	off	cold	stride	250000	500000	1	1	0	2	256	963017	1066785	1188307	223405	240505785	1064	9	0	0	100.0	0.000	0	1	260	0	0	0	0.00
w3_d_short	hybrid_lazyring_ringfd	off	cold	stride	250000	500000	1	1	0	3	256	888336	1198676	1333313	224682	241813845	1059	9	0	0	99.6	0.000	0	1	252	0	0	0	0.00
w3_d_short	hybrid_lazyring	off	cold	stride	250000	500000	1	1	1	0	256	812617	1519576	1665591	227716	236839942	1081	9	0	0	99.6	0.000	0	1	504	0	0	0	0.00
w3_d_short	uring_ringfd	off	cold	stride	250000	500000	1	1	1	1	256	823301	1010648	2082033	184288	222020268	1153	9	0	0	100.0	0.000	0	1	244	0	0	0	0.00
w3_d_short	hybrid_lazyring_ringfd	off	cold	stride	250000	500000	1	1	1	2	256	769575	886300	1036295	142157	202257611	1266	9	0	0	99.6	0.000	0	1	364	0	0	0	0.00
w3_d_short	uring	off	cold	stride	250000	500000	1	1	1	3	256	953770	1204586	1664791	234382	248414127	1031	9	0	0	100.0	0.000	0	1	252	0	0	0	0.00
w3_d_short	uring_ringfd	off	cold	stride	250000	500000	1	1	2	0	256	1228151	1424033	1534932	308418	288917751	886	9	0	0	100.0	0.000	0	1	252	0	0	0	0.00
w3_d_short	hybrid_lazyring_ringfd	off	cold	stride	250000	500000	1	1	2	1	256	1023903	1773408	1963519	222858	301264967	850	9	0	0	99.6	0.000	0	1	496	0	0	0	0.00
w3_d_short	uring	off	cold	stride	250000	500000	1	1	2	2	256	929018	1242940	1370881	226776	246980120	1037	9	0	0	100.0	0.000	0	1	0	0	0	0	0.00
w3_d_short	hybrid_lazyring	off	cold	stride	250000	500000	1	1	2	3	256	989029	1464197	1594282	268084	269229774	951	9	0	0	99.6	0.000	0	1	0	0	0	0	0.00
w3_d_short	hybrid_lazyring_ringfd	off	cold	stride	250000	500000	1	1	3	0	256	1120554	1546632	1660020	302246	288413289	888	9	0	0	99.6	0.000	0	1	0	0	0	0	0.00
w3_d_short	uring	off	cold	stride	250000	500000	1	1	3	1	256	904377	1561648	2332038	223989	263184060	973	9	0	0	100.0	0.000	0	1	0	0	0	0	0.00
