arm	trace	repeat	concurrency	region_start	region_frames	region_stride	mix_target	mix_achieved	hit_resident	miss_resident	asks	wall_ns	throughput_fps	p50_ns	p90_ns	p99_ns	max_ns	hop_count	hop_events	probe_ns_p50	probe_got_p50	hop_p50_ns	hop_p99_ns	gap_p99_ns	gap_max_ns	cpu_ns	cpu_per_ask_ns	threads_max	read_chunk	uring_depth	runtime
uring_nowait_whole	forward	1	1	0	128	600	1.0000	1.0000	0.0000	0.0016	128	14289495	8957.6	79087	104171	316259	2585519	128	128	16615	0	47381	239175	0	0	10641274	83134	5	65536	2	multi
uring_whole	forward	1	1	76800	128	600	1.0000	1.0000	0.0000	0.0000	128	13453041	9514.6	80844	128191	327193	1527860	127	127	0	0	48387	254439	0	0	9407418	73495	5	65536	2	multi
pread_nowait_escalate	forward	1	1	153600	128	600	1.0000	1.0000	0.0000	0.0000	128	12140119	10543.6	86499	123263	188479	237564	128	128	17846	0	60844	151774	0	0	10334073	80734	6	65536	2	multi
pread_blocking_pooled	forward	1	1	0	128	600	1.0000	1.0000	0.0000	0.0016	128	18574657	6891.1	94854	175514	1374800	2837168	128	128	0	0	89079	1361943	0	0	10252331	80096	6	65536	2	multi
uring_nowait_whole	forward	2	1	76800	128	600	1.0000	1.0000	0.0000	0.0000	128	14934282	8570.9	80568	141241	1372470	1506591	128	128	16937	0	46918	295801	0	0	11137919	87014	5	65536	2	multi
uring_whole	forward	2	1	153600	128	600	1.0000	1.0000	0.0000	0.0000	128	12318334	10391.0	80874	102339	188353	1327355	128	128	0	0	49300	133383	0	0	8426634	65833	5	65536	2	multi
pread_nowait_escalate	forward	2	1	0	128	600	1.0000	1.0000	0.0000	0.0016	128	17945902	7132.5	82812	202282	1388020	2757815	127	127	16187	0	60601	659582	0	0	10890755	85084	6	65536	2	multi
pread_blocking_pooled	forward	2	1	76800	128	600	1.0000	1.0000	0.0000	0.0000	128	13098893	9771.8	90010	122361	343121	491178	128	128	0	0	86890	314689	0	0	8863448	69245	6	65536	2	multi
uring_nowait_whole	forward	3	1	153600	128	600	1.0000	1.0000	0.0000	0.0000	128	12081982	10594.3	75843	116548	354887	1375476	128	128	16279	0	43858	131783	0	0	9699917	75780	5	65536	2	multi
uring_whole	forward	3	1	0	128	600	1.0000	1.0000	0.0000	0.0016	128	15251051	8392.9	79908	101961	1880671	2350039	128	128	0	0	47863	550476	0	0	9713337	75885	5	65536	2	multi
