arm	trace	repeat	concurrency	region_start	region_frames	region_stride	mix_target	mix_achieved	hit_resident	miss_resident	asks	wall_ns	throughput_fps	p50_ns	p90_ns	p99_ns	max_ns	hop_count	hop_events	probe_ns_p50	probe_got_p50	hop_p50_ns	hop_p99_ns	gap_p99_ns	gap_max_ns	cpu_ns	cpu_per_ask_ns	threads_max	read_chunk	uring_depth	runtime
pread_blocking_pooled	forward	1	1	0	128	600	1.0000	1.0000	0.0000	0.0016	128	12804594	9996.4	91359	107537	272426	552400	128	128	0	0	87586	266833	0	0	9639362	75307	6	65536	2	multi
pread_nowait_escalate	forward	1	1	76800	128	600	1.0000	1.0000	0.0000	0.0000	128	17806635	7188.3	90232	221638	760655	1396633	128	128	16869	0	64656	723841	0	0	10825818	84576	6	65536	2	multi
uring_whole	forward	1	1	153600	128	600	1.0000	1.0000	0.0000	0.0000	128	13610506	9404.5	79539	138228	374467	1292072	128	128	0	0	48020	216098	0	0	9189607	71793	5	65536	2	multi
uring_nowait_whole	forward	1	1	0	128	600	1.0000	1.0000	0.0000	0.0016	128	18437010	6942.6	81003	219780	2354817	2459756	127	127	17409	0	48367	718521	0	0	11187743	87404	5	65536	2	multi
pread_blocking_pooled	forward	2	1	76800	128	600	1.0000	1.0000	0.0000	0.0000	128	12769734	10023.7	86568	142405	279165	347376	128	128	0	0	82741	272511	0	0	9149829	71483	6	65536	2	multi
pread_nowait_escalate	forward	2	1	153600	128	600	1.0000	1.0000	0.0000	0.0000	128	11950529	10710.8	78475	138333	240576	301168	127	127	16779	0	55786	197686	0	0	11171507	87277	6	65536	2	multi
uring_whole	forward	2	1	0	128	600	1.0000	1.0000	0.0000	0.0016	128	15240618	8398.6	74545	106077	2280904	2664503	128	128	0	0	44599	599065	0	0	9509382	74292	5	65536	2	multi
uring_nowait_whole	forward	2	1	76800	128	600	1.0000	1.0000	0.0000	0.0000	128	13235087	9671.3	77174	102244	549727	1405546	128	128	16244	0	45551	320659	0	0	9017493	70449	5	65536	2	multi
pread_blocking_pooled	forward	3	1	153600	128	600	1.0000	1.0000	0.0000	0.0000	128	13889239	9215.8	89867	155173	285130	349058	128	128	0	0	85886	269171	0	0	9416318	73564	6	65536	2	multi
pread_nowait_escalate	forward	3	1	0	128	600	1.0000	1.0000	0.0000	0.0016	128	15739760	8132.3	77479	135318	1543700	2542329	128	128	16091	0	54165	823906	0	0	10866966	84898	6	65536	2	multi
uring_whole	forward	3	1	76800	128	600	1.0000	1.0000	0.0000	0.0000	128	14323856	8936.1	78898	145332	737764	1400550	128	128	0	0	47202	314818	0	0	9295857	72623	5	65536	2	multi
uring_nowait_whole	forward	3	1	153600	128	600	1.0000	1.0000	0.0000	0.0000	128	12489852	10248.3	78325	96267	284217	1368187	127	127	16430	0	46112	235083	0	0	8587358	67088	5	65536	2	multi
pread_blocking_pooled	forward	4	1	0	128	600	1.0000	1.0000	0.0000	0.0016	128	15724927	8139.9	94768	106430	1087046	2358567	128	128	0	0	86160	1082368	0	0	9469101	73977	6	65536	2	multi
pread_nowait_escalate	forward	4	1	76800	128	600	1.0000	1.0000	0.0000	0.0000	128	10955220	11683.9	78859	106537	207957	211791	128	128	16610	0	57598	142678	0	0	10516682	82161	6	65536	2	multi
uring_whole	forward	4	1	153600	128	600	1.0000	1.0000	0.0000	0.0000	128	11974246	10689.6	78296	90899	291935	1177895	128	128	0	0	47069	201930	0	0	8487630	66309	5	65536	2	multi
uring_nowait_whole	forward	4	1	0	128	600	1.0000	1.0000	0.0000	0.0016	128	15241720	8398.0	76887	100897	2028876	2713710	128	128	16750	0	44887	1006355	0	0	9411324	73525	5	65536	2	multi
