round	sessions	mode	cpu_ns_per_frame	cpu_ns_per_MB	MB_per_s	frames
1	1	write_all	783711	3918402	283.3	60
1	1	write_chunk	757361	3786656	316.7	60
1	4	write_all	518100	2590400	571.1	240
1	4	write_chunk	650061	3250176	456.2	240
1	16	write_all	538311	2691448	500.1	960
1	16	write_chunk	616645	3083106	470.0	960
1	32	write_all	603952	3019642	335.2	1920
1	32	write_chunk	658082	3290281	12.5	1920
2	1	write_all	694467	3472197	321.0	60
2	1	write_chunk	735864	3679173	303.9	60
2	4	write_all	572134	2860560	1.6	240
2	4	write_chunk	723684	3618278	459.5	240
2	16	write_all	544978	2724781	6.3	960
2	16	write_chunk	649897	3249356	465.0	960
2	32	write_all	552499	2762387	384.9	1920
2	32	write_chunk	630172	3150736	12.5	1920
3	1	write_all	718772	3593717	305.5	60
3	1	write_chunk	706335	3531535	334.5	60
3	4	write_all	592688	2963324	517.9	240
3	4	write_chunk	562499	2812383	1.6	240
3	16	write_all	578178	2890776	551.4	960
3	16	write_chunk	745555	3727626	438.0	960
3	32	write_all	564812	2823952	530.3	1920
3	32	write_chunk	700721	3503467	12.4	1920
4	1	write_all	758915	3794427	326.9	60
4	1	write_chunk	662208	3310910	387.2	60
4	4	write_all	534765	2673718	567.5	240
4	4	write_chunk	682321	3411471	491.4	240
4	16	write_all	552414	2761963	523.3	960
4	16	write_chunk	632158	3160665	507.4	960
4	32	write_all	550799	2753885	12.5	1920
4	32	write_chunk	705889	3529308	12.5	1920
5	1	write_all	823924	4119455	251.0	60
5	1	write_chunk	730382	3651764	277.2	60
5	4	write_all	1316026	6579867	139.6	240
5	4	write_chunk	666376	3331749	1.6	240
5	16	write_all	719111	3595413	6.3	960
5	16	write_chunk	823005	4114861	6.3	960
5	32	write_all	736551	3682612	426.1	1920
5	32	write_chunk	677533	3387532	12.5	1920
