round	sessions	arm	cpu_ns_per_frame	frames
1	1	before	623944	60
1	1	after	796349	60
1	16	before	546078	960
1	16	after	550092	960
2	1	before	760241	60
2	1	after	714536	60
2	16	before	535657	960
2	16	after	509720	960
3	1	before	641218	60
3	1	after	732891	60
3	16	before	532601	960
3	16	after	515302	960
4	1	before	604247	60
4	1	after	764336	60
4	16	before	547438	960
4	16	after	503573	960
5	1	before	729743	60
5	1	after	664246	60
5	16	before	558802	960
5	16	after	566047	960
6	1	before	784199	60
6	1	after	674110	60
6	16	before	551891	960
6	16	after	535553	960
7	1	before	699050	60
7	1	after	682664	60
7	16	before	528032	960
7	16	after	581129	960
8	1	before	595721	60
8	1	after	627108	60
8	16	before	536663	960
8	16	after	533624	960
