label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
x14_ringfd	pool	off	cold	stride	16384	250000	1	1	0	0	512	245477	353202	1928250	197088	134154074	3817	7	0	0	99.2	0.000
x14_ringfd	uring	off	cold	stride	16384	250000	1	1	0	1	512	220097	300535	414741	158904	110228238	4645	5	0	0	100.0	0.000
x14_ringfd	uring_ringfd	off	cold	stride	16384	250000	1	1	0	2	512	80790	103963	175879	58144	50449644	10149	5	0	0	100.0	0.000
x14_ringfd	hybrid_lazyring	off	cold	stride	16384	250000	1	1	0	3	512	208892	289701	384076	152317	106817781	4793	5	0	0	99.6	0.000
x14_ringfd	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	1	1	0	4	512	81213	106730	163914	49700	45528986	11246	5	0	0	99.0	0.000
x14_ringfd	uring	off	cold	stride	16384	250000	1	1	1	0	512	189360	262872	341885	154087	103504663	4947	5	0	0	100.0	0.000
x14_ringfd	uring_ringfd	off	cold	stride	16384	250000	1	1	1	1	512	65091	185773	280189	63517	53037213	9654	5	0	0	100.0	0.000
x14_ringfd	hybrid_lazyring	off	cold	stride	16384	250000	1	1	1	2	512	63636	77314	133548	43261	35040458	14612	5	0	0	99.2	0.000
x14_ringfd	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	1	1	1	3	512	75721	94208	125029	45593	39798325	12865	5	0	0	99.2	0.000
x14_ringfd	pool	off	cold	stride	16384	250000	1	1	1	4	512	106689	131701	164887	101556	57169012	8956	7	0	0	99.4	0.000
x14_ringfd	uring_ringfd	off	cold	stride	16384	250000	1	1	2	0	512	58192	72316	118106	41513	32053936	15973	5	0	0	100.0	0.000
x14_ringfd	hybrid_lazyring	off	cold	stride	16384	250000	1	1	2	1	512	78224	261214	1120429	92736	87953486	5821	5	0	0	99.6	0.000
x14_ringfd	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	1	1	2	2	512	63374	176085	700156	70712	52129997	9822	5	0	0	99.2	0.000
x14_ringfd	pool	off	cold	stride	16384	250000	1	1	2	3	512	114023	265922	372250	137123	85554588	5984	6	0	0	99.4	0.000
x14_ringfd	uring	off	cold	stride	16384	250000	1	1	2	4	512	160758	200547	273251	94189	64398107	7951	5	0	0	100.0	0.000
x14_ringfd	hybrid_lazyring	off	cold	stride	16384	250000	1	1	3	0	512	187839	222199	376703	153933	102390404	5000	5	0	0	99.6	0.000
x14_ringfd	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	1	1	3	1	512	70197	80924	125877	45909	41563889	12318	5	0	0	99.4	0.000
x14_ringfd	pool	off	cold	stride	16384	250000	1	1	3	2	512	99958	131233	306879	96445	57483790	8907	6	0	0	99.0	0.000
x14_ringfd	uring	off	cold	stride	16384	250000	1	1	3	3	512	71022	85121	134764	42152	38856831	13177	5	0	0	100.0	0.000
x14_ringfd	uring_ringfd	off	cold	stride	16384	250000	1	1	3	4	512	58973	78631	114217	39854	33241206	15403	5	0	0	100.0	0.000
x14_ringfd	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	1	1	4	0	512	75957	85223	131799	44541	40073993	12776	5	0	0	99.0	0.000
x14_ringfd	pool	off	cold	stride	16384	250000	1	1	4	1	512	102443	121970	164867	91889	54319305	9426	6	0	0	99.6	0.000
x14_ringfd	uring	off	cold	stride	16384	250000	1	1	4	2	512	58682	74303	118574	41874	32120222	15940	5	0	0	100.0	0.000
x14_ringfd	uring_ringfd	off	cold	stride	16384	250000	1	1	4	3	512	71675	80312	124504	38990	38119365	13431	5	0	0	100.0	0.000
x14_ringfd	hybrid_lazyring	off	cold	stride	16384	250000	1	1	4	4	512	77770	204616	312582	89175	64900621	7889	5	0	0	99.2	0.000
x14_ringfd	pool	off	cold	stride	16384	250000	1	1	5	0	512	99458	119584	148295	88748	53168794	9630	6	0	0	99.6	0.000
x14_ringfd	uring	off	cold	stride	16384	250000	1	1	5	1	512	72550	88869	126132	41513	39401790	12994	5	0	0	100.0	0.000
x14_ringfd	uring_ringfd	off	cold	stride	16384	250000	1	1	5	2	512	70927	231120	303357	68096	55447923	9234	5	0	0	100.0	0.000
x14_ringfd	hybrid_lazyring	off	cold	stride	16384	250000	1	1	5	3	512	72915	98813	202954	48338	42722214	11984	5	0	0	99.6	0.000
x14_ringfd	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	1	1	5	4	512	185936	216155	316270	132428	90608319	5651	5	0	0	99.6	0.000
x14_ringfd	pool	off	cold	stride	16384	250000	4	1	0	0	512	174818	302555	417486	96363	24679749	20746	12	0	0	99.4	0.000
x14_ringfd	uring	off	cold	stride	16384	250000	4	1	0	1	512	138066	239110	663679	28498	24512534	20887	5	0	0	100.0	0.000
x14_ringfd	uring_ringfd	off	cold	stride	16384	250000	4	1	0	2	512	140101	307226	675686	29123	24637768	20781	5	0	0	100.0	0.000
x14_ringfd	hybrid_lazyring	off	cold	stride	16384	250000	4	1	0	3	512	91939	128093	169930	23195	16861238	30366	5	0	0	99.6	0.000
x14_ringfd	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	4	1	0	4	512	86750	119659	226782	21485	16406929	31206	5	0	0	99.4	0.000
x14_ringfd	uring	off	cold	stride	16384	250000	4	1	1	0	512	130035	150212	181520	17677	17467822	29311	5	0	0	100.0	0.000
x14_ringfd	uring_ringfd	off	cold	stride	16384	250000	4	1	1	1	512	123833	152324	200723	17563	17277531	29634	5	0	0	100.0	0.000
x14_ringfd	hybrid_lazyring	off	cold	stride	16384	250000	4	1	1	2	512	99469	545247	688149	37119	25140096	20366	5	0	0	99.6	0.000
x14_ringfd	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	4	1	1	3	512	91664	133191	178674	24058	16575536	30889	5	0	0	99.4	0.000
x14_ringfd	pool	off	cold	stride	16384	250000	4	1	1	4	512	151323	211952	348973	67280	20486026	24993	13	0	0	98.8	0.000
x14_ringfd	uring_ringfd	off	cold	stride	16384	250000	4	1	2	0	512	128383	147260	181727	17329	17345697	29517	5	0	0	100.0	0.000
x14_ringfd	hybrid_lazyring	off	cold	stride	16384	250000	4	1	2	1	512	88462	116613	151719	19862	15733017	32543	5	0	0	99.4	0.000
x14_ringfd	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	4	1	2	2	512	87609	120849	169194	20375	15952565	32095	5	0	0	99.6	0.000
x14_ringfd	pool	off	cold	stride	16384	250000	4	1	2	3	512	160720	338671	483847	96415	25024849	20460	13	0	0	99.4	0.000
x14_ringfd	uring	off	cold	stride	16384	250000	4	1	2	4	512	134528	607964	694456	32365	25908828	19762	5	0	0	100.0	0.000
x14_ringfd	hybrid_lazyring	off	cold	stride	16384	250000	4	1	3	0	512	87951	118560	151173	20680	15874085	32254	5	0	0	99.2	0.000
x14_ringfd	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	4	1	3	1	512	77919	135312	276361	27407	16890523	30313	5	0	0	98.6	0.000
x14_ringfd	pool	off	cold	stride	16384	250000	4	1	3	2	512	154813	276126	488450	87977	22930410	22328	15	0	0	99.0	0.000
x14_ringfd	uring	off	cold	stride	16384	250000	4	1	3	3	512	128798	150240	214901	18907	17701988	28923	5	0	0	100.0	0.000
x14_ringfd	uring_ringfd	off	cold	stride	16384	250000	4	1	3	4	512	126428	149043	235706	17078	17184975	29793	5	0	0	100.0	0.000
x14_ringfd	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	4	1	4	0	512	87400	121142	247478	19725	16070701	31859	5	0	0	99.6	0.000
x14_ringfd	pool	off	cold	stride	16384	250000	4	1	4	1	512	146930	200612	273778	68454	19333327	26483	11	0	0	99.2	0.000
x14_ringfd	uring	off	cold	stride	16384	250000	4	1	4	2	512	116382	139297	168294	16884	16086578	31828	5	0	0	100.0	0.000
x14_ringfd	uring_ringfd	off	cold	stride	16384	250000	4	1	4	3	512	112989	150293	226161	16093	15830296	32343	5	0	0	100.0	0.000
x14_ringfd	hybrid_lazyring	off	cold	stride	16384	250000	4	1	4	4	512	86662	127114	158604	27164	15748737	32511	5	0	0	99.6	0.000
x14_ringfd	pool	off	cold	stride	16384	250000	4	1	5	0	512	143579	214087	308498	68182	19303595	26524	13	0	0	98.2	0.000
x14_ringfd	uring	off	cold	stride	16384	250000	4	1	5	1	512	111949	143774	283397	16371	18846266	27167	5	0	0	100.0	0.000
x14_ringfd	uring_ringfd	off	cold	stride	16384	250000	4	1	5	2	512	110508	134388	234796	15682	15483502	33067	5	0	0	100.0	0.000
x14_ringfd	hybrid_lazyring	off	cold	stride	16384	250000	4	1	5	3	512	84390	120614	169981	27840	14996446	34141	5	0	0	99.2	0.000
x14_ringfd	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	4	1	5	4	512	74608	114412	151825	23248	14045515	36453	5	0	0	99.4	0.000
x14_ringfd	pool	off	cold	stride	16384	250000	1	8	0	0	4096	58985	298316	1564245	45922	93400960	43854	24	0	0	34.4	0.000
x14_ringfd	uring	off	cold	stride	16384	250000	1	8	0	1	4096	17995	250416	1888300	25390	68143023	60109	5	0	0	100.0	0.000
x14_ringfd	uring_ringfd	off	cold	stride	16384	250000	1	8	0	2	4096	65797	278696	1558654	44792	91052572	44985	5	0	0	100.0	0.000
x14_ringfd	hybrid_lazyring	off	cold	stride	16384	250000	1	8	0	3	4096	40323	286118	1005577	33920	80057713	51163	5	0	0	34.0	0.000
x14_ringfd	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	1	8	0	4	4096	59030	436443	2310639	52078	110052345	37219	5	0	0	33.7	0.000
x14_ringfd	uring	off	cold	stride	16384	250000	1	8	1	0	4096	26418	274389	1740380	31787	81058682	50531	5	0	0	100.0	0.000
