label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
x14_ringfd_safety	pool	off	cold	stride	16384	250000	1	8	0	0	4096	8048	271009	1534273	33253	64230044	63771	22	17040	1869134	35.4	0.000
x14_ringfd_safety	uring	off	cold	stride	16384	250000	1	8	0	1	4096	9739	232145	1280173	30670	60153370	68093	5	17242	2568480	100.0	0.000
x14_ringfd_safety	uring_ringfd	off	cold	stride	16384	250000	1	8	0	2	4096	9180	218139	1913451	27572	62102297	65956	5	16788	4524560	100.0	0.000
x14_ringfd_safety	hybrid_lazyring	off	cold	stride	16384	250000	1	8	0	3	4096	8456	223218	1648925	27911	59384606	68974	5	18079	2312115	35.6	0.000
x14_ringfd_safety	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	1	8	0	4	4096	8474	232733	1325201	28836	60757315	67416	5	17583	1632109	36.0	0.000
x14_ringfd_safety	uring	off	cold	stride	16384	250000	1	8	1	0	4096	9975	235515	1607583	29520	64322121	63679	5	16685	3258198	100.0	0.000
x14_ringfd_safety	uring_ringfd	off	cold	stride	16384	250000	1	8	1	1	4096	12863	219427	1162824	27565	58284798	70276	5	20254	5099539	100.0	0.000
x14_ringfd_safety	hybrid_lazyring	off	cold	stride	16384	250000	1	8	1	2	4096	8256	207932	1393207	27220	56089389	73026	5	16522	1983044	35.8	0.000
x14_ringfd_safety	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	1	8	1	3	4096	7889	205911	1302193	26270	55105534	74330	5	16747	3125727	34.7	0.000
x14_ringfd_safety	pool	off	cold	stride	16384	250000	1	8	1	4	4096	7457	258250	1508159	31971	64315679	63686	23	16455	2273205	33.7	0.000
x14_ringfd_safety	uring_ringfd	off	cold	stride	16384	250000	1	8	2	0	4096	8573	211617	1815171	29085	59395818	68961	5	15612	2939656	100.0	0.000
x14_ringfd_safety	hybrid_lazyring	off	cold	stride	16384	250000	1	8	2	1	4096	8315	227361	1411087	26429	61423236	66685	5	21004	8278351	37.3	0.000
x14_ringfd_safety	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	1	8	2	2	4096	8501	218526	1169206	27966	59387976	68970	5	18677	2627332	36.2	0.000
x14_ringfd_safety	pool	off	cold	stride	16384	250000	1	8	2	3	4096	8471	298674	1045146	33959	70093905	58436	21	24981	1659660	35.5	0.000
x14_ringfd_safety	uring	off	cold	stride	16384	250000	1	8	2	4	4096	10285	218177	1681238	30420	59671188	68643	5	17752	3136789	100.0	0.000
x14_ringfd_safety	hybrid_lazyring	off	cold	stride	16384	250000	1	8	3	0	4096	7969	230134	2289027	28859	61103743	67034	5	30010	7949134	34.1	0.000
x14_ringfd_safety	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	1	8	3	1	4096	8252	225967	1255468	27010	57307605	71474	5	16306	1375020	36.1	0.000
x14_ringfd_safety	pool	off	cold	stride	16384	250000	1	8	3	2	4096	8209	267730	1317121	33376	65348181	62680	19	56330	4538862	35.3	0.000
x14_ringfd_safety	uring	off	cold	stride	16384	250000	1	8	3	3	4096	8879	202845	2300878	28071	58208761	70367	5	18458	4299348	100.0	0.000
x14_ringfd_safety	uring_ringfd	off	cold	stride	16384	250000	1	8	3	4	4096	7979	203416	1890738	26184	55922313	73244	5	20148	5363776	100.0	0.000
x14_ringfd_safety	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	1	8	4	0	4096	8101	223625	1597940	26976	56567597	72409	5	16585	1831492	35.4	0.000
x14_ringfd_safety	pool	off	cold	stride	16384	250000	1	8	4	1	4096	7044	257413	2101088	30807	65371122	62658	23	16725	4549870	33.3	0.000
x14_ringfd_safety	uring	off	cold	stride	16384	250000	1	8	4	2	4096	7983	204207	2403367	28566	59553186	68779	5	19120	3169980	100.0	0.000
x14_ringfd_safety	uring_ringfd	off	cold	stride	16384	250000	1	8	4	3	4096	17356	223001	1237985	31513	67307987	60855	5	16098	2903096	100.0	0.000
x14_ringfd_safety	hybrid_lazyring	off	cold	stride	16384	250000	1	8	4	4	4096	7918	216019	1832197	27456	60345929	67875	5	17580	6505127	34.2	0.000
x14_ringfd_safety	pool	off	cold	stride	16384	250000	1	8	5	0	4096	8251	270178	1186764	33399	63585457	64417	18	76487	1300303	35.4	0.000
x14_ringfd_safety	uring	off	cold	stride	16384	250000	1	8	5	1	4096	8510	211317	2388096	29880	60041854	68219	5	17130	4310427	100.0	0.000
x14_ringfd_safety	uring_ringfd	off	cold	stride	16384	250000	1	8	5	2	4096	13217	228947	1251205	29322	61094730	67043	5	19076	4791157	100.0	0.000
x14_ringfd_safety	hybrid_lazyring	off	cold	stride	16384	250000	1	8	5	3	4096	7457	237093	1887483	28429	59739602	68564	5	80463	2743780	33.8	0.000
x14_ringfd_safety	hybrid_lazyring_ringfd	off	cold	stride	16384	250000	1	8	5	4	4096	8023	221140	2093191	29038	62568100	65465	5	19616	2834423	34.3	0.000
