label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
x15_safety	pool	off	cold	sweep	16384	16384	1	8	0	0	4096	3863	208317	1561775	68126	107342523	38158	14	20518	32982957	1.0	0.000
x15_safety	hybrid_lazyring	off	cold	sweep	16384	16384	1	8	0	1	4096	3131	129494	635933	39891	80593576	50823	5	16675	20869723	1.1	0.000
x15_safety	uring	off	cold	sweep	16384	16384	1	8	0	2	4096	4455	186322	524258	53909	88971095	46037	5	17875	20336925	100.0	0.000
x15_safety	product	off	cold	sweep	16384	16384	1	8	0	3	4096	3145	6740	885974	27298	66222670	61852	5	18996	9548134	0.0	0.000
x15_safety	tokio_fs	off	cold	sweep	16384	16384	1	8	0	4	4096	33210	128241	831187	46068	85036419	48168	52	32407	2045071	0.0	0.000
x15_safety	hybrid_lazyring	off	cold	sweep	16384	16384	1	8	1	0	4096	3080	4398	517214	22803	58786417	69676	5	18105	1168141	1.1	0.000
x15_safety	uring	off	cold	sweep	16384	16384	1	8	1	1	4096	4714	19591	662120	42598	93623641	43750	5	18694	4557428	100.0	0.000
x15_safety	product	off	cold	sweep	16384	16384	1	8	1	2	4096	3451	5268	753909	31213	60543293	67654	5	18088	4566667	0.0	0.000
x15_safety	tokio_fs	off	cold	sweep	16384	16384	1	8	1	3	4096	36097	118746	808322	35859	64726775	63281	32	49480	3495142	0.0	0.000
x15_safety	pool	off	cold	sweep	16384	16384	1	8	1	4	4096	3453	4678	608129	21185	65825077	62226	14	18293	30228968	1.1	0.000
x15_safety	uring	off	cold	sweep	16384	16384	1	8	2	0	4096	5444	19654	371939	25335	51612511	79361	5	19076	4192981	100.0	0.000
x15_safety	product	off	cold	sweep	16384	16384	1	8	2	1	4096	3337	4763	622231	23510	54933085	74563	5	19853	1472805	0.0	0.000
x15_safety	tokio_fs	off	cold	sweep	16384	16384	1	8	2	2	4096	40258	121379	746929	36430	61227107	66898	45	99196	2105740	0.0	0.000
x15_safety	pool	off	cold	sweep	16384	16384	1	8	2	3	4096	3445	5246	885663	18875	55006954	74463	13	19456	2868360	1.3	0.000
x15_safety	hybrid_lazyring	off	cold	sweep	16384	16384	1	8	2	4	4096	3328	5783	593093	35731	67780001	60431	5	20720	2150820	1.0	0.000
x15_safety	product	off	cold	sweep	16384	16384	1	8	3	0	4096	3414	7472	825273	27624	73390632	55811	5	20497	30300265	0.0	0.000
x15_safety	tokio_fs	off	cold	sweep	16384	16384	1	8	3	1	4096	46165	212686	1058331	43733	67698034	60504	58	49135	3158521	0.0	0.000
x15_safety	pool	off	cold	sweep	16384	16384	1	8	3	2	4096	3523	4665	613425	17472	49891370	82098	14	19446	2674313	1.1	0.000
x15_safety	hybrid_lazyring	off	cold	sweep	16384	16384	1	8	3	3	4096	3286	4896	1166843	31437	64382596	63620	5	20098	25964840	1.1	0.000
x15_safety	uring	off	cold	sweep	16384	16384	1	8	3	4	4096	4296	13330	1706375	30421	87760049	46673	5	17564	39360040	100.0	0.000
x15_safety	tokio_fs	off	cold	sweep	16384	16384	1	8	4	0	4096	36709	148574	1057733	40921	77425102	52903	45	31342	3147944	0.0	0.000
x15_safety	pool	off	cold	sweep	16384	16384	1	8	4	1	4096	3236	4683	1104777	31871	65302464	62724	13	18693	2156276	1.1	0.000
x15_safety	hybrid_lazyring	off	cold	sweep	16384	16384	1	8	4	2	4096	3221	5041	446403	31997	81331345	50362	5	19082	1858431	1.1	0.000
x15_safety	uring	off	cold	sweep	16384	16384	1	8	4	3	4096	4609	16569	566045	26109	68617154	59694	5	19850	2421438	100.0	0.000
x15_safety	product	off	cold	sweep	16384	16384	1	8	4	4	4096	3542	5800	1052160	46296	134153736	30532	5	19818	10274658	0.0	0.000
x15_safety	pool	off	cold	sweep	16384	16384	1	8	5	0	4096	3300	7075	989789	26861	62111528	65946	13	18386	7525013	1.2	0.000
x15_safety	hybrid_lazyring	off	cold	sweep	16384	16384	1	8	5	1	4096	3159	4388	859610	23937	64975712	63039	5	19369	2150244	1.1	0.000
x15_safety	uring	off	cold	sweep	16384	16384	1	8	5	2	4096	4323	14096	340478	22459	57177605	71636	5	18163	2431430	100.0	0.000
x15_safety	product	off	cold	sweep	16384	16384	1	8	5	3	4096	3237	4601	1652141	25433	62101501	65957	5	17771	1540321	0.0	0.000
x15_safety	tokio_fs	off	cold	sweep	16384	16384	1	8	5	4	4096	24999	88352	787469	41016	73987910	55360	52	47177	889762	0.0	0.098
x15_safety	tokio_fs_uring	off	cold	sweep	16384	16384	1	8	0	0	4096	140369	247297	415414	40539	84795823	48304	11	246449	2686707	0.0	0.000
x15_safety	tokio_fs_uring	off	cold	sweep	16384	16384	1	8	1	0	4096	143350	364699	2371467	57698	152903707	26788	10	146623	5321891	0.0	0.000
x15_safety	tokio_fs_uring	off	cold	sweep	16384	16384	1	8	2	0	4096	81500	266772	843028	41871	97722394	41915	12	135048	1371323	0.0	0.000
x15_safety	tokio_fs_uring	off	cold	sweep	16384	16384	1	8	3	0	4096	115146	219413	403964	38743	82038845	49928	11	214950	1123757	0.0	0.000
x15_safety	tokio_fs_uring	off	cold	sweep	16384	16384	1	8	4	0	4096	126880	226236	415069	40592	87938303	46578	13	230680	881563	0.0	0.000
x15_safety	tokio_fs_uring	off	cold	sweep	16384	16384	1	8	5	0	4096	131983	261305	688943	45016	105438565	38847	9	264305	1482581	0.0	0.000
