label	arm	temp	mode	depth	asks	p50_ns	p90_ns	p99_ns	wall_ns	asks_per_s	cpu_ns_per_ask	rss_kib	miss_pct
d1_r0	ring	cold	on-demand	1	64	342447	406821	517543	25355609	2524	377101	524	1.0
d4_r0	ring	cold	on-demand	4	64	528521	776097	1146721	12672018	5050	208374	348	0.96875
d1_r0	pool	cold	on-demand	1	64	502926	639392	786224	37563981	1704	624628	500	1.0
d4_r0	pool	cold	on-demand	4	64	705908	1032008	1116624	14876702	4302	298161	360	1.0
d1_r1	pool	cold	on-demand	1	64	451215	533343	694154	32577773	1965	507468	32	1.0
d4_r1	pool	cold	on-demand	4	64	625231	832962	1039995	13574178	4715	266900	128	0.9375
d1_r1	ring	cold	on-demand	1	64	381008	455524	482846	28339248	2258	436922	68	0.984375
d4_r1	ring	cold	on-demand	4	64	535830	800302	1036838	12430870	5148	215896	156	1.0
d1_r2	ring	cold	on-demand	1	64	332942	412177	485775	24663573	2595	376405	8	1.0
d4_r2	ring	cold	on-demand	4	64	762902	1205541	1506304	16656377	3842	281577	16	0.96875
d1_r2	pool	cold	on-demand	1	64	349847	424916	536691	25763497	2484	444307	24	1.0
d4_r2	pool	cold	on-demand	4	64	577140	932637	1075087	13517280	4735	265771	64	0.96875
d1_r3	pool	cold	on-demand	1	64	361683	465986	538348	27083114	2363	469399	24	1.0
d4_r3	pool	cold	on-demand	4	64	779651	1086372	1679766	16826917	3803	322909	32	1.0
d1_r3	ring	cold	on-demand	1	64	323457	406183	513843	25471079	2513	413702	12	1.0
d4_r3	ring	cold	on-demand	4	64	824998	1138132	1403570	17318822	3695	306222	76	1.0
d1_r4	ring	cold	on-demand	1	64	354104	465257	546169	27105823	2361	411514	8	1.0
d4_r4	ring	cold	on-demand	4	64	647531	892840	1120980	14125879	4531	274185	48	0.984375
d1_r4	pool	cold	on-demand	1	64	429639	530504	733119	32331699	1979	552585	0	1.0
d4_r4	pool	cold	on-demand	4	64	665114	924367	967341	14260558	4488	273470	44	1.0
d1_r5	pool	cold	on-demand	1	64	333363	418366	570079	25317910	2528	442698	0	0.984375
d4_r5	pool	cold	on-demand	4	64	765666	982254	1459514	15158257	4222	273635	0	0.984375
d1_r5	ring	cold	on-demand	1	64	362760	473270	530926	27119898	2360	378104	8	1.0
d4_r5	ring	cold	on-demand	4	64	617972	789227	1142372	13570589	4716	247928	64	1.0
d1_r6	ring	cold	on-demand	1	64	372324	435304	608112	27393708	2336	387271	8	0.984375
d4_r6	ring	cold	on-demand	4	64	582596	807622	963754	13077969	4894	220319	12	1.0
d1_r6	pool	cold	on-demand	1	64	347256	417470	490456	26015329	2460	457096	0	1.0
d4_r6	pool	cold	on-demand	4	64	674559	979857	1184628	15169581	4219	284564	28	1.0
d1_r7	pool	cold	on-demand	1	64	484671	643619	740692	36299420	1763	555405	0	1.0
d4_r7	pool	cold	on-demand	4	64	703185	919446	1252639	15269803	4191	289059	48	0.984375
d1_r7	ring	cold	on-demand	1	64	325967	401687	437152	24946790	2565	405142	8	1.0
d4_r7	ring	cold	on-demand	4	64	621476	844753	1033957	13676894	4679	244931	32	1.0
