label	arm	temp	mode	depth	asks	p50_ns	p90_ns	p99_ns	wall_ns	asks_per_s	cpu_ns_per_ask	rss_kib	miss_pct
d1_r0	head	cold	on-demand	1	64	400273	475912	502289	28982954	2208	416958	552	1.0
d4_r0	head	cold	on-demand	4	64	596414	935204	1262419	13265555	4825	245487	392	1.0
d1_r0	severed	cold	on-demand	1	64	341681	414379	459742	25916223	2469	384136	508	1.0
d4_r0	severed	cold	on-demand	4	64	763297	1026004	1266328	16320043	3922	299687	248	1.0
d1_r1	severed	cold	on-demand	1	64	359460	422814	578361	26999502	2370	433921	68	1.0
d4_r1	severed	cold	on-demand	4	64	714323	963306	1099433	14703371	4353	270844	68	0.984375
d1_r1	head	cold	on-demand	1	64	311115	364239	457500	23023156	2780	361285	32	1.0
d4_r1	head	cold	on-demand	4	64	558158	790157	935851	12204282	5244	215262	120	1.0
d1_r2	head	cold	on-demand	1	64	367333	444446	490154	26481064	2417	410444	32	1.0
d4_r2	head	cold	on-demand	4	64	495671	735601	990667	11278516	5675	206740	88	1.0
d1_r2	severed	cold	on-demand	1	64	310464	401007	472404	24068255	2659	373067	56	1.0
d4_r2	severed	cold	on-demand	4	64	614301	756769	906633	12652562	5058	234536	12	1.0
d1_r3	severed	cold	on-demand	1	64	360296	444142	498537	26637607	2403	410817	8	1.0
d4_r3	severed	cold	on-demand	4	64	944101	1192850	3586675	20616041	3104	322402	16	1.0
d1_r3	head	cold	on-demand	1	64	296638	361216	394796	22618437	2830	386425	12	1.0
d4_r3	head	cold	on-demand	4	64	677159	939886	1158458	14611997	4380	234450	32	1.0
d1_r4	head	cold	on-demand	1	64	359774	444381	536940	27032550	2368	403230	8	1.0
d4_r4	head	cold	on-demand	4	64	611038	876832	971932	13360976	4790	248744	44	1.0
d1_r4	severed	cold	on-demand	1	64	376497	458795	559857	27710212	2310	403382	12	1.0
d4_r4	severed	cold	on-demand	4	64	721089	940684	1033464	15115416	4234	274527	32	0.984375
d1_r5	severed	cold	on-demand	1	64	352407	426377	566848	26425265	2422	401859	8	0.96875
d4_r5	severed	cold	on-demand	4	64	784565	982769	1156572	16236212	3942	284853	52	0.984375
d1_r5	head	cold	on-demand	1	64	410523	491756	564315	29582745	2163	441901	8	1.0
d4_r5	head	cold	on-demand	4	64	770162	963989	1989404	16814561	3806	296211	56	1.0
d1_r6	head	cold	on-demand	1	64	373812	463741	644005	27887591	2295	386475	8	0.984375
d4_r6	head	cold	on-demand	4	64	605209	877205	1205099	13314233	4807	222431	8	0.984375
d1_r6	severed	cold	on-demand	1	64	374739	487829	1071899	29158335	2195	415333	8	0.96875
d4_r6	severed	cold	on-demand	4	64	808767	1086624	1222079	16848820	3798	305801	16	1.0
d1_r7	severed	cold	on-demand	1	64	403890	472521	608846	33562397	1907	454011	12	1.0
d4_r7	severed	cold	on-demand	4	64	707534	851829	1185673	15212506	4207	297714	12	0.984375
d1_r7	head	cold	on-demand	1	64	354343	430507	492433	26606919	2405	382378	8	0.984375
d4_r7	head	cold	on-demand	4	64	771421	1014769	1125162	16223183	3945	281347	8	1.0
