label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
arms	product	off	cold	stride	16384	250000	1	1	0	0	256	185092	262285	364624	272526	51123621	5007	5	21479	1751520	99.6	0.000
arms	hybrid_lazyring	off	cold	stride	16384	250000	1	1	0	1	256	78307	109958	206058	119545	22704119	11275	5	42383	479649	99.6	0.000
arms	uring	off	cold	stride	16384	250000	1	1	0	2	256	110636	134530	185631	143958	27617707	9269	5	21751	249829	100.0	0.000
arms	pool	off	cold	stride	16384	250000	1	1	0	3	256	78384	129424	190364	112495	22383192	11437	6	59619	248904	99.6	0.000
arms	pooled_pread	off	cold	stride	16384	250000	1	1	0	4	256	101651	153441	200470	185852	29324619	8730	7	17954	152321	100.0	0.000
arms	hybrid_lazyring	off	cold	stride	16384	250000	1	1	1	0	256	110042	131639	212937	134861	27044519	9466	5	21261	313229	99.2	0.000
arms	uring	off	cold	stride	16384	250000	1	1	1	1	256	71206	99883	181228	110141	20443690	12522	5	42429	200032	100.0	0.000
arms	pool	off	cold	stride	16384	250000	1	1	1	2	256	64432	107714	179854	90127	18861964	13572	6	57435	162052	99.6	0.000
arms	pooled_pread	off	cold	stride	16384	250000	1	1	1	3	256	108965	141485	219486	182370	30524709	8387	7	50888	198246	100.0	0.000
arms	product	off	cold	stride	16384	250000	1	1	1	4	256	99134	143526	193757	161666	27733357	9231	5	62232	205992	99.6	0.000
arms	uring	off	cold	stride	16384	250000	1	1	2	0	256	70541	97066	132284	108994	20094123	12740	5	42093	182943	100.0	0.000
arms	pool	off	cold	stride	16384	250000	1	1	2	1	256	97874	118890	146699	119738	22908905	11175	6	56556	130041	98.8	0.000
arms	pooled_pread	off	cold	stride	16384	250000	1	1	2	2	256	115741	143943	202898	184318	31317448	8174	7	56272	159957	100.0	0.000
