label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
confirm	product	off	cold	stride	16384	250000	1	1	0	0	256	108885	157441	285502	188785	30708266	8337	5	28953	615409	99.6	0.000
confirm	hybrid_lazyring	off	cold	stride	16384	250000	1	1	0	1	256	106635	148953	253450	155834	28570919	8960	5	23408	218755	99.6	0.000
confirm	uring	off	cold	stride	16384	250000	1	1	0	2	256	111047	146449	238309	181450	30618895	8361	5	56439	453987	100.0	0.000
confirm	pool	off	cold	stride	16384	250000	1	1	0	3	256	78988	130989	180136	119236	23030515	11116	6	67092	298493	98.8	0.000
confirm	pooled_pread	off	cold	stride	16384	250000	1	1	0	4	256	121997	159294	240097	193793	33073053	7740	7	51195	150142	100.0	0.000
confirm	hybrid_lazyring	off	cold	stride	16384	250000	1	1	1	0	256	108341	137105	181463	143340	28189773	9081	5	20683	167831	98.8	0.000
confirm	uring	off	cold	stride	16384	250000	1	1	1	1	256	79702	113515	153702	115236	22397815	11430	5	42682	169505	100.0	0.000
confirm	pool	off	cold	stride	16384	250000	1	1	1	2	256	94760	111101	150167	105824	25256805	10136	6	128066	249251	98.4	0.000
confirm	pooled_pread	off	cold	stride	16384	250000	1	1	1	3	256	99598	132506	186570	153913	26166575	9783	6	19480	201126	100.0	0.000
confirm	product	off	cold	stride	16384	250000	1	1	1	4	256	72199	97143	133734	109933	20009158	12794	5	43267	174412	99.6	0.000
confirm	uring	off	cold	stride	16384	250000	1	1	2	0	256	90112	120901	171944	140598	25058246	10216	5	58039	2730930	100.0	0.000
confirm	pool	off	cold	stride	16384	250000	1	1	2	1	256	94576	116815	173729	114564	25695646	9963	6	141152	296215	98.8	0.000
confirm	pooled_pread	off	cold	stride	16384	250000	1	1	2	2	256	87896	132298	172538	143852	24470214	10462	7	27775	79257	100.0	0.000
confirm	product	off	cold	stride	16384	250000	1	1	2	3	256	90922	120897	174152	143786	24590972	10410	5	54631	115469	99.6	0.000
confirm	hybrid_lazyring	off	cold	stride	16384	250000	1	1	2	4	256	94006	116565	157949	144840	24679539	10373	5	54369	2060089	99.2	0.000
confirm	pool	off	cold	stride	16384	250000	1	1	3	0	256	92273	117840	155452	119484	24473352	10460	6	68067	140955	99.2	0.000
confirm	pooled_pread	off	cold	stride	16384	250000	1	1	3	1	256	80769	107140	158926	129926	21656875	11821	7	28144	86854	100.0	0.000
confirm	product	off	cold	stride	16384	250000	1	1	3	2	256	102562	131272	169302	130991	26036087	9833	5	19311	210706	98.8	0.000
confirm	hybrid_lazyring	off	cold	stride	16384	250000	1	1	3	3	256	102945	126795	169906	126079	25373091	10089	5	19346	148813	99.2	0.000
confirm	uring	off	cold	stride	16384	250000	1	1	3	4	256	97943	126416	164242	127947	25755286	9940	5	33762	323065	100.0	0.000
confirm	pooled_pread	off	cold	stride	16384	250000	1	1	4	0	256	84305	123005	171769	136968	23182846	11043	7	27631	81779	100.0	0.000
confirm	product	off	cold	stride	16384	250000	1	1	4	1	256	71489	97567	156158	115718	20107915	12731	5	41458	266421	99.6	0.000
confirm	hybrid_lazyring	off	cold	stride	16384	250000	1	1	4	2	256	70332	95392	115017	111464	19218996	13320	5	28790	239668	99.2	0.000
confirm	uring	off	cold	stride	16384	250000	1	1	4	3	256	71936	104477	133848	98449	20464015	12510	5	42328	171929	100.0	0.000
confirm	pool	off	cold	stride	16384	250000	1	1	4	4	256	97455	121732	170096	122692	26468226	9672	6	120014	272189	99.2	0.000
confirm	product	off	cold	stride	16384	250000	1	1	5	0	256	77045	104114	134313	106618	21110883	12126	5	45079	250823	99.2	0.000
confirm	hybrid_lazyring	off	cold	stride	16384	250000	1	1	5	1	256	109594	155037	206220	153470	28916182	8853	5	21301	190247	99.6	0.000
confirm	uring	off	cold	stride	16384	250000	1	1	5	2	256	113874	153149	217765	157976	30274596	8456	5	20697	137617	100.0	0.000
confirm	pool	off	cold	stride	16384	250000	1	1	5	3	256	96246	129197	170093	139793	26267008	9746	6	57849	136543	99.6	0.000
confirm	pooled_pread	off	cold	stride	16384	250000	1	1	5	4	256	100534	146349	190436	168560	28158908	9091	7	17985	102715	100.0	0.000
confirm	hybrid_lazyring	off	cold	stride	16384	250000	1	1	6	0	256	85673	114641	158357	131605	23252213	11010	5	44860	171260	99.6	0.000
confirm	uring	off	cold	stride	16384	250000	1	1	6	1	256	82012	118046	182949	124628	23388495	10946	5	44285	153053	100.0	0.000
confirm	pool	off	cold	stride	16384	250000	1	1	6	2	256	97464	139617	181472	123098	25435723	10065	6	60194	225916	99.2	0.000
confirm	pooled_pread	off	cold	stride	16384	250000	1	1	6	3	256	120587	169210	207471	197196	30501542	8393	7	16730	108482	100.0	0.000
confirm	product	off	cold	stride	16384	250000	1	1	6	4	256	84375	125208	217588	138081	24331133	10521	5	33851	260353	99.6	0.000
confirm	uring	off	cold	stride	16384	250000	1	1	7	0	256	90853	141031	191242	139694	25486854	10044	5	23146	181287	100.0	0.000
confirm	pool	off	cold	stride	16384	250000	1	1	7	1	256	96291	121727	158803	109474	26160745	9786	6	143134	205762	98.8	0.000
confirm	pooled_pread	off	cold	stride	16384	250000	1	1	7	2	256	113346	160569	203395	178436	30270995	8457	6	30332	215512	100.0	0.000
confirm	product	off	cold	stride	16384	250000	1	1	7	3	256	109928	152094	200023	192296	30186548	8481	5	56624	264766	99.2	0.000
confirm	hybrid_lazyring	off	cold	stride	16384	250000	1	1	7	4	256	100729	132223	172364	169938	27270679	9387	5	51804	556385	99.6	0.000
confirm	product	off	cold	stride	16384	250000	4	1	0	0	256	133755	203143	238207	80588	9888698	25888	5	25106	297904	99.6	0.000
confirm	hybrid_lazyring	off	cold	stride	16384	250000	4	1	0	1	256	124669	193956	290185	55429	12010688	21314	5	27750	2461441	99.6	0.000
confirm	uring	off	cold	stride	16384	250000	4	1	0	2	256	186932	244774	352202	64612	13002893	19688	5	40455	575292	100.0	0.000
