label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
depth	product	off	cold	stride	16384	250000	1	1	0	0	256	79014	104784	151092	112868	21995299	11639	5	43805	377355	99.6	0.000
depth	pool	off	cold	stride	16384	250000	1	1	0	1	256	91181	109694	148752	127720	24503852	10447	6	56045	234449	99.6	0.000
depth	uring	off	cold	stride	16384	250000	1	1	0	2	256	84891	128261	188416	124425	24922313	10272	5	33108	1033495	100.0	0.000
depth	pooled_pread	off	cold	stride	16384	250000	1	1	0	3	256	110676	138896	182775	167759	29893892	8564	7	54701	144934	100.0	0.000
depth	pool	off	cold	stride	16384	250000	1	1	1	0	256	97461	119256	154498	119344	26234061	9758	6	118764	174592	98.8	0.000
depth	uring	off	cold	stride	16384	250000	1	1	1	1	256	99273	128334	181932	161983	26660193	9602	5	56738	189787	100.0	0.000
depth	pooled_pread	off	cold	stride	16384	250000	1	1	1	2	256	106835	125088	166300	150453	28265813	9057	6	46150	149890	100.0	0.000
depth	product	off	cold	stride	16384	250000	1	1	1	3	256	108134	145061	207837	159914	28638957	8939	5	20031	173660	99.2	0.000
depth	uring	off	cold	stride	16384	250000	1	1	2	0	256	105692	147795	198169	176679	29268517	8747	5	55920	266646	100.0	0.000
depth	pooled_pread	off	cold	stride	16384	250000	1	1	2	1	256	110549	138692	169409	172092	29799280	8591	7	50549	154285	100.0	0.000
depth	product	off	cold	stride	16384	250000	1	1	2	2	256	95680	125021	169466	130103	25085977	10205	5	21446	261217	99.2	0.000
depth	pool	off	cold	stride	16384	250000	1	1	2	3	256	77770	117278	146749	107438	22085302	11591	6	74864	129655	99.6	0.000
depth	pooled_pread	off	cold	stride	16384	250000	1	1	3	0	256	109759	140022	182072	171965	29809010	8588	7	45248	110233	100.0	0.000
depth	product	off	cold	stride	16384	250000	1	1	3	1	256	95563	117353	144446	145425	25483476	10046	5	54749	270170	99.2	0.000
depth	pool	off	cold	stride	16384	250000	1	1	3	2	256	101724	125942	172785	119851	24346272	10515	6	53863	124984	99.6	0.000
depth	uring	off	cold	stride	16384	250000	1	1	3	3	256	100291	124591	152132	130015	25748685	9942	5	20640	205659	100.0	0.000
depth	product	off	cold	stride	16384	250000	1	1	4	0	256	94115	117192	151958	152270	25209721	10155	5	56218	409741	99.6	0.000
depth	pool	off	cold	stride	16384	250000	1	1	4	1	256	96127	121045	170161	120181	27460772	9322	6	105078	207303	99.6	0.000
depth	uring	off	cold	stride	16384	250000	1	1	4	2	256	109146	130887	178801	143740	28152563	9093	5	21115	179165	100.0	0.000
depth	pooled_pread	off	cold	stride	16384	250000	1	1	4	3	256	91758	125133	178559	158240	25159970	10175	7	27367	70907	100.0	0.000
depth	pool	off	cold	stride	16384	250000	1	1	5	0	256	74736	117587	152414	106853	21200154	12075	6	55698	211890	99.6	0.000
depth	uring	off	cold	stride	16384	250000	1	1	5	1	256	91936	119694	159739	161431	29111847	8794	5	50823	173332	100.0	0.000
depth	pooled_pread	off	cold	stride	16384	250000	1	1	5	2	256	111509	150145	196588	183543	29537466	8667	7	17385	129943	100.0	0.000
depth	product	off	cold	stride	16384	250000	1	1	5	3	256	106772	140259	191699	146521	27673728	9251	5	23358	148044	99.6	0.000
depth	uring	off	cold	stride	16384	250000	1	1	6	0	256	108965	144337	221676	152828	31042787	8247	5	21543	216709	100.0	0.000
depth	pooled_pread	off	cold	stride	16384	250000	1	1	6	1	256	101709	144005	204348	166253	27681109	9248	7	16790	81663	100.0	0.000
depth	product	off	cold	stride	16384	250000	1	1	6	2	256	82394	123657	174681	129959	22846194	11205	5	43357	157238	99.2	0.000
