arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_ns	threads_max	runtime	hop_count
mmap_naive	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	16599	2031	19971	2445	12961575	450	16565	59992	10711	0	0	0	0	0	30012986	5	multi	0
mmap_hybrid_mincore	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	39201	2634	21858	3412	18085614	268	17230	88668	16599	0	0	0	0	0	38859194	5	multi	0
mmap_touch_in_place	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	139785	18520	228113	40383	207775039	258	17874	586088	196698	0	14670	0	0	0	344019402	22	multi	5120
mmap_populate_read	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	163893	36938	84725	39990	205780098	260	31944	133548	74937	0	28465	0	0	0	289183684	7	multi	5120
mmap_blocking_touch	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	195072	33997	93174	40834	210300842	381	36713	166767	50124	0	30882	0	0	0	274179596	7	multi	5120
pread_blocking_pooled	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	158790	31635	83572	36854	190373841	260	34256	150628	59692	83886080	29068	0	0	0	279167122	7	multi	5120
pread_nowait_chunked	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	119188	3922	23869	4721	24999970	258	16676	649135	30863	83886080	0	0	0	0	55308702	5	multi	0
uring_nowait_whole	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	25366	3536	24328	4392	23252530	270	17109	289986	19214	83886080	0	0	0	0	48029023	5	multi	0
mmap_naive	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	11473	2761	22593	3279	17234825	449	20154	78157	12830	0	0	0	0	0	39238397	5	multi	0
mmap_hybrid_mincore	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	27277	2778	23691	3558	18522218	257	15376	58984	22521	0	0	0	0	0	39966146	5	multi	0
mmap_touch_in_place	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	60129	21668	102055	40622	208983804	341	22065	689528	124719	0	17593	0	0	0	360084065	18	multi	5120
mmap_populate_read	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	140510	34746	82486	38628	198721652	257	30569	224027	76147	0	28243	0	0	0	280633682	7	multi	5120
mmap_blocking_touch	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	157781	43175	86448	43693	224925584	333	36633	153801	71725	0	30106	0	0	0	311513805	7	multi	5120
pread_blocking_pooled	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	144188	31126	78913	35111	181209348	259	32755	92301	48284	83886080	28793	0	0	0	261696624	7	multi	5120
pread_nowait_chunked	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	36176	3336	23975	4069	21246796	257	15792	58235	24898	83886080	0	0	0	0	45248986	5	multi	0
uring_nowait_whole	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	41718	3740	27039	4577	24267287	257	16186	258314	29684	83886080	0	0	0	0	52058711	5	multi	0
mmap_naive	frames_16k_big.sbnd	warm	forward	full	16384	3	5120	5120	14694	2145	22865	2662	13906076	514	18222	81120	9841	0	0	0	0	0	31263923	5	multi	0
mmap_hybrid_mincore	frames_16k_big.sbnd	warm	forward	full	16384	3	5120	5120	26089	2750	24446	3520	18352107	257	15916	58363	21910	0	0	0	0	0	40463051	5	multi	0
mmap_touch_in_place	frames_16k_big.sbnd	warm	forward	full	16384	3	5120	5120	83930	19380	92557	43101	221807474	260	17761	305224	205509	0	15011	0	0	0	361526127	20	multi	5120
mmap_populate_read	frames_16k_big.sbnd	warm	forward	full	16384	3	5120	5120	110312	41290	92109	44302	228065705	391	37363	138654	63884	0	31837	0	0	0	320447308	7	multi	5120
mmap_blocking_touch	frames_16k_big.sbnd	warm	forward	full	16384	3	5120	5120	113651	38680	90596	43513	224018542	506	38702	575070	38679	0	29584	0	0	0	296707427	7	multi	5120
pread_blocking_pooled	frames_16k_big.sbnd	warm	forward	full	16384	3	5120	5120	166340	31658	89209	38300	197837811	571	39509	180553	28022	83886080	29290	0	0	0	279901135	7	multi	5120
pread_nowait_chunked	frames_16k_big.sbnd	warm	forward	full	16384	3	5120	5120	144655	3660	24963	4334	22688716	432	16395	289647	16922	83886080	0	0	0	0	49714740	5	multi	0
uring_nowait_whole	frames_16k_big.sbnd	warm	forward	full	16384	3	5120	5120	30572	3427	24312	4270	22458642	256	15612	214102	29519	83886080	0	0	0	0	47025515	5	multi	0
mmap_naive	frames_16k_big.sbnd	warm	forward	full	16384	4	5120	5120	31706	1893	20146	2334	12347397	258	15696	61132	15101	0	0	0	0	0	26858935	5	multi	0
mmap_hybrid_mincore	frames_16k_big.sbnd	warm	forward	full	16384	4	5120	5120	16253	2860	24670	4184	21707812	468	18755	66103	13391	0	0	0	0	0	42892522	5	multi	0
mmap_touch_in_place	frames_16k_big.sbnd	warm	forward	full	16384	4	5120	5120	71325	18493	300968	47055	241726316	276	18219	516865	172529	0	14560	0	0	0	380571012	28	multi	5120
mmap_populate_read	frames_16k_big.sbnd	warm	forward	full	16384	4	5120	5120	110485	41801	90889	43107	221696702	361	35571	150649	62402	0	29858	0	0	0	305604696	7	multi	5120
mmap_blocking_touch	frames_16k_big.sbnd	warm	forward	full	16384	4	5120	5120	127690	34498	83177	40766	209660694	399	37960	121327	40599	0	28867	0	0	0	280508732	7	multi	5120
pread_blocking_pooled	frames_16k_big.sbnd	warm	forward	full	16384	4	5120	5120	87171	30884	81397	36258	186900014	257	30759	126070	90283	83886080	28615	0	0	0	276758864	7	multi	5120
pread_nowait_chunked	frames_16k_big.sbnd	warm	forward	full	16384	4	5120	5120	27600	3497	26672	4224	22160949	259	16042	135934	24667	83886080	0	0	0	0	48658635	5	multi	0
uring_nowait_whole	frames_16k_big.sbnd	warm	forward	full	16384	4	5120	5120	35138	3516	26833	4439	23387349	257	17208	252237	23135	83886080	0	0	0	0	50258678	5	multi	0
mmap_naive	frames_16k_big.sbnd	warm	forward	full	16384	5	5120	5120	49363	1864	23502	2611	13653175	306	19649	79843	12121	0	0	0	0	0	29951663	5	multi	0
mmap_hybrid_mincore	frames_16k_big.sbnd	warm	forward	full	16384	5	5120	5120	15123	2847	24564	3579	18597689	263	17761	74333	20643	0	0	0	0	0	40421564	5	multi	0
mmap_touch_in_place	frames_16k_big.sbnd	warm	forward	full	16384	5	5120	5120	63230	20128	978987	50187	257861335	267	17842	661895	249420	0	16075	0	0	0	403287505	23	multi	5120
mmap_populate_read	frames_16k_big.sbnd	warm	forward	full	16384	5	5120	5120	88929	37212	78158	38848	199819441	258	29440	135657	86055	0	28247	0	0	0	282706378	8	multi	5120
mmap_blocking_touch	frames_16k_big.sbnd	warm	forward	full	16384	5	5120	5120	167623	31950	80721	39566	203536996	389	35539	122148	45208	0	28395	0	0	0	272560462	7	multi	5120
pread_blocking_pooled	frames_16k_big.sbnd	warm	forward	full	16384	5	5120	5120	96820	31347	87619	39299	202662392	282	36557	392957	57477	83886080	28923	0	0	0	290639329	7	multi	5120
pread_nowait_chunked	frames_16k_big.sbnd	warm	forward	full	16384	5	5120	5120	43131	3517	26470	4373	22829571	258	16473	62267	23107	83886080	0	0	0	0	49685381	5	multi	0
uring_nowait_whole	frames_16k_big.sbnd	warm	forward	full	16384	5	5120	5120	28633	3547	26089	4362	23228510	265	17652	65846	20804	83886080	0	0	0	0	51705669	5	multi	0
mmap_naive	frames_16k_big.sbnd	warm	forward	full	16384	6	5120	5120	19839	2332	28874	3117	16466478	278	17181	71810	16762	0	0	0	0	0	36386736	5	multi	0
mmap_hybrid_mincore	frames_16k_big.sbnd	warm	forward	full	16384	6	5120	5120	19583	3653	29242	4496	23536737	256	15512	84717	30254	0	0	0	0	0	51166036	5	multi	0
mmap_touch_in_place	frames_16k_big.sbnd	warm	forward	full	16384	6	5120	5120	46282	18668	565288	46738	240084420	262	18146	536567	207242	0	14691	0	0	0	380613860	33	multi	5120
mmap_populate_read	frames_16k_big.sbnd	warm	forward	full	16384	6	5120	5120	127895	38076	85469	41617	214058645	341	36380	150297	44283	0	29448	0	0	0	294630124	7	multi	5120
mmap_blocking_touch	frames_16k_big.sbnd	warm	forward	full	16384	6	5120	5120	155238	36432	86240	41565	214144390	257	38293	133495	54331	0	31654	0	0	0	298503639	7	multi	5120
pread_blocking_pooled	frames_16k_big.sbnd	warm	forward	full	16384	6	5120	5120	239022	33927	85299	38490	198890141	289	37915	756931	38306	83886080	30498	0	0	0	284571249	7	multi	5120
pread_nowait_chunked	frames_16k_big.sbnd	warm	forward	full	16384	6	5120	5120	26975	3620	23262	4162	21808897	507	15476	50892	21047	83886080	0	0	0	0	47288078	5	multi	0
uring_nowait_whole	frames_16k_big.sbnd	warm	forward	full	16384	6	5120	5120	42303	4009	26574	4850	25648718	260	18970	268420	23275	83886080	0	0	0	0	58111300	5	multi	0
mmap_naive	frames_16k_big.sbnd	warm	forward	full	16384	7	5120	5120	11183	2127	20001	2628	13776264	523	22913	118769	5532	0	0	0	0	0	31075839	5	multi	0
mmap_hybrid_mincore	frames_16k_big.sbnd	warm	forward	full	16384	7	5120	5120	30338	2682	23156	3290	17126860	257	17711	75563	22857	0	0	0	0	0	38487232	5	multi	0
mmap_touch_in_place	frames_16k_big.sbnd	warm	forward	full	16384	7	5120	5120	53104	19615	1091096	50809	261095718	290	19315	948607	197132	0	15164	0	0	0	415348683	14	multi	5120
mmap_populate_read	frames_16k_big.sbnd	warm	forward	full	16384	7	5120	5120	185075	35967	96434	44491	228992682	347	43421	158516	40369	0	31278	0	0	0	313812465	7	multi	5120
mmap_blocking_touch	frames_16k_big.sbnd	warm	forward	full	16384	7	5120	5120	134382	35678	88777	41457	213567028	348	40233	125394	38046	0	30629	0	0	0	287708366	7	multi	5120
pread_blocking_pooled	frames_16k_big.sbnd	warm	forward	full	16384	7	5120	5120	155513	33384	88383	38491	198668443	632	42448	148312	24401	83886080	30758	0	0	0	286285603	7	multi	5120
pread_nowait_chunked	frames_16k_big.sbnd	warm	forward	full	16384	7	5120	5120	71740	4383	28462	5319	27826299	860	24449	92894	6392	83886080	0	0	0	0	60476039	5	multi	0
uring_nowait_whole	frames_16k_big.sbnd	warm	forward	full	16384	7	5120	5120	16372	3761	24239	4323	22755273	501	20044	97418	14541	83886080	0	0	0	0	51742339	5	multi	0
mmap_naive	frames_16k_big.sbnd	warm	forward	full	16384	8	5120	5120	9148	2036	24906	2754	14446257	446	21450	119364	9895	0	0	0	0	0	32952809	5	multi	0
