size	arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_ns	threads_max	runtime	hop_count
16k	mmap_naive	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	83125	2585	24625	3283	17374739	562	24433	125365	8469	0	0	0	0	0	39567967	5	multi	0
16k	mmap_hybrid_mincore	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	38341	3678	28761	4474	23553791	270	16988	88545	20186	0	0	0	0	0	51919244	5	multi	0
16k	mmap_touch_in_place	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	75471	20581	161103	42237	217436786	258	19281	829196	195293	0	15750	0	0	0	367311376	21	multi	5120
16k	mmap_populate_read	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	143510	42940	109651	45869	236114571	510	42081	879774	33861	0	32910	0	0	0	319998711	7	multi	5120
16k	mmap_blocking_touch	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	149051	35146	105312	45141	232527820	355	37787	215005	61528	0	30998	0	0	0	309366349	7	multi	5120
16k	pread_blocking_pooled	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	508865	32121	101314	41631	215309807	336	30921	147167	122194	83886080	29266	0	0	0	313963679	8	multi	5120
16k	pread_nowait_chunked	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	37404	4168	31309	5070	26759201	510	18540	79889	20395	83886080	0	0	0	0	58664110	5	multi	0
16k	uring_nowait_whole	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	41605	3516	25942	4332	22978215	513	19099	115169	15243	83886080	0	0	0	0	50979451	5	multi	0
16k	mmap_naive	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	7467	1926	22260	2575	13573195	400	19416	76035	10799	0	0	0	0	0	30058520	5	multi	0
16k	mmap_hybrid_mincore	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	30511	2474	24776	3373	17725103	259	18048	102327	21458	0	0	0	0	0	39559379	5	multi	0
16k	mmap_touch_in_place	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	91949	18589	125297	45823	235571451	304	19572	436105	152696	0	14692	0	0	0	377322662	14	multi	5120
16k	mmap_populate_read	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	119588	38391	96260	42384	218104651	396	37670	163795	58987	0	31414	0	0	0	301250840	8	multi	5120
16k	mmap_blocking_touch	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	328658	33086	90912	40032	206121388	476	37947	127575	35547	0	29171	0	0	0	274956753	7	multi	5120
16k	pread_blocking_pooled	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	143752	30787	83739	35672	184062011	303	34654	4129761	38244	83886080	28632	0	0	0	260223295	7	multi	5120
16k	pread_nowait_chunked	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	16802	3095	22489	3718	19380094	254	15648	80674	20401	83886080	0	0	0	0	42705989	5	multi	0
16k	uring_nowait_whole	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	36748	3084	22691	3583	18940633	260	15875	241034	18741	83886080	0	0	0	0	41513193	5	multi	0
16k	mmap_naive	frames_16k_big.sbnd	warm	forward	full	16384	3	5120	5120	6491	1710	19663	2306	12036131	257	15555	95757	14940	0	0	0	0	0	26936480	5	multi	0
