label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
size16k	product	off	cold	stride	16384	250000	1	1	0	0	256	100933	129474	179783	142343	26402278	9696	5	18624	227570	99.6	0.000
size16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	0	1	256	70421	102529	137747	119266	19779335	12943	5	29181	222054	98.4	0.000
size16k	pool	off	cold	stride	16384	250000	1	1	0	2	256	53122	80103	141021	78052	15881194	16120	6	58956	179912	99.6	0.000
size16k	uring	off	cold	stride	16384	250000	1	1	0	3	256	66730	88544	124628	98337	18507518	13832	5	41971	183963	100.0	0.000
size16k	pooled_pread	off	cold	stride	16384	250000	1	1	0	4	256	74383	119257	167907	136750	21959763	11658	7	27685	108139	100.0	0.000
size16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	1	0	256	72270	113656	146881	105137	21163519	12096	5	24239	195997	99.2	0.000
size16k	pool	off	cold	stride	16384	250000	1	1	1	1	256	87390	106084	140343	120275	22735655	11260	6	64827	110653	99.6	0.000
size16k	uring	off	cold	stride	16384	250000	1	1	1	2	256	100520	119757	168388	123652	24973478	10251	5	18459	120732	100.0	0.000
size16k	pooled_pread	off	cold	stride	16384	250000	1	1	1	3	256	114740	143871	172168	182647	29134961	8787	7	15742	93781	100.0	0.000
size16k	product	off	cold	stride	16384	250000	1	1	1	4	256	99724	117505	151992	123611	25018461	10232	5	18705	245687	99.2	0.000
size16k	pool	off	cold	stride	16384	250000	1	1	2	0	256	52584	69053	129403	62028	14872655	17213	6	68863	144847	99.6	0.000
size16k	uring	off	cold	stride	16384	250000	1	1	2	1	256	100882	117763	154845	115440	25592953	10003	5	19259	181529	100.0	0.000
size16k	pooled_pread	off	cold	stride	16384	250000	1	1	2	2	256	93139	117115	159846	142547	25732626	9948	7	52527	113168	100.0	0.000
size16k	product	off	cold	stride	16384	250000	1	1	2	3	256	100317	124845	158433	131013	25681813	9968	5	18101	117299	99.2	0.000
size16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	2	4	256	85559	107370	153547	128303	22953430	11153	5	56965	3792439	99.6	0.000
size16k	uring	off	cold	stride	16384	250000	1	1	3	0	256	105810	143729	173578	137717	27938893	9163	5	22258	209201	100.0	0.000
size16k	pooled_pread	off	cold	stride	16384	250000	1	1	3	1	256	76626	103384	127761	130694	20569082	12446	7	28386	85674	100.0	0.000
size16k	product	off	cold	stride	16384	250000	1	1	3	2	256	92813	115524	173922	127016	23580285	10857	5	18814	203249	99.2	0.000
size16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	3	3	256	70278	91553	147671	116364	18859562	13574	5	31930	240413	99.2	0.000
size16k	pool	off	cold	stride	16384	250000	1	1	3	4	256	89373	100883	166175	106750	23043637	11109	6	56962	232743	99.6	0.000
size16k	pooled_pread	off	cold	stride	16384	250000	1	1	4	0	256	96713	145257	236158	177106	29347804	8723	7	26523	86338	100.0	0.000
size16k	product	off	cold	stride	16384	250000	1	1	4	1	256	101141	123599	154094	127590	25611301	9996	5	18210	211993	98.8	0.000
size16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	4	2	256	83271	105112	148514	128602	22535000	11360	5	55198	1724553	99.6	0.000
size16k	pool	off	cold	stride	16384	250000	1	1	4	3	256	52992	72710	141290	62781	15292322	16740	6	63868	305784	99.2	0.000
size16k	uring	off	cold	stride	16384	250000	1	1	4	4	256	87565	111811	150944	130073	23407997	10936	5	50938	193398	100.0	0.000
size16k	product	off	cold	stride	16384	250000	1	1	5	0	256	93087	107602	131441	112852	22559261	11348	5	22932	277292	99.6	0.000
size16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	5	1	256	102249	129118	160585	129938	26471238	9671	5	19220	207802	99.2	0.000
size16k	pool	off	cold	stride	16384	250000	1	1	5	2	256	84419	103943	131664	99770	23058402	11102	6	113321	223689	98.4	0.000
size16k	uring	off	cold	stride	16384	250000	1	1	5	3	256	68967	95357	137928	100222	19272729	13283	5	41739	167026	100.0	0.000
size16k	pooled_pread	off	cold	stride	16384	250000	1	1	5	4	256	85797	133980	174900	152305	24149221	10601	7	20885	68285	100.0	0.000
size16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	6	0	256	100605	123290	173746	114711	25235914	10144	5	18787	221064	99.2	0.000
size16k	pool	off	cold	stride	16384	250000	1	1	6	1	256	81980	110512	144791	103086	23111677	11077	6	139008	234122	99.2	0.000
size16k	uring	off	cold	stride	16384	250000	1	1	6	2	256	101410	147786	187123	140368	27258144	9392	5	18395	185099	100.0	0.000
size16k	pooled_pread	off	cold	stride	16384	250000	1	1	6	3	256	101526	175983	212934	188281	29729948	8611	7	30269	102450	100.0	0.000
size16k	product	off	cold	stride	16384	250000	1	1	6	4	256	101164	124416	170589	132264	24912717	10276	5	18675	130922	99.2	0.000
size16k	pool	off	cold	stride	16384	250000	1	1	7	0	256	79963	96672	122557	83734	21578423	11864	6	124114	208246	98.4	0.000
size16k	uring	off	cold	stride	16384	250000	1	1	7	1	256	68827	88182	117140	109836	18554424	13797	5	41336	174081	100.0	0.000
size16k	pooled_pread	off	cold	stride	16384	250000	1	1	7	2	256	102469	149016	200093	169509	28402768	9013	7	34269	101173	100.0	0.000
size16k	product	off	cold	stride	16384	250000	1	1	7	3	256	66161	88323	114187	101785	17892521	14308	5	32915	301805	99.6	0.000
size16k	hybrid_lazyring	off	cold	stride	16384	250000	1	1	7	4	256	81550	106848	136757	127633	21992385	11640	5	55328	1390789	99.2	0.000
size16k	product	off	cold	stride	16384	250000	4	1	0	0	256	106365	149802	232513	62084	7554477	33887	5	21230	181102	99.2	0.000
size16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	0	1	256	120990	207694	1155889	70752	12501140	20478	5	20985	2657496	99.2	0.000
size16k	pool	off	cold	stride	16384	250000	4	1	0	2	256	134471	235403	402559	93620	10013562	25565	11	314081	1012010	99.2	0.000
size16k	uring	off	cold	stride	16384	250000	4	1	0	3	256	116673	151904	1614160	38585	9594814	26681	5	15509	246791	100.0	0.000
size16k	pooled_pread	off	cold	stride	16384	250000	4	1	0	4	256	171213	293695	485789	110190	14615720	17515	16	18143	306114	100.0	0.000
size16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	1	0	256	131547	244030	283034	84888	13308411	19236	5	16172	2371496	95.7	0.000
size16k	pool	off	cold	stride	16384	250000	4	1	1	1	256	151881	236695	3886493	106813	14330683	17864	11	43476	504474	98.8	0.000
size16k	uring	off	cold	stride	16384	250000	4	1	1	2	256	130802	174107	197209	41761	8792680	29115	5	29463	118163	100.0	0.000
size16k	pooled_pread	off	cold	stride	16384	250000	4	1	1	3	256	142906	245079	1930467	100950	12723005	20121	16	69456	1761575	100.0	0.000
size16k	product	off	cold	stride	16384	250000	4	1	1	4	256	107071	159384	233488	61883	7792637	32852	5	29376	237626	98.4	0.000
size16k	pool	off	cold	stride	16384	250000	4	1	2	0	256	166420	306610	2101002	98491	15502090	16514	11	429776	2550755	98.4	0.000
size16k	uring	off	cold	stride	16384	250000	4	1	2	1	256	124680	171737	239407	37973	8628839	29668	5	20325	223962	100.0	0.000
size16k	pooled_pread	off	cold	stride	16384	250000	4	1	2	2	256	150338	286337	806973	95588	11929203	21460	15	29319	653417	100.0	0.000
size16k	product	off	cold	stride	16384	250000	4	1	2	3	256	115199	179072	246575	71199	8422387	30395	5	23165	586745	99.6	0.000
size16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	2	4	256	102954	154854	360792	37702	9461932	27056	5	26606	1624036	99.2	0.000
size16k	uring	off	cold	stride	16384	250000	4	1	3	0	256	143679	187918	289755	38844	9671062	26471	5	33268	186488	100.0	0.000
size16k	pooled_pread	off	cold	stride	16384	250000	4	1	3	1	256	143194	207131	289593	85226	9807856	26102	13	23538	137049	100.0	0.000
size16k	product	off	cold	stride	16384	250000	4	1	3	2	256	137554	198200	3300476	88552	12902065	19842	5	73824	393751	99.2	0.000
size16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	3	3	256	125431	177386	219778	48354	10700083	23925	5	31864	1555995	99.6	0.000
size16k	pool	off	cold	stride	16384	250000	4	1	3	4	256	144537	220988	360384	86277	10559555	24243	12	56429	723944	98.4	0.000
size16k	pooled_pread	off	cold	stride	16384	250000	4	1	4	0	256	148616	227883	403872	90703	10572620	24213	14	45499	283513	100.0	0.000
size16k	product	off	cold	stride	16384	250000	4	1	4	1	256	146821	198740	404106	69780	10147221	25229	5	58647	195160	99.6	0.000
size16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	4	2	256	113663	153298	186893	46944	9832015	26037	5	55894	251626	99.6	0.000
size16k	pool	off	cold	stride	16384	250000	4	1	4	3	256	138744	214691	423384	85911	9839393	26018	14	41340	312409	98.8	0.000
size16k	uring	off	cold	stride	16384	250000	4	1	4	4	256	135336	178218	230393	47301	9478815	27008	5	54126	207689	100.0	0.000
size16k	product	off	cold	stride	16384	250000	4	1	5	0	256	132801	171296	201453	68658	9136683	28019	5	78302	284560	99.6	0.000
size16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	5	1	256	97318	139298	177166	45590	8601007	29764	5	56713	819078	99.6	0.000
size16k	pool	off	cold	stride	16384	250000	4	1	5	2	256	127883	198585	372902	82748	9104444	28118	14	48870	397790	98.8	0.000
size16k	uring	off	cold	stride	16384	250000	4	1	5	3	256	111205	136035	198002	33175	7698567	33253	5	20459	260390	100.0	0.000
size16k	pooled_pread	off	cold	stride	16384	250000	4	1	5	4	256	151749	256646	469772	98356	11142120	22976	12	17529	249642	100.0	0.000
size16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	6	0	256	128528	237832	280473	93328	12758073	20066	5	15821	2916203	97.7	0.000
size16k	pool	off	cold	stride	16384	250000	4	1	6	1	256	142682	239933	522953	97819	10472835	24444	12	41335	254172	98.4	0.000
size16k	uring	off	cold	stride	16384	250000	4	1	6	2	256	147476	173719	215764	37262	9804485	26110	5	27940	196272	100.0	0.000
size16k	pooled_pread	off	cold	stride	16384	250000	4	1	6	3	256	136155	228232	336031	86303	9861714	25959	13	17263	286013	100.0	0.000
size16k	product	off	cold	stride	16384	250000	4	1	6	4	256	131665	169621	212761	68403	8859928	28894	5	83847	415906	99.6	0.000
size16k	pool	off	cold	stride	16384	250000	4	1	7	0	256	134062	197576	579927	94813	12433624	20589	13	41800	519298	99.6	0.000
size16k	uring	off	cold	stride	16384	250000	4	1	7	1	256	154892	188816	226815	49782	10462561	24468	5	27607	216166	100.0	0.000
size16k	pooled_pread	off	cold	stride	16384	250000	4	1	7	2	256	134429	215832	451780	87880	9664960	26487	12	17481	155731	100.0	0.000
size16k	product	off	cold	stride	16384	250000	4	1	7	3	256	117958	165555	217921	55128	8243977	31053	5	23965	172693	99.2	0.000
size16k	hybrid_lazyring	off	cold	stride	16384	250000	4	1	7	4	256	105739	139574	162557	44471	8584319	29822	5	25745	955941	99.2	0.000
size16k	product	off	warm	stride	16384	250000	1	1	0	0	256	1526	1858	2765	440	501380	510591	5	16378	474901	0.0	0.000
size16k	hybrid_lazyring	off	warm	stride	16384	250000	1	1	0	1	256	1344	1554	2081	266	472346	541976	5	17175	439789	0.0	0.000
size16k	pool	off	warm	stride	16384	250000	1	1	0	2	256	1440	1634	1890	314	485032	527800	5	446237	446237	0.0	0.000
size16k	uring	off	warm	stride	16384	250000	1	1	0	3	256	2916	14976	25298	5675	1894338	135140	5	14484	1850599	100.0	0.000
size16k	pooled_pread	off	warm	stride	16384	250000	1	1	0	4	256	27908	34463	70357	34580	7879618	32489	6	46547	71791	100.0	0.000
size16k	hybrid_lazyring	off	warm	stride	16384	250000	1	1	1	0	256	1473	1725	2472	235	495330	516827	5	15611	476412	0.0	0.000
size16k	pool	off	warm	stride	16384	250000	1	1	1	1	256	1334	1527	1721	2275	450097	568766	5	16718	18431	0.0	0.000
size16k	uring	off	warm	stride	16384	250000	1	1	1	2	256	3304	15115	21479	2351	2252443	113654	5	15903	2201848	100.0	0.000
size16k	pooled_pread	off	warm	stride	16384	250000	1	1	1	3	256	27979	31463	67918	39226	7697316	33258	6	40200	104795	100.0	0.000
size16k	product	off	warm	stride	16384	250000	1	1	1	4	256	1393	1601	1811	377	492524	519772	5	16136	439508	0.0	0.000
size16k	pool	off	warm	stride	16384	250000	1	1	2	0	256	1318	1505	1747	499	480656	532605	5	439264	439264	0.0	0.000
size16k	uring	off	warm	stride	16384	250000	1	1	2	1	256	3574	14830	21825	2259	2395319	106875	5	19780	2368265	100.0	0.000
size16k	pooled_pread	off	warm	stride	16384	250000	1	1	2	2	256	27651	35211	64147	27420	7865748	32546	6	46358	81570	100.0	0.000
size16k	product	off	warm	stride	16384	250000	1	1	2	3	256	1457	1651	1934	2472	516426	495715	5	16205	22834	0.0	0.000
size16k	hybrid_lazyring	off	warm	stride	16384	250000	1	1	2	4	256	1395	1587	1860	214	477610	536002	5	462728	462728	0.0	0.000
size16k	uring	off	warm	stride	16384	250000	1	1	3	0	256	2963	15067	18090	9152	1917932	133477	5	15907	1883951	100.0	0.000
size16k	pooled_pread	off	warm	stride	16384	250000	1	1	3	1	256	27507	29965	61543	33635	7536650	33967	7	43538	81294	100.0	0.000
size16k	product	off	warm	stride	16384	250000	1	1	3	2	256	1434	1631	1807	2362	494143	518069	5	16050	17036	0.0	0.000
size16k	hybrid_lazyring	off	warm	stride	16384	250000	1	1	3	3	256	1370	1544	1754	401	442839	578088	5	1944	426797	0.0	0.000
size16k	pool	off	warm	stride	16384	250000	1	1	3	4	256	1409	1621	1797	222	484353	528540	5	467981	467981	0.0	0.000
size16k	pooled_pread	off	warm	stride	16384	250000	1	1	4	0	256	28332	32664	82087	30797	7991213	32035	6	46077	95509	100.0	0.000
size16k	product	off	warm	stride	16384	250000	1	1	4	1	256	1389	1568	1893	352	458811	557964	5	24426	439449	0.0	0.000
size16k	hybrid_lazyring	off	warm	stride	16384	250000	1	1	4	2	256	1374	1560	1708	257	436281	586778	5	425511	425511	0.0	0.000
size16k	pool	off	warm	stride	16384	250000	1	1	4	3	256	1317	1481	1682	276	460510	555905	5	7130	441329	0.0	0.000
size16k	uring	off	warm	stride	16384	250000	1	1	4	4	256	3135	14895	18599	1765	2112827	121165	5	1978	2101573	100.0	0.000
size16k	product	off	warm	stride	16384	250000	1	1	5	0	256	1462	1632	3330	1543	535169	478354	5	17552	518448	0.0	0.000
size16k	hybrid_lazyring	off	warm	stride	16384	250000	1	1	5	1	256	1379	1751	2312	331	462377	553661	5	433005	433005	0.0	0.000
size16k	pool	off	warm	stride	16384	250000	1	1	5	2	256	1345	1525	2748	283	479651	533721	5	15342	451704	0.0	0.000
size16k	uring	off	warm	stride	16384	250000	1	1	5	3	256	1945	2316	3275	254	698131	366693	5	802	651789	100.0	0.000
size16k	pooled_pread	off	warm	stride	16384	250000	1	1	5	4	256	27602	29755	64697	34938	7485610	34199	7	58987	122684	100.0	0.000
size16k	hybrid_lazyring	off	warm	stride	16384	250000	1	1	6	0	256	1346	1548	1756	365	429663	595816	5	15587	415526	0.0	0.000
size16k	pool	off	warm	stride	16384	250000	1	1	6	1	256	1382	1557	1753	1742	492361	519944	5	489332	489332	0.0	0.000
size16k	uring	off	warm	stride	16384	250000	1	1	6	2	256	3204	15089	20153	10622	2219201	115357	5	2184168	2184168	100.0	0.000
size16k	pooled_pread	off	warm	stride	16384	250000	1	1	6	3	256	28193	34421	84351	40742	8111934	31558	6	46353	109023	100.0	0.000
size16k	product	off	warm	stride	16384	250000	1	1	6	4	256	1513	1846	2368	221	528640	484262	5	2241	509129	0.0	0.000
size16k	pool	off	warm	stride	16384	250000	1	1	7	0	256	1395	1606	1768	435	464263	551412	5	440363	440363	0.0	0.000
size16k	uring	off	warm	stride	16384	250000	1	1	7	1	256	14338	18926	22762	2214	2733305	93660	5	2165	2717368	100.0	0.000
size16k	pooled_pread	off	warm	stride	16384	250000	1	1	7	2	256	28032	34018	66590	41326	7900948	32401	6	44673	71999	100.0	0.000
size16k	product	off	warm	stride	16384	250000	1	1	7	3	256	1382	1574	1791	222	459410	557236	5	1995	442040	0.0	0.000
size16k	hybrid_lazyring	off	warm	stride	16384	250000	1	1	7	4	256	1427	1618	1885	217	462289	553766	5	2065	444402	0.0	0.000
size16k	product	off	warm	stride	16384	250000	4	1	0	0	256	1589	1797	7143	4966	597559	428410	5	17467	259566	0.0	0.000
size16k	hybrid_lazyring	off	warm	stride	16384	250000	4	1	0	1	256	1470	1663	1795	2285	532092	481120	5	22133	436556	0.0	0.000
