arm	trace	repeat	concurrency	region_start	region_frames	region_stride	mix_target	mix_achieved	hit_resident	miss_resident	asks	wall_ns	throughput_fps	p50_ns	p90_ns	p99_ns	max_ns	hop_count	hop_events	hop_p50_ns	hop_p99_ns	gap_p99_ns	gap_max_ns	cpu_ns	cpu_per_ask_ns	threads_max	read_chunk	uring_depth	runtime
pread_blocking_pooled	forward	1	1	0	128	40	0.0000	0.0000	1.0000	0.0000	128	37342760	3427.7	244025	395864	563412	3928107	128	128	137128	489844	0	0	36983352	288932	7	65536	2	multi
pread_nowait	forward	1	1	5120	128	40	0.0000	0.0000	1.0000	0.0000	128	18932646	6760.8	142741	185654	236973	261822	0	0	0	0	0	0	21073049	164633	5	65536	2	multi
pread_nowait_chunked	forward	1	1	10240	128	40	0.0000	0.0000	1.0000	0.0000	128	21489982	5956.3	163467	196785	224795	228875	0	0	0	0	0	0	24364323	190346	5	65536	2	multi
uring_whole	forward	1	1	15360	128	40	0.0000	0.0000	1.0000	0.0000	128	24710039	5180.1	183729	248171	379826	491895	0	0	0	0	0	0	28233873	220577	5	65536	2	multi
uring_tuned	forward	1	1	20480	128	40	0.0000	0.0000	1.0000	0.0000	128	22509753	5686.4	172107	217976	409412	413738	0	0	0	0	0	0	25323722	197841	5	65536	2	multi
uring_batched_stream	forward	1	1	25600	128	40	0.0000	0.0000	1.0000	0.0000	128	23154239	5528.1	169559	218505	377291	434751	0	0	0	0	0	0	26633702	208075	5	65536	2	multi
uring_pipelined	forward	1	1	0	128	40	0.0000	0.0000	1.0000	0.0000	128	25495115	5020.6	207577	247632	338196	691629	0	0	0	0	0	0	31772264	248220	5	65536	2	multi
uring_nowait_hybrid	forward	1	1	5120	128	40	0.0000	0.0000	1.0000	0.0000	128	24215299	5285.9	173788	244119	301077	333106	0	0	0	0	0	0	27682499	216269	5	65536	2	multi
pread_blocking_pooled	forward	2	1	10240	128	40	0.0000	0.0000	1.0000	0.0000	128	47063805	2719.7	357773	432302	530565	548683	128	128	221225	405115	0	0	49156479	384034	6	65536	2	multi
pread_nowait	forward	2	1	15360	128	40	0.0000	0.0000	1.0000	0.0000	128	23242485	5507.2	172586	230319	397994	403674	0	0	0	0	0	0	26807147	209430	5	65536	2	multi
pread_nowait_chunked	forward	2	1	20480	128	40	0.0000	0.0000	1.0000	0.0000	128	20056319	6382.0	145191	191268	266469	280994	0	0	0	0	0	0	23167938	180999	5	65536	2	multi
uring_whole	forward	2	1	25600	128	40	0.0000	0.0000	1.0000	0.0000	128	20455882	6257.4	152818	194603	252525	325502	0	0	0	0	0	0	23932566	186973	5	65536	2	multi
uring_tuned	forward	2	1	0	128	40	0.0000	0.0000	1.0000	0.0000	128	21596614	5926.9	162891	192280	328257	384890	0	0	0	0	0	0	24620471	192347	5	65536	2	multi
uring_batched_stream	forward	2	1	5120	128	40	0.0000	0.0000	1.0000	0.0000	128	21983148	5822.6	168789	212360	306653	316797	0	0	0	0	0	0	25207302	196932	5	65536	2	multi
uring_pipelined	forward	2	1	10240	128	40	0.0000	0.0000	1.0000	0.0000	128	22420569	5709.0	170792	198587	264429	332769	0	0	0	0	0	0	27003042	210961	5	65536	2	multi
uring_nowait_hybrid	forward	2	1	15360	128	40	0.0000	0.0000	1.0000	0.0000	128	21578550	5931.8	160689	205792	279780	324266	0	0	0	0	0	0	24412515	190722	5	65536	2	multi
pread_blocking_pooled	forward	3	1	20480	128	40	0.0000	0.0000	1.0000	0.0000	128	50552908	2532.0	384919	464781	581167	612954	128	128	231599	479354	0	0	51737884	404202	6	65536	2	multi
pread_nowait	forward	3	1	25600	128	40	0.0000	0.0000	1.0000	0.0000	128	20092162	6370.6	145415	189162	419037	455642	0	0	0	0	0	0	22892610	178848	5	65536	2	multi
pread_nowait_chunked	forward	3	1	0	128	40	0.0000	0.0000	1.0000	0.0000	128	22950434	5577.2	166947	212058	306631	351991	0	0	0	0	0	0	26332256	205720	5	65536	2	multi
uring_whole	forward	3	1	5120	128	40	0.0000	0.0000	1.0000	0.0000	128	25123163	5094.9	189982	229664	313772	433289	0	0	0	0	0	0	28929650	226012	5	65536	2	multi
uring_tuned	forward	3	1	10240	128	40	0.0000	0.0000	1.0000	0.0000	128	40557282	3156.0	319556	373814	484172	546482	0	0	0	0	0	0	47243809	369092	5	65536	2	multi
uring_batched_stream	forward	3	1	15360	128	40	0.0000	0.0000	1.0000	0.0000	128	22417371	5709.9	163761	221115	318630	377962	0	0	0	0	0	0	26529338	207260	5	65536	2	multi
uring_pipelined	forward	3	1	20480	128	40	0.0000	0.0000	1.0000	0.0000	128	28467344	4496.4	214145	266547	408654	427012	0	0	0	0	0	0	33913938	264952	5	65536	2	multi
uring_nowait_hybrid	forward	3	1	25600	128	40	0.0000	0.0000	1.0000	0.0000	128	20927799	6116.3	154510	192610	269928	296736	0	0	0	0	0	0	24689408	192886	5	65536	2	multi
