arm	trace	repeat	concurrency	region_start	region_frames	region_stride	mix_target	mix_achieved	hit_resident	miss_resident	asks	wall_ns	throughput_fps	p50_ns	p90_ns	p99_ns	max_ns	hop_count	hop_events	hop_p50_ns	hop_p99_ns	gap_p99_ns	gap_max_ns	cpu_ns	cpu_per_ask_ns	threads_max	read_chunk	uring_depth	runtime
uring_nowait_hybrid	forward	1	1	0	128	40	0.0000	0.0000	1.0000	0.0000	128	22419672	5709.3	164543	210947	289711	487502	0	0	0	0	0	0	26626920	208022	5	65536	2	multi
uring_pipelined	forward	1	1	5120	128	40	0.0000	0.0000	1.0000	0.0000	128	27753685	4612.0	209472	256375	356656	470821	0	0	0	0	0	0	33437369	261229	5	65536	2	multi
uring_batched_stream	forward	1	1	10240	128	40	0.0000	0.0000	1.0000	0.0000	128	26541428	4822.6	199654	258488	345743	490681	0	0	0	0	0	0	30527928	238499	5	65536	2	multi
uring_tuned	forward	1	1	15360	128	40	0.0000	0.0000	1.0000	0.0000	128	21860714	5855.3	164016	202944	267900	531608	0	0	0	0	0	0	25263952	197374	5	65536	2	multi
uring_whole	forward	1	1	20480	128	40	0.0000	0.0000	1.0000	0.0000	128	26963537	4747.2	199712	302697	364929	501968	0	0	0	0	0	0	30601250	239072	5	65536	2	multi
pread_nowait_chunked	forward	1	1	25600	128	40	0.0000	0.0000	1.0000	0.0000	128	27982900	4574.2	209914	293322	348053	378681	0	0	0	0	0	0	32781580	256106	5	65536	2	multi
pread_nowait	forward	1	1	0	128	40	0.0000	0.0000	1.0000	0.0000	128	18614168	6876.5	145085	175268	262375	262386	0	0	0	0	0	0	21509786	168045	5	65536	2	multi
pread_blocking_pooled	forward	1	1	5120	128	40	0.0000	0.0000	1.0000	0.0000	128	52827426	2423.0	400689	489111	668716	915240	128	128	210786	519711	0	0	54922110	429078	6	65536	2	multi
uring_nowait_hybrid	forward	2	1	10240	128	40	0.0000	0.0000	1.0000	0.0000	128	20983041	6100.2	159078	187816	266771	318982	0	0	0	0	0	0	24412264	190720	5	65536	2	multi
uring_pipelined	forward	2	1	15360	128	40	0.0000	0.0000	1.0000	0.0000	128	34387940	3722.2	234614	400649	487615	555369	0	0	0	0	0	0	41422521	323613	5	65536	2	multi
uring_batched_stream	forward	2	1	20480	128	40	0.0000	0.0000	1.0000	0.0000	128	24012033	5330.7	169144	255822	330891	479946	0	0	0	0	0	0	28853162	225415	5	65536	2	multi
uring_tuned	forward	2	1	25600	128	40	0.0000	0.0000	1.0000	0.0000	128	22366742	5722.8	168080	211242	337169	384458	0	0	0	0	0	0	25840871	201881	5	65536	2	multi
uring_whole	forward	2	1	0	128	40	0.0000	0.0000	1.0000	0.0000	128	24712959	5179.5	182189	320195	402693	463523	0	0	0	0	0	0	28204511	220347	5	65536	2	multi
pread_nowait_chunked	forward	2	1	5120	128	40	0.0000	0.0000	1.0000	0.0000	128	20840855	6141.8	169852	208783	300028	309034	0	0	0	0	0	0	23877766	186545	5	65536	2	multi
