arm	trace	repeat	concurrency	region_start	region_frames	region_stride	mix_target	mix_achieved	hit_resident	miss_resident	asks	wall_ns	throughput_fps	p50_ns	p90_ns	p99_ns	max_ns	hop_count	hop_events	hop_p50_ns	hop_p99_ns	gap_p99_ns	gap_max_ns	cpu_ns	cpu_per_ask_ns	threads_max	read_chunk	uring_depth	runtime
pread_nowait_chunked	forward	1	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	418432165	764.8	1295924	1446315	1636127	2347869	320	639	995461	1217333	0	0	174663141	545822	6	65536	2	multi
pread_nowait	forward	1	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	193025537	1657.8	604224	831788	1102249	1275513	320	320	386189	553428	0	0	130120610	406626	6	65536	2	multi
pread_blocking_pooled	forward	1	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	200650030	1594.8	616766	713456	844736	1831056	320	320	577489	721777	0	0	97010127	303156	6	65536	2	multi
uring_whole	forward	1	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	176570500	1812.3	535330	658593	772934	863609	320	320	350186	561131	0	0	106285467	332142	5	65536	2	multi
uring_batched_stream	forward	1	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	206080374	1552.8	639617	732839	903694	1154936	320	639	454304	630444	0	0	132401342	413754	5	65536	2	multi
pread_nowait_chunked	forward	2	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	393977509	812.2	1210556	1401001	1609668	1945750	320	640	900210	1204570	0	0	171254551	535170	6	65536	2	multi
pread_nowait	forward	2	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	155384468	2059.4	468737	589294	850649	1212319	320	320	337394	509595	0	0	96830980	302596	6	65536	2	multi
pread_blocking_pooled	forward	2	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	172309012	1857.1	498646	654668	1195322	2687396	320	320	445200	1154106	0	0	93441745	292005	6	65536	2	multi
uring_whole	forward	2	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	181065323	1767.3	547494	658214	832877	1917533	320	320	348272	561616	0	0	109320211	341625	5	65536	2	multi
uring_batched_stream	forward	2	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	183137436	1747.3	559705	680131	811951	882876	320	631	365992	569763	0	0	136136071	425425	5	65536	2	multi
pread_nowait_chunked	forward	3	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	399985445	800.0	1242222	1417189	1600159	2008792	320	639	923577	1287823	0	0	179054555	559545	7	65536	2	multi
pread_nowait	forward	3	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	166699743	1919.6	511422	623298	775761	847755	320	320	357900	550941	0	0	100174490	313045	6	65536	2	multi
pread_blocking_pooled	forward	3	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	173311507	1846.4	513560	682861	1067326	2887289	320	320	468627	1045119	0	0	87027756	271961	6	65536	2	multi
uring_whole	forward	3	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	176590354	1812.1	537563	629591	839585	2198574	320	320	337479	636189	0	0	96406919	301271	5	65536	2	multi
uring_batched_stream	forward	3	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	185519986	1724.9	562730	688984	941070	1722999	320	625	365096	704568	0	0	130452695	407664	5	65536	2	multi
pread_nowait_chunked	forward	4	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	397458910	805.1	1200387	1481410	2115142	3929374	320	640	884468	1839603	0	0	173547318	542335	6	65536	2	multi
pread_nowait	forward	4	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	128908533	2482.4	389744	473733	636831	1318777	320	320	274400	426118	0	0	82384159	257450	6	65536	2	multi
pread_blocking_pooled	forward	4	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	156301014	2047.3	474659	583662	832717	903444	320	320	415738	742752	0	0	90176279	281800	6	65536	2	multi
uring_whole	forward	4	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	167958964	1905.2	496691	621248	1016287	1670559	320	320	311490	865412	0	0	102327666	319773	5	65536	2	multi
uring_batched_stream	forward	4	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	189513265	1688.5	580060	727465	919866	1104522	320	622	384720	728891	0	0	132525870	414143	5	65536	2	multi
pread_nowait_chunked	forward	5	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	462643096	691.7	1422845	1712239	2035438	2995082	320	639	1112412	1757697	0	0	182889614	571530	6	65536	2	multi
pread_nowait	forward	5	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	205126761	1560.0	576043	914084	1332895	3242018	320	320	374583	1147457	0	0	144002256	450007	7	65536	2	multi
pread_blocking_pooled	forward	5	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	160451678	1994.4	488279	589648	749372	1178696	320	320	448247	642811	0	0	80860862	252690	6	65536	2	multi
uring_whole	forward	5	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	158421501	2019.9	484485	575573	801784	849253	320	320	301543	468070	0	0	93470626	292095	5	65536	2	multi
uring_batched_stream	forward	5	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	166367227	1923.5	501986	620212	737396	1048560	320	613	311040	445416	0	0	132113199	412853	5	65536	2	multi
pread_nowait_chunked	forward	1	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	333550554	959.4	2074190	2808889	3720220	4228119	320	813	1696197	3308791	0	0	207103711	647199	8	65536	2	multi
pread_nowait	forward	1	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	129564474	2469.8	664266	1090064	2556924	2872627	320	320	500265	2411624	0	0	160858186	502681	7	65536	2	multi
pread_blocking_pooled	forward	1	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	116929749	2736.7	679801	912399	1552832	1934185	320	320	606212	1394487	0	0	99008285	309400	7	65536	2	multi
uring_whole	forward	1	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	140585389	2276.2	603186	2146044	2758637	3845621	320	320	442614	2497143	0	0	159031380	496973	5	65536	2	multi
uring_batched_stream	forward	1	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	154417413	2072.3	773804	1045199	4344096	6822346	320	630	609201	4128669	0	0	161741292	505441	5	65536	2	multi
pread_nowait_chunked	forward	2	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	475307442	673.2	2447381	5423890	9730970	12212611	320	753	2091694	7227520	0	0	397639781	1242624	8	65536	2	multi
pread_nowait	forward	2	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	198836216	1609.4	647178	1891216	11375250	14942166	320	320	496474	10818343	0	0	259775730	811799	8	65536	2	multi
pread_blocking_pooled	forward	2	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	209365861	1528.4	701232	1834872	7954242	10032165	320	320	631881	7839635	0	0	211427507	660710	8	65536	2	multi
uring_whole	forward	2	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	224111984	1427.9	551619	2940387	11127774	16083696	320	320	385033	10932448	0	0	247372869	773040	5	65536	2	multi
uring_batched_stream	forward	2	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	146115483	2190.0	856792	1149941	1991399	2614511	320	634	683620	1781793	0	0	129622863	405071	5	65536	2	multi
pread_nowait_chunked	forward	3	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	367373573	871.0	2142735	3456770	4756295	6894892	320	781	1816998	4376626	0	0	291693459	911542	8	65536	2	multi
pread_nowait	forward	3	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	176645112	1811.5	802100	2053823	4903900	9836963	320	320	614186	4810274	0	0	216963254	678010	7	65536	2	multi
pread_blocking_pooled	forward	3	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	163022721	1962.9	743860	1037411	4658518	5946879	320	320	646545	4609643	0	0	135360492	423001	7	65536	2	multi
uring_whole	forward	3	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	146808930	2179.7	694743	1471604	4393333	8090642	320	320	524027	4004090	0	0	144490956	451534	5	65536	2	multi
uring_batched_stream	forward	3	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	142254563	2249.5	817887	1121448	2195451	3428569	320	627	638939	1994352	0	0	130161341	406754	5	65536	2	multi
pread_nowait_chunked	forward	4	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	541085114	591.4	2211872	3651214	35506665	53723370	320	800	1909883	35137156	0	0	355259097	1110184	8	65536	2	multi
pread_nowait	forward	4	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	119005242	2689.0	649357	855710	3904521	4643213	320	320	495921	3779255	0	0	123907499	387210	7	65536	2	multi
pread_blocking_pooled	forward	4	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	119269844	2683.0	703365	875073	1936075	3086139	320	320	633837	1895172	0	0	100369291	313654	8	65536	2	multi
uring_whole	forward	4	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	111862001	2860.7	671897	817365	1599112	2682105	320	320	509997	1041224	0	0	89090072	278406	5	65536	2	multi
uring_batched_stream	forward	4	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	143429403	2231.1	836670	1144237	1770112	2525977	320	631	663478	1503203	0	0	133155294	416110	5	65536	2	multi
pread_nowait_chunked	forward	5	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	360071975	888.7	1947544	2847972	6876383	27063896	320	791	1582744	6546880	0	0	244148407	762963	8	65536	2	multi
pread_nowait	forward	5	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	173995656	1839.1	628823	1992669	4827107	12240544	320	320	483674	4699536	0	0	235645985	736393	7	65536	2	multi
pread_blocking_pooled	forward	5	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	139092682	2300.6	796067	1128362	1893884	2694130	320	320	689106	1753949	0	0	134481764	420255	8	65536	2	multi
uring_whole	forward	5	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	132615561	2413.0	731984	1041786	2429830	2780685	319	319	522692	2145496	0	0	133700501	417814	5	65536	2	multi
uring_batched_stream	forward	5	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	132746956	2410.6	803452	1028799	1512076	2270260	320	613	580180	1316350	0	0	147705896	461580	5	65536	2	multi
pread_nowait_chunked	forward	1	4	0	320	40	1.0000	1.0000	0.0000	0.0001	320	300801580	1063.8	3439394	5282594	6753430	7258733	320	901	3052755	5872779	0	0	277557238	867366	11	65536	2	multi
pread_nowait	forward	1	4	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	93412957	3425.6	1016644	1472382	4743678	5792646	320	320	780451	4532145	0	0	125467205	392085	10	65536	2	multi
