arm	trace	repeat	concurrency	region_start	region_frames	region_stride	mix_target	mix_achieved	hit_resident	miss_resident	asks	wall_ns	throughput_fps	p50_ns	p90_ns	p99_ns	max_ns	hop_count	hop_events	hop_p50_ns	hop_p99_ns	gap_p99_ns	gap_max_ns	cpu_ns	cpu_per_ask_ns	threads_max	read_chunk	uring_depth	runtime
uring_batched_stream	forward	1	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	192113412	1665.7	568091	721201	1071424	4675449	320	631	381280	668229	0	0	132761452	414879	5	65536	2	multi
uring_whole	forward	1	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	172760199	1852.3	529635	653896	835509	933981	320	320	349770	494035	0	0	101444505	317014	5	65536	2	multi
pread_blocking_pooled	forward	1	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	143929379	2223.3	432954	523411	653068	1451835	320	320	384214	579644	0	0	78274971	244609	6	65536	2	multi
pread_nowait	forward	1	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	151264731	2115.5	457147	565564	714492	788474	320	320	322629	506790	0	0	91035266	284485	6	65536	2	multi
pread_nowait_chunked	forward	1	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	404850310	790.4	1248790	1406605	1692451	2526388	320	639	985523	1406065	0	0	153091809	478411	6	65536	2	multi
uring_batched_stream	forward	2	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	171017003	1871.2	528405	615230	820047	1042459	320	627	349704	587222	0	0	121202789	378758	5	65536	2	multi
uring_whole	forward	2	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	158823730	2014.8	482510	554438	678621	1294822	320	320	320491	442791	0	0	85893005	268415	5	65536	2	multi
pread_blocking_pooled	forward	2	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	180000897	1777.8	555607	674459	915888	1319253	320	320	499390	886010	0	0	100977756	315555	6	65536	2	multi
pread_nowait	forward	2	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	155492449	2058.0	459939	618515	861645	1304837	320	320	340175	519910	0	0	89726740	280396	6	65536	2	multi
pread_nowait_chunked	forward	2	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	403693654	792.7	1218793	1414555	1549708	14163816	320	640	923660	1297053	0	0	171963176	537384	7	65536	2	multi
uring_batched_stream	forward	3	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	177101865	1806.9	535628	661267	832708	1320557	320	618	340463	561629	0	0	130899367	409060	5	65536	2	multi
uring_whole	forward	3	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	148640768	2152.8	453851	550057	762423	891740	320	320	267669	426641	0	0	92835903	290112	5	65536	2	multi
pread_blocking_pooled	forward	3	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	195012020	1640.9	617598	800162	897796	1143306	320	320	531797	796166	0	0	112414963	351296	6	65536	2	multi
pread_nowait	forward	3	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	196764664	1626.3	587688	790054	887129	1041125	320	320	395042	583912	0	0	127301812	397818	6	65536	2	multi
pread_nowait_chunked	forward	3	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	431670739	741.3	1333542	1519890	1740825	1769438	320	639	986762	1200883	0	0	205088930	640902	6	65536	2	multi
uring_batched_stream	forward	4	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	222769476	1436.5	655891	816654	1105215	8429781	320	618	409933	905881	0	0	169310600	529095	5	65536	2	multi
