arm	trace	repeat	concurrency	region_start	region_frames	region_stride	mix_target	mix_achieved	hit_resident	miss_resident	asks	wall_ns	throughput_fps	p50_ns	p90_ns	p99_ns	max_ns	hop_count	hop_events	hop_p50_ns	hop_p99_ns	gap_p99_ns	gap_max_ns	cpu_ns	cpu_per_ask_ns	threads_max	read_chunk	uring_depth	runtime
pread_nowait_chunked	forward	1	32	0	320	40	1.0000	1.0000	0.0000	0.0001	320	187403008	1707.5	17780671	22191410	25693438	29828452	320	953	17097290	25161372	0	0	109411285	341910	21	65536	2	multi
pread_nowait	forward	1	32	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	62252794	5140.3	6117467	6646826	8842692	10326820	320	320	5909520	8627555	0	0	86384055	269950	21	65536	2	multi
pread_blocking_pooled	forward	1	32	0	320	40	1.0000	1.0000	0.0000	0.0001	320	64744153	4942.5	6222172	7530947	8432442	9407268	320	320	6104776	8351069	0	0	81815635	255673	21	65536	2	multi
uring_whole	forward	1	32	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	67306532	4754.4	6428257	7507681	10235868	12994825	320	320	6237123	9986870	0	0	85960298	268625	5	65536	2	multi
pread_nowait_chunked	forward	2	32	0	320	40	1.0000	1.0000	0.0000	0.0001	320	196231261	1630.7	19135238	23654920	27650616	34346488	320	943	18479129	27237426	0	0	104535013	326671	21	65536	2	multi
pread_nowait	forward	2	32	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	61595766	5195.2	5871742	7742873	8475880	11408429	320	320	5746319	8301387	0	0	82084825	256515	21	65536	2	multi
pread_blocking_pooled	forward	2	32	0	320	40	1.0000	1.0000	0.0000	0.0001	320	65314043	4899.4	6271341	7634103	8555968	8997824	320	320	6156763	8457607	0	0	79836342	249488	21	65536	2	multi
uring_whole	forward	2	32	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	64145731	4988.6	6036048	6890132	11185761	12612055	320	320	5837679	10996458	0	0	80771815	252411	5	65536	2	multi
pread_nowait_chunked	forward	3	32	0	320	40	1.0000	1.0000	0.0000	0.0001	320	197317896	1621.7	19274305	22733247	27225126	29805154	320	946	18741459	26605091	0	0	100883127	315259	21	65536	2	multi
pread_nowait	forward	3	32	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	75124937	4259.6	7042839	8315574	11158436	14196302	320	320	6888112	10848272	0	0	88596678	276864	21	65536	2	multi
pread_blocking_pooled	forward	3	32	0	320	40	1.0000	1.0000	0.0000	0.0001	320	72285802	4426.9	6968412	8306611	9505697	9940787	320	320	6852529	9333659	0	0	102666306	320832	21	65536	2	multi
uring_whole	forward	3	32	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	74181521	4313.7	6855469	8521288	12274771	13381259	320	320	6604906	12115274	0	0	100590627	314345	5	65536	2	multi
pread_nowait_chunked	forward	4	32	0	320	40	1.0000	1.0000	0.0000	0.0001	320	197220244	1622.6	19128932	23635260	27756337	28338269	320	945	18571001	27200081	0	0	125734240	392919	21	65536	2	multi
pread_nowait	forward	4	32	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	67418785	4746.5	6396890	7744337	10001461	13297023	320	320	6219383	9844684	0	0	87396292	273113	21	65536	2	multi
pread_blocking_pooled	forward	4	32	0	320	40	1.0000	1.0000	0.0000	0.0001	320	77052198	4153.0	7002429	9485170	11850594	12784326	320	320	6897824	11691267	0	0	85788199	268088	21	65536	2	multi
uring_whole	forward	4	32	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	72887161	4390.3	6713369	8431226	13122012	13790420	320	320	6495924	12938312	0	0	90866817	283958	5	65536	2	multi
pread_nowait_chunked	forward	5	32	0	320	40	1.0000	1.0000	0.0000	0.0001	320	187352161	1708.0	17682540	22144356	25848047	29794693	320	945	17161317	25408926	0	0	99726140	311644	21	65536	2	multi
pread_nowait	forward	5	32	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	73250638	4368.6	7241123	7823064	10998016	12568294	320	320	7069385	10801597	0	0	87388707	273089	21	65536	2	multi
pread_blocking_pooled	forward	5	32	0	320	40	1.0000	1.0000	0.0000	0.0001	320	71781927	4457.9	7043865	8142499	8893900	9199493	320	320	6959047	8860530	0	0	80838074	252618	21	65536	2	multi
uring_whole	forward	5	32	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	73998928	4324.4	7243824	8073060	9350901	11544850	320	320	7033445	9146883	0	0	92665095	289578	5	65536	2	multi
