arm	trace	repeat	concurrency	region_start	region_frames	region_stride	mix_target	mix_achieved	hit_resident	miss_resident	asks	wall_ns	throughput_fps	p50_ns	p90_ns	p99_ns	max_ns	hop_count	hop_events	hop_p50_ns	hop_p99_ns	gap_p99_ns	gap_max_ns	cpu_ns	cpu_per_ask_ns	threads_max	read_chunk	uring_depth	runtime
pread_nowait_chunked	forward	1	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	389059540	822.5	1196646	1418443	1711781	3045813	320	639	947140	1391022	0	0	154541773	482943	6	65536	2	multi
pread_nowait_chunked	forward	2	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	387017321	826.8	1205762	1350588	1511536	1640761	320	640	918064	1131725	0	0	159639377	498873	6	65536	2	multi
pread_nowait_chunked	forward	3	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	391778793	816.8	1216379	1421243	1872615	3903480	320	639	896870	1559113	0	0	168976692	528052	7	65536	2	multi
pread_nowait_chunked	forward	4	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	371978191	860.3	1125115	1338260	1614366	3065192	320	640	848296	1152991	0	0	158338429	494807	6	65536	2	multi
pread_nowait_chunked	forward	5	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	373637622	856.4	1119474	1440166	2149183	2462639	320	639	851817	1256980	0	0	182360946	569877	6	65536	2	multi
pread_nowait_chunked	forward	1	8	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	263092374	1216.3	6487478	8090173	9944001	10604160	320	933	6024834	9372898	0	0	192172774	600539	16	65536	2	multi
pread_nowait_chunked	forward	2	8	0	320	40	1.0000	1.0000	0.0000	0.0001	320	200123131	1599.0	4853915	6014992	7548534	8040833	320	939	4325220	7074246	0	0	195250789	610158	17	65536	2	multi
pread_nowait_chunked	forward	3	8	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	192781043	1659.9	4839999	5482003	6347937	7650292	320	938	4333777	5901128	0	0	169725129	530391	17	65536	2	multi
pread_nowait_chunked	forward	4	8	0	320	40	1.0000	1.0000	0.0000	0.0001	320	189447129	1689.1	4741428	5663956	6564029	7763354	320	939	4263349	6011598	0	0	161785996	505581	16	65536	2	multi
pread_nowait_chunked	forward	5	8	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	180990483	1768.0	4465055	5426921	6807160	7662821	320	940	4026014	6471509	0	0	144413170	451291	16	65536	2	multi
pread_nowait_chunked	forward	1	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	55585954	5756.9	161915	229932	327330	449854	0	0	0	0	0	0	63379287	198060	5	65536	2	multi
pread_nowait_chunked	forward	2	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	49835886	6421.1	149175	183342	226487	318900	0	0	0	0	0	0	56498008	176556	5	65536	2	multi
pread_nowait_chunked	forward	3	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	56790603	5634.7	167957	224491	298136	343336	0	0	0	0	0	0	64218213	200681	5	65536	2	multi
pread_nowait_chunked	forward	4	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	50067460	6391.4	147932	190205	253211	282194	0	0	0	0	0	0	57652545	180164	5	65536	2	multi
pread_nowait_chunked	forward	5	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	55055212	5812.3	168804	201159	268460	307021	0	0	0	0	0	0	62893891	196543	5	65536	2	multi
pread_nowait_chunked	forward	1	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	9304483	34392.0	218452	308092	380199	454002	0	0	0	0	0	0	35682825	111508	5	65536	2	multi
pread_nowait_chunked	forward	2	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	10378298	30833.6	235109	328152	387422	549074	0	0	0	0	0	0	40436483	126364	5	65536	2	multi
pread_nowait_chunked	forward	3	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	13065673	24491.7	245978	384331	1071810	1202715	0	0	0	0	0	0	46953714	146730	5	65536	2	multi
pread_nowait_chunked	forward	4	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	10487328	30513.0	242529	331373	411118	478467	0	0	0	0	0	0	41775440	130548	5	65536	2	multi
pread_nowait_chunked	forward	5	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	10410463	30738.3	238365	329856	437155	487064	0	0	0	0	0	0	41624011	130075	5	65536	2	multi
