arm	trace	repeat	concurrency	region_start	region_frames	region_stride	mix_target	mix_achieved	hit_resident	miss_resident	asks	wall_ns	throughput_fps	p50_ns	p90_ns	p99_ns	max_ns	hop_count	hop_events	hop_p50_ns	hop_p99_ns	gap_p99_ns	gap_max_ns	cpu_ns	cpu_per_ask_ns	threads_max	read_chunk	uring_depth	runtime
pread_nowait_chunked	forward	1	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	56777196	5636.1	171863	204306	309598	405473	0	0	0	0	0	0	64406872	201271	5	65536	2	multi
pread_nowait_escalate	forward	1	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	57937501	5523.2	174899	218733	279663	290149	0	0	0	0	0	0	65262665	203945	5	65536	2	multi
pread_nowait	forward	1	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	49595576	6452.2	154271	192081	265218	348193	0	0	0	0	0	0	56534541	176670	5	65536	2	multi
uring_whole	forward	1	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	60157315	5319.4	176293	256453	416202	476537	0	0	0	0	0	0	69535529	217298	5	65536	2	multi
pread_blocking_pooled	forward	1	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	102409955	3124.7	343006	409825	585461	654199	320	320	187975	295980	0	0	111728755	349152	6	65536	2	multi
pread_nowait_chunked	forward	2	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	52470901	6098.6	156631	199882	281323	308456	0	0	0	0	0	0	60363181	188634	5	65536	2	multi
pread_nowait_escalate	forward	2	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	46528193	6877.6	136353	171314	211643	291296	0	0	0	0	0	0	54106186	169081	5	65536	2	multi
pread_nowait	forward	2	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	63617861	5030.0	180739	294991	347533	382843	0	0	0	0	0	0	73235261	228860	5	65536	2	multi
uring_whole	forward	2	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	56924376	5621.5	165854	224033	402563	430505	0	0	0	0	0	0	65897540	205929	5	65536	2	multi
pread_blocking_pooled	forward	2	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	116077188	2756.8	391333	476631	530389	1139135	320	320	157340	241767	0	0	125577866	392430	6	65536	2	multi
pread_nowait_chunked	forward	3	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	54610591	5859.7	158062	193220	442857	1311268	0	0	0	0	0	0	61629961	192593	5	65536	2	multi
pread_nowait_escalate	forward	3	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	61659061	5189.8	167774	278443	332568	348465	0	0	0	0	0	0	71014842	221921	5	65536	2	multi
pread_nowait	forward	3	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	60167956	5318.4	169321	253843	448835	558433	0	0	0	0	0	0	70620283	220688	5	65536	2	multi
uring_whole	forward	3	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	58765679	5445.4	179711	213913	267943	380411	0	0	0	0	0	0	68426929	213834	5	65536	2	multi
pread_blocking_pooled	forward	3	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	132167631	2421.2	412622	484138	557095	609090	320	320	209529	308730	0	0	140297633	438430	6	65536	2	multi
pread_nowait_chunked	forward	4	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	56280157	5685.8	161808	222695	328149	442915	0	0	0	0	0	0	64312903	200977	5	65536	2	multi
pread_nowait_escalate	forward	4	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	47488380	6738.5	140572	172097	223517	241638	0	0	0	0	0	0	54395866	169987	5	65536	2	multi
pread_nowait	forward	4	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	40115409	7977.0	118077	147829	211301	238199	0	0	0	0	0	0	45576203	142425	5	65536	2	multi
uring_whole	forward	4	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	59268926	5399.1	185844	219704	308437	456008	0	0	0	0	0	0	68267311	213335	5	65536	2	multi
pread_blocking_pooled	forward	4	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	79628842	4018.6	221993	417292	488272	529261	320	320	127184	212670	0	0	87750913	274221	6	65536	2	multi
pread_nowait_chunked	forward	5	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	48205196	6638.3	140081	179363	258968	308929	0	0	0	0	0	0	55059637	172061	5	65536	2	multi
pread_nowait_escalate	forward	5	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	56924862	5621.4	168681	236092	319492	338158	0	0	0	0	0	0	65364721	204264	5	65536	2	multi
pread_nowait	forward	5	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	46720595	6849.2	144363	168431	232781	266378	0	0	0	0	0	0	53056335	165801	5	65536	2	multi
uring_whole	forward	5	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	49782498	6428.0	152118	185357	278660	534834	0	0	0	0	0	0	58927324	184147	5	65536	2	multi
pread_blocking_pooled	forward	5	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	109993456	2909.3	351129	432151	545425	1183889	320	320	189112	338548	0	0	118374919	369921	6	65536	2	multi
pread_nowait_chunked	forward	1	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	16068022	19915.3	358194	506717	633333	4307231	0	0	0	0	0	0	54721792	171005	5	65536	2	multi
pread_nowait_escalate	forward	1	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	13530316	23650.6	306246	405176	542211	596866	0	0	0	0	0	0	51653498	161417	5	65536	2	multi
pread_nowait	forward	1	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	13967346	22910.6	299384	524064	819743	1189395	0	0	0	0	0	0	50744441	158576	5	65536	2	multi
uring_whole	forward	1	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	11561908	27677.1	226607	408039	535905	721236	0	0	0	0	0	0	43560935	136127	5	65536	2	multi
pread_blocking_pooled	forward	1	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	18198463	17583.9	356870	741738	1499276	1619356	320	320	193484	1140099	0	0	55918417	174745	22	65536	2	multi
pread_nowait_chunked	forward	2	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	12914647	24778.1	300016	403881	530496	580697	0	0	0	0	0	0	50824041	158825	5	65536	2	multi
pread_nowait_escalate	forward	2	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	13492388	23717.1	281926	410652	517678	537874	0	0	0	0	0	0	50596338	158113	5	65536	2	multi
pread_nowait	forward	2	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	8909262	35917.7	199023	326782	442479	546332	0	0	0	0	0	0	35512060	110975	5	65536	2	multi
uring_whole	forward	2	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	10340027	30947.7	223651	343634	723995	989312	0	0	0	0	0	0	40103908	125324	5	65536	2	multi
pread_blocking_pooled	forward	2	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	20285787	15774.6	340389	760061	2441237	2510231	320	320	200385	2307781	0	0	49123373	153510	28	65536	2	multi
pread_nowait_chunked	forward	3	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	9670707	33089.6	219346	306532	429588	512985	0	0	0	0	0	0	38489304	120279	5	65536	2	multi
pread_nowait_escalate	forward	3	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	8930803	35831.0	206970	276474	346439	364292	0	0	0	0	0	0	35548070	111087	5	65536	2	multi
pread_nowait	forward	3	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	8727396	36666.1	198775	318600	446155	807574	0	0	0	0	0	0	35134193	109794	5	65536	2	multi
uring_whole	forward	3	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	10135087	31573.5	218199	350290	567103	873239	0	0	0	0	0	0	40019683	125061	5	65536	2	multi
pread_blocking_pooled	forward	3	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	15948122	20065.1	334100	595980	1024567	1239410	320	320	180113	721646	0	0	49408455	154401	20	65536	2	multi
pread_nowait_chunked	forward	4	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	9077359	35252.5	204267	279073	326636	357795	0	0	0	0	0	0	34873435	108979	5	65536	2	multi
pread_nowait_escalate	forward	4	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	10171402	31460.8	225831	316841	416281	427704	0	0	0	0	0	0	39796953	124365	5	65536	2	multi
pread_nowait	forward	4	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	9616668	33275.6	213745	351273	504582	677619	0	0	0	0	0	0	37705659	117830	5	65536	2	multi
uring_whole	forward	4	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	11450107	27947.3	251719	391818	701750	931785	0	0	0	0	0	0	44220679	138189	5	65536	2	multi
pread_blocking_pooled	forward	4	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	19904975	16076.4	405132	773523	1184493	1769926	320	320	228772	847863	0	0	66528458	207901	23	65536	2	multi
pread_nowait_chunked	forward	5	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	12346215	25918.9	265603	379412	475089	655514	0	0	0	0	0	0	46488056	145275	5	65536	2	multi
pread_nowait_escalate	forward	5	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	12018920	26624.7	266447	379116	499743	688984	0	0	0	0	0	0	46559693	145499	5	65536	2	multi
pread_nowait	forward	5	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	12332455	25947.8	248743	441208	640024	860733	0	0	0	0	0	0	48024133	150075	5	65536	2	multi
uring_whole	forward	5	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	14980144	21361.6	291625	540842	898303	1238234	0	0	0	0	0	0	56353983	176106	5	65536	2	multi
pread_blocking_pooled	forward	5	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	23119766	13841.0	506870	875934	1417078	1701989	320	320	252777	984945	0	0	69621927	217568	19	65536	2	multi
pread_nowait_chunked	forward	1	1	0	320	40	0.5000	0.5000	1.0000	0.0000	320	224922016	1422.7	647359	1393600	1548664	1624757	160	320	954050	1168070	0	0	127499688	398436	6	65536	2	multi
pread_nowait_escalate	forward	1	1	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	119215955	2684.2	456284	628746	759529	1181750	160	160	434870	537718	0	0	85116060	265987	6	65536	2	multi
pread_nowait	forward	1	1	0	320	40	0.5000	0.5000	1.0000	0.0000	320	94634638	3381.4	363400	488525	571520	627586	160	160	313033	453379	0	0	67487352	210897	6	65536	2	multi
uring_whole	forward	1	1	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	107296071	2982.4	404215	542481	675734	724488	160	160	309395	433931	0	0	77695150	242797	5	65536	2	multi
pread_blocking_pooled	forward	1	1	0	320	40	0.5000	0.5000	1.0000	0.0000	320	117415912	2725.4	372132	565551	657383	686909	320	320	308513	585454	0	0	78856882	246427	6	65536	2	multi
pread_nowait_chunked	forward	2	1	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	237139188	1349.4	750856	1486802	1646870	2297575	160	320	1018428	1349530	0	0	128941951	402943	6	65536	2	multi
pread_nowait_escalate	forward	2	1	0	320	40	0.5000	0.5000	1.0000	0.0001	320	136342795	2347.0	429986	739116	1026987	1184805	160	160	516389	913626	0	0	98716293	308488	6	65536	2	multi
pread_nowait	forward	2	1	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	107960157	2964.1	371353	602219	838530	1231186	160	160	318866	505018	0	0	83750792	261721	6	65536	2	multi
uring_whole	forward	2	1	0	320	40	0.5000	0.5000	1.0000	0.0001	320	125720286	2545.3	466082	656951	821236	1350839	160	160	320701	503746	0	0	105108865	328465	5	65536	2	multi
pread_blocking_pooled	forward	2	1	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	140789245	2272.9	440539	675151	825888	916593	320	320	329067	670290	0	0	108980931	340565	6	65536	2	multi
pread_nowait_chunked	forward	3	1	0	320	40	0.5000	0.5000	1.0000	0.0001	320	248506012	1287.7	697975	1376870	3314188	13008810	160	319	872728	2988906	0	0	126686241	395894	6	65536	2	multi
pread_nowait_escalate	forward	3	1	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	121933494	2624.4	403381	657093	1227770	1617004	160	160	443231	1191942	0	0	85635114	267609	6	65536	2	multi
pread_nowait	forward	3	1	0	320	40	0.5000	0.5000	1.0000	0.0001	320	106837795	2995.2	374512	555652	1057561	1449088	160	160	362302	963273	0	0	77909369	243466	6	65536	2	multi
uring_whole	forward	3	1	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	109678007	2917.6	372808	568911	687060	748355	160	160	321264	430978	0	0	81619700	255061	5	65536	2	multi
pread_blocking_pooled	forward	3	1	0	320	40	0.5000	0.5000	1.0000	0.0001	320	115911117	2760.7	375208	554260	624665	1234629	320	320	272722	572069	0	0	80016488	250051	6	65536	2	multi
pread_nowait_chunked	forward	4	1	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	211688847	1511.7	603572	1377638	2488954	2785765	160	320	777468	1871895	0	0	140377939	438681	6	65536	2	multi
pread_nowait_escalate	forward	4	1	0	320	40	0.5000	0.5000	1.0000	0.0001	320	118656662	2696.9	350691	593197	1299299	3204999	160	160	403934	1423674	0	0	91454256	285794	6	65536	2	multi
pread_nowait	forward	4	1	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	79308669	4034.9	287385	425263	485464	503335	160	160	253994	352824	0	0	58950233	184219	6	65536	2	multi
uring_whole	forward	4	1	0	320	40	0.5000	0.5000	1.0000	0.0001	320	102101807	3134.1	348144	530177	659920	1195422	160	160	264523	421101	0	0	80000857	250002	5	65536	2	multi
pread_blocking_pooled	forward	4	1	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	101064815	3166.3	338692	444344	617487	2779133	320	320	295586	504287	0	0	74928795	234152	6	65536	2	multi
pread_nowait_chunked	forward	5	1	0	320	40	0.5000	0.5000	1.0000	0.0000	320	190908393	1676.2	576941	1239345	1352521	1430093	160	320	790990	1063411	0	0	106946722	334208	6	65536	2	multi
pread_nowait_escalate	forward	5	1	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	98895504	3235.7	360567	486444	609307	781562	160	160	346963	444925	0	0	76979624	240561	6	65536	2	multi
pread_nowait	forward	5	1	0	320	40	0.5000	0.5000	1.0000	0.0000	320	91616738	3492.8	313997	499501	688327	801876	160	160	288205	461439	0	0	71051559	222036	6	65536	2	multi
uring_whole	forward	5	1	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	103093639	3104.0	350062	515352	723006	748741	160	160	266757	535838	0	0	81577207	254928	5	65536	2	multi
pread_blocking_pooled	forward	5	1	0	320	40	0.5000	0.5000	1.0000	0.0000	320	109321347	2927.2	362854	522160	647293	733506	320	320	287827	520802	0	0	76290399	238407	6	65536	2	multi
pread_nowait_chunked	forward	1	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	99418631	3218.7	757920	5074191	6367937	8110170	160	469	3899422	5971967	0	0	77772544	243039	15	65536	2	multi
pread_nowait_escalate	forward	1	8	0	320	40	0.5000	0.5000	1.0000	0.0000	320	34066382	9393.4	644075	1578985	1985238	2615157	160	160	1184881	1902059	0	0	57341084	179190	14	65536	2	multi
pread_nowait	forward	1	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	35140649	9106.3	608722	1656719	2361202	2442929	160	160	980606	2049093	0	0	53241681	166380	14	65536	2	multi
uring_whole	forward	1	8	0	320	40	0.5000	0.5000	1.0000	0.0000	320	30439771	10512.6	470257	1354331	1862760	2435858	160	160	904854	1766220	0	0	55451354	173285	5	65536	2	multi
pread_blocking_pooled	forward	1	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	29872799	10712.1	556963	1247095	1740436	2061808	320	320	440672	1652281	0	0	60576138	189300	16	65536	2	multi
pread_nowait_chunked	forward	2	8	0	320	40	0.5000	0.5000	1.0000	0.0001	320	106281610	3010.9	694732	5612481	6417667	6739639	160	464	4336009	5859189	0	0	92404055	288762	14	65536	2	multi
pread_nowait_escalate	forward	2	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	34535463	9265.8	563291	1566397	2061624	2662296	160	160	1252101	1938524	0	0	60136482	187926	14	65536	2	multi
pread_nowait	forward	2	8	0	320	40	0.5000	0.5000	1.0000	0.0001	320	31026680	10313.7	456302	1660702	2108533	2641423	160	160	964245	2147111	0	0	54888280	171525	13	65536	2	multi
uring_whole	forward	2	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	30271288	10571.1	476403	1497386	1745760	1980249	160	160	821856	1522759	0	0	60894582	190295	5	65536	2	multi
pread_blocking_pooled	forward	2	8	0	320	40	0.5000	0.5000	1.0000	0.0001	320	32799805	9756.2	501142	1519305	2316949	2783112	320	320	444014	2180932	0	0	58744803	183577	17	65536	2	multi
pread_nowait_chunked	forward	3	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	98612251	3245.0	1031743	5055621	5591300	5830245	160	476	4098983	5133319	0	0	80998072	253118	15	65536	2	multi
pread_nowait_escalate	forward	3	8	0	320	40	0.5000	0.5000	1.0000	0.0001	320	31195693	10257.8	555570	1553322	1792109	1906813	160	160	1212423	1603378	0	0	51354990	160484	14	65536	2	multi
pread_nowait	forward	3	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	28214216	11341.8	637584	1453585	2021090	2524478	160	160	875188	1849561	0	0	46110746	144096	14	65536	2	multi
uring_whole	forward	3	8	0	320	40	0.5000	0.5000	1.0000	0.0001	320	31837919	10050.9	465345	1601325	2254785	3330826	158	158	923424	2142256	0	0	61272720	191477	5	65536	2	multi
pread_blocking_pooled	forward	3	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	29680321	10781.6	530271	1383611	1776011	1880236	320	320	429441	1662097	0	0	59172799	184914	16	65536	2	multi
pread_nowait_chunked	forward	4	8	0	320	40	0.5000	0.5000	1.0000	0.0001	320	102672512	3116.7	654918	5214607	5872645	6083716	160	475	4150927	5389699	0	0	87193695	272480	15	65536	2	multi
pread_nowait_escalate	forward	4	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	31726439	10086.2	611559	1562769	1850555	2097169	160	160	1204943	1768187	0	0	57804668	180639	16	65536	2	multi
pread_nowait	forward	4	8	0	320	40	0.5000	0.5000	1.0000	0.0001	320	32217551	9932.5	469305	1664328	2422558	2556534	160	160	1059731	2040542	0	0	51534613	161045	15	65536	2	multi
uring_whole	forward	4	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	32262672	9918.6	493284	1565219	2128107	3439719	160	160	990675	1952122	0	0	57569061	179903	5	65536	2	multi
pread_blocking_pooled	forward	4	8	0	320	40	0.5000	0.5000	1.0000	0.0001	320	30128525	10621.2	552501	1457017	2020113	2161712	320	320	443338	1897374	0	0	55934996	174796	17	65536	2	multi
pread_nowait_chunked	forward	5	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	102664879	3116.9	1157131	5120436	7170563	7984183	160	467	4061969	7140249	0	0	84297807	263430	15	65536	2	multi
pread_nowait_escalate	forward	5	8	0	320	40	0.5000	0.5000	1.0000	0.0000	320	31610461	10123.2	544629	1565032	1957623	2108848	160	160	1238533	1779013	0	0	55870878	174596	14	65536	2	multi
pread_nowait	forward	5	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	41489266	7712.8	713675	2091249	5146741	8652097	160	160	974269	4918407	0	0	50673899	158355	15	65536	2	multi
uring_whole	forward	5	8	0	320	40	0.5000	0.5000	1.0000	0.0000	320	33052038	9681.7	622988	1546460	2444875	3431696	158	158	923436	2219811	0	0	59950095	187344	5	65536	2	multi
pread_blocking_pooled	forward	5	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	32973772	9704.7	625618	1324891	1990260	2152710	320	320	490967	1708766	0	0	62803133	196259	19	65536	2	multi
pread_nowait_chunked	forward	1	1	0	320	40	1.0000	1.0000	0.0000	0.0001	320	358185911	893.4	1077567	1245574	2105312	3346816	320	639	838238	1511640	0	0	150448255	470150	6	65536	2	multi
pread_nowait_escalate	forward	1	1	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	173470285	1844.7	526965	623665	850564	1946180	320	320	385721	676844	0	0	105693485	330292	6	65536	2	multi
