arm	trace	repeat	concurrency	region_start	region_frames	region_stride	mix_target	mix_achieved	hit_resident	miss_resident	asks	wall_ns	throughput_fps	p50_ns	p90_ns	p99_ns	max_ns	hop_count	hop_events	hop_p50_ns	hop_p99_ns	gap_p99_ns	gap_max_ns	cpu_ns	cpu_per_ask_ns	threads_max	read_chunk	uring_depth	runtime
pread_blocking_pooled	forward	1	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	75493941	4238.8	223609	296923	417868	625220	320	320	135759	239712	0	0	82482963	257759	6	65536	2	multi
uring_whole	forward	1	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	71989445	4445.1	197781	338726	424965	460324	0	0	0	0	0	0	83608803	261277	5	65536	2	multi
pread_nowait	forward	1	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	45794374	6987.8	130091	191964	292809	356077	0	0	0	0	0	0	52470391	163969	5	65536	2	multi
pread_nowait_escalate	forward	1	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	43343043	7383.0	128150	158943	211794	236405	0	0	0	0	0	0	50040617	156376	5	65536	2	multi
pread_nowait_chunked	forward	1	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	48283839	6627.5	145273	183557	255315	301626	0	0	0	0	0	0	55609694	173780	5	65536	2	multi
pread_blocking_pooled	forward	2	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	83952804	3811.7	262281	319273	454631	620664	320	320	176297	314771	0	0	83148029	259837	7	65536	2	multi
uring_whole	forward	2	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	64479671	4962.8	181217	310941	399396	540720	0	0	0	0	0	0	74332864	232290	5	65536	2	multi
pread_nowait	forward	2	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	51066538	6266.3	141177	234112	316292	523618	0	0	0	0	0	0	57928686	181027	5	65536	2	multi
pread_nowait_escalate	forward	2	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	67148143	4765.6	179668	340219	485760	595395	0	0	0	0	0	0	76477350	238991	5	65536	2	multi
pread_nowait_chunked	forward	2	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	60279167	5308.6	168962	293482	356154	375272	0	0	0	0	0	0	69124115	216012	5	65536	2	multi
pread_blocking_pooled	forward	3	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	72989573	4384.2	218079	270500	446802	484184	320	320	116152	227804	0	0	81778838	255558	6	65536	2	multi
uring_whole	forward	3	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	55194775	5797.7	169103	205519	338743	535455	0	0	0	0	0	0	63176199	197425	5	65536	2	multi
pread_nowait	forward	3	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	58095318	5508.2	183643	213711	247960	341986	0	0	0	0	0	0	66275165	207109	5	65536	2	multi
pread_nowait_escalate	forward	3	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	50019799	6397.5	155944	181507	214155	270986	0	0	0	0	0	0	56984697	178077	5	65536	2	multi
pread_nowait_chunked	forward	3	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	65404595	4892.6	204910	239184	267046	287014	0	0	0	0	0	0	74076696	231489	5	65536	2	multi
pread_blocking_pooled	forward	4	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	68608183	4664.2	214399	244411	301636	359568	320	320	118895	190054	0	0	76814773	240046	6	65536	2	multi
uring_whole	forward	4	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	52299226	6118.6	164969	210172	296001	372977	0	0	0	0	0	0	59450385	185782	5	65536	2	multi
pread_nowait	forward	4	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	49747915	6432.4	142805	207732	354725	745258	0	0	0	0	0	0	55567012	173646	5	65536	2	multi
pread_nowait_escalate	forward	4	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	51577766	6204.2	159526	186871	286745	297689	0	0	0	0	0	0	58578076	183056	5	65536	2	multi
pread_nowait_chunked	forward	4	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	58168741	5501.2	167608	236692	347265	395017	0	0	0	0	0	0	66026089	206331	5	65536	2	multi
pread_blocking_pooled	forward	5	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	74585780	4290.4	216169	297404	437516	459116	320	320	122537	191368	0	0	82425633	257580	6	65536	2	multi
uring_whole	forward	5	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	57214148	5593.0	169326	217571	404394	822422	0	0	0	0	0	0	64300481	200939	5	65536	2	multi
pread_nowait	forward	5	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	50640125	6319.1	154849	188290	322486	403279	0	0	0	0	0	0	57314327	179107	5	65536	2	multi
pread_nowait_escalate	forward	5	1	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	52681629	6074.2	163007	193247	315374	367454	0	0	0	0	0	0	60983758	190574	5	65536	2	multi
pread_nowait_chunked	forward	5	1	0	320	40	0.0000	0.0000	1.0000	0.0000	320	48214416	6637.0	144254	177164	232698	310195	0	0	0	0	0	0	54391627	169973	5	65536	2	multi
