arm	trace	repeat	concurrency	region_start	region_frames	region_stride	mix_target	mix_achieved	hit_resident	miss_resident	asks	wall_ns	throughput_fps	p50_ns	p90_ns	p99_ns	max_ns	hop_count	hop_events	hop_p50_ns	hop_p99_ns	gap_p99_ns	gap_max_ns	cpu_ns	cpu_per_ask_ns	threads_max	read_chunk	uring_depth	runtime
pread_nowait_chunked	forward	1	16	0	320	40	1.0000	1.0000	0.0000	0.0001	320	192416908	1663.1	8993185	12136939	13813344	16185427	320	952	8377325	12949042	0	0	169661401	530191	26	65536	2	multi
pread_nowait_escalate	forward	1	16	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	63686656	5024.6	3067630	3756431	4213912	4493491	320	320	2843732	4100485	0	0	81126363	253519	22	65536	2	multi
pread_nowait	forward	1	16	0	320	40	1.0000	1.0000	0.0000	0.0001	320	67991928	4706.4	3132343	4311733	5224217	7236836	320	320	2931277	4926441	0	0	82142671	256695	22	65536	2	multi
uring_whole	forward	1	16	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	63888591	5008.7	3051312	3954345	4659926	5046022	320	320	2819759	4526098	0	0	73792872	230602	5	65536	2	multi
pread_blocking_pooled	forward	1	16	0	320	40	1.0000	1.0000	0.0000	0.0001	320	66424860	4817.5	3095480	4277529	5266396	5442612	320	320	2947319	5200667	0	0	79232873	247602	25	65536	2	multi
pread_nowait_chunked	forward	2	16	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	185768711	1722.6	9119324	10956161	13654975	14142814	320	952	8282290	12732568	0	0	134071456	418973	23	65536	2	multi
pread_nowait_escalate	forward	2	16	0	320	40	1.0000	1.0000	0.0000	0.0001	320	64527730	4959.1	3162363	3684432	4091896	4432387	320	320	3016988	4016628	0	0	77455808	242049	23	65536	2	multi
pread_nowait	forward	2	16	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	66847948	4787.0	3204203	4055749	5946468	6384733	320	320	2983584	5559570	0	0	75102275	234694	22	65536	2	multi
uring_whole	forward	2	16	0	320	40	1.0000	1.0000	0.0000	0.0001	320	69867666	4580.1	3317843	4746340	5770874	6248767	320	320	3115482	5453858	0	0	73642239	230131	5	65536	2	multi
pread_blocking_pooled	forward	2	16	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	72086101	4439.1	3480489	4262819	5685795	5949081	320	320	3392391	5554857	0	0	82454384	257669	24	65536	2	multi
pread_nowait_chunked	forward	3	16	0	320	40	1.0000	1.0000	0.0000	0.0001	320	203692700	1571.0	10025259	12860444	15636081	16507207	320	946	9172913	14510059	0	0	141135261	441047	27	65536	2	multi
pread_nowait_escalate	forward	3	16	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	77161053	4147.2	3802012	4407428	5147656	5930391	320	320	3645879	4942195	0	0	87747821	274211	23	65536	2	multi
pread_nowait	forward	3	16	0	320	40	1.0000	1.0000	0.0000	0.0001	320	66214716	4832.8	3019758	4313644	5367281	5575520	320	320	2828207	5120194	0	0	80748682	252339	22	65536	2	multi
uring_whole	forward	3	16	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	62718181	5102.2	2919054	3994575	4684925	4893809	320	320	2706388	4501440	0	0	77911511	243473	5	65536	2	multi
pread_blocking_pooled	forward	3	16	0	320	40	1.0000	1.0000	0.0000	0.0001	320	61996881	5161.5	2892190	4120885	5227135	5877968	320	320	2751698	5090094	0	0	77083006	240884	25	65536	2	multi
pread_nowait_chunked	forward	4	16	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	198990409	1608.1	9852376	12152160	13979870	15364839	320	954	9091347	13243932	0	0	132013374	412541	25	65536	2	multi
pread_nowait_escalate	forward	4	16	0	320	40	1.0000	1.0000	0.0000	0.0001	320	62951274	5083.3	3126689	3556018	4091395	4911546	320	320	2975863	3963276	0	0	83788262	261838	23	65536	2	multi
pread_nowait	forward	4	16	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	59849515	5346.7	2881689	3646210	4772351	5134467	320	320	2670523	4568683	0	0	81268600	253964	23	65536	2	multi
uring_whole	forward	4	16	0	320	40	1.0000	1.0000	0.0000	0.0001	320	66172923	4835.8	3014652	4529722	6917610	8316629	320	320	2771815	6180588	0	0	98676996	308365	5	65536	2	multi
pread_blocking_pooled	forward	4	16	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	58350992	5484.1	2593028	3794554	4664166	5250731	320	320	2448277	4520999	0	0	95932246	299788	24	65536	2	multi
pread_nowait_chunked	forward	5	16	0	320	40	1.0000	1.0000	0.0000	0.0001	320	200609290	1595.1	9687901	12292523	13967646	15519039	320	948	8825246	13221411	0	0	165810453	518157	24	65536	2	multi
pread_nowait_escalate	forward	5	16	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	65327836	4898.4	3060857	3894378	4670227	4959445	320	320	2802696	4273363	0	0	120900434	377813	25	65536	2	multi
pread_nowait	forward	5	16	0	320	40	1.0000	1.0000	0.0000	0.0001	320	56701572	5643.6	2706263	3745699	4534877	4856776	320	320	2277334	4197309	0	0	112324764	351014	25	65536	2	multi
uring_whole	forward	5	16	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	57136433	5600.6	2751002	3526708	4138709	4780807	320	320	2455349	3742965	0	0	99284713	310264	5	65536	2	multi
pread_blocking_pooled	forward	5	16	0	320	40	1.0000	1.0000	0.0000	0.0001	320	58894013	5433.5	2793301	3655970	4561987	4719233	320	320	2652285	4199760	0	0	104953826	327980	26	65536	2	multi
pread_nowait_chunked	forward	1	32	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	190779839	1677.3	18464128	22248352	25231220	27569195	320	953	17352982	24604241	0	0	168489136	526528	40	65536	2	multi
pread_nowait_escalate	forward	1	32	0	320	40	1.0000	1.0000	0.0000	0.0001	320	66321746	4825.0	5830733	8413493	10275179	10776760	320	320	5577801	10134802	0	0	115961943	362381	40	65536	2	multi
pread_nowait	forward	1	32	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	62023937	5159.3	6019190	6772264	8521384	11788982	320	320	5786611	8296922	0	0	105081914	328380	38	65536	2	multi
uring_whole	forward	1	32	0	320	40	1.0000	1.0000	0.0000	0.0001	320	63595960	5031.8	5811896	7160237	11728085	12691943	320	320	5524751	11465523	0	0	109012194	340663	5	65536	2	multi
pread_blocking_pooled	forward	1	32	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	68551432	4668.0	6427666	7705643	12241682	12940628	320	320	6252722	12010220	0	0	115078038	359618	42	65536	2	multi
pread_nowait_chunked	forward	2	32	0	320	40	1.0000	1.0000	0.0000	0.0001	320	186132604	1719.2	18127469	21400677	24850975	25185790	320	955	17096845	23675025	0	0	149714210	467856	40	65536	2	multi
pread_nowait_escalate	forward	2	32	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	62390470	5129.0	5772227	7299517	9652908	11079600	320	320	5524746	9563765	0	0	106216408	331926	38	65536	2	multi
pread_nowait	forward	2	32	0	320	40	1.0000	1.0000	0.0000	0.0001	320	58696994	5451.7	5042467	7948835	10554460	11361953	320	320	4645146	10336654	0	0	109537795	342305	38	65536	2	multi
