arm	trace	repeat	concurrency	region_start	region_frames	region_stride	mix_target	mix_achieved	hit_resident	miss_resident	asks	wall_ns	throughput_fps	p50_ns	p90_ns	p99_ns	max_ns	hop_count	hop_events	hop_p50_ns	hop_p99_ns	gap_p99_ns	gap_max_ns	cpu_ns	cpu_per_ask_ns	threads_max	read_chunk	uring_depth	runtime
pread_nowait_chunked	forward	1	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	10256444	31199.9	231517	335440	495139	628693	0	0	0	0	74926	375233	41624369	130076	5	65536	2	multi
pread_nowait_escalate	forward	1	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	9822270	32579.0	231236	317023	379626	407797	0	0	0	0	68607	139186	39728551	124151	5	65536	2	multi
pread_nowait	forward	1	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	11980977	26709.0	112822	326768	4483398	4791133	0	0	0	0	87862	4010738	36280983	113378	5	65536	2	multi
uring_whole	forward	1	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	10931456	29273.3	215999	382265	656252	1204629	0	0	0	0	122515	559540	42428119	132587	5	65536	2	multi
pread_blocking_pooled	forward	1	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	17539374	18244.7	291549	738346	1714163	3051764	320	320	172455	1246154	36390	1044447	59092022	184662	30	65536	2	multi
pread_nowait_chunked	forward	2	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	11543443	27721.4	240764	359717	1029277	1229065	0	0	0	0	100495	654567	39592424	123726	5	65536	2	multi
pread_nowait_escalate	forward	2	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	11573718	27648.9	198510	341178	431953	4394760	0	0	0	0	47916	131866	37292927	116540	5	65536	2	multi
pread_nowait	forward	2	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	16357075	19563.4	239619	459204	4362747	4931628	0	0	0	0	177043	4180438	45970236	143656	5	65536	2	multi
uring_whole	forward	2	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	15207549	21042.2	340223	516655	748981	1409188	0	0	0	0	179282	542057	60415794	188799	5	65536	2	multi
pread_blocking_pooled	forward	2	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	22208060	14409.2	406239	909924	1533740	2519803	320	320	214804	1276716	41075	1288885	74446908	232646	28	65536	2	multi
pread_nowait_chunked	forward	3	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	13622976	23489.7	279486	443789	617687	656107	0	0	0	0	73309	227134	50792485	158726	5	65536	2	multi
pread_nowait_escalate	forward	3	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	13966945	22911.2	309182	466318	603370	788239	0	0	0	0	80674	188429	55876766	174614	5	65536	2	multi
pread_nowait	forward	3	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	13626191	23484.2	297219	505823	698427	1065050	0	0	0	0	160272	505606	50369486	157404	5	65536	2	multi
uring_whole	forward	3	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	13462060	23770.5	282490	455951	739622	1090090	0	0	0	0	171947	722977	53525451	167267	5	65536	2	multi
pread_blocking_pooled	forward	3	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	20858458	15341.5	395149	826058	1493826	1604774	320	320	204412	1013188	54107	797091	66786462	208707	20	65536	2	multi
pread_nowait_chunked	forward	4	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	13720439	23322.9	306838	456746	720688	797114	0	0	0	0	79690	326327	50012160	156288	5	65536	2	multi
pread_nowait_escalate	forward	4	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	13778006	23225.4	297430	439429	590404	825339	0	0	0	0	72926	215237	53529684	167280	5	65536	2	multi
pread_nowait	forward	4	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	14348511	22302.0	323950	518289	715693	953261	0	0	0	0	174260	503070	57394219	179356	5	65536	2	multi
uring_whole	forward	4	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	11471303	27895.7	255163	397083	604167	672578	0	0	0	0	136099	451261	44940207	140438	5	65536	2	multi
pread_blocking_pooled	forward	4	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	14416552	22196.7	262373	601969	1005140	1155801	320	320	154564	818786	90888	795996	51483181	160884	25	65536	2	multi
pread_nowait_chunked	forward	5	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	9544114	33528.5	223013	291981	336565	405294	0	0	0	0	67617	147960	37971724	118661	5	65536	2	multi
pread_nowait_escalate	forward	5	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	9564417	33457.3	221456	302408	369800	504331	0	0	0	0	64803	148123	38166447	119270	5	65536	2	multi
pread_nowait	forward	5	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	12610006	25376.7	239994	385156	615466	4286077	0	0	0	0	120335	4158811	35816321	111926	5	65536	2	multi
uring_whole	forward	5	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	11272143	28388.6	239697	401580	871652	1421376	0	0	0	0	167215	1060777	46231901	144474	5	65536	2	multi
pread_blocking_pooled	forward	5	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	16208514	19742.7	305036	658740	1328587	1694131	320	320	175895	981666	67680	464794	53671605	167723	25	65536	2	multi
pread_nowait_chunked	forward	1	8	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	198396531	1612.9	4891225	5924668	7128268	8014303	320	938	4426046	6307462	17544	1780893	309540669	967314	16	65536	2	multi
pread_nowait_escalate	forward	1	8	0	320	40	1.0000	1.0000	0.0000	0.0001	320	64897264	4930.9	1501764	1809787	4730375	4875321	320	320	1391511	4563717	16901	551640	126042417	393882	16	65536	2	multi
pread_nowait	forward	1	8	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	55632090	5752.1	1265130	1810368	2830646	4704639	320	320	1001320	2443299	17643	920094	101781384	318066	15	65536	2	multi
uring_whole	forward	1	8	0	320	40	1.0000	1.0000	0.0000	0.0001	320	56797971	5634.0	1340402	1840403	2307781	2782399	320	320	1119518	1945010	18657	703105	108907923	340337	5	65536	2	multi
pread_blocking_pooled	forward	1	8	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	57742215	5541.9	1305878	2098524	3129629	4293000	320	320	1186075	2810889	15602	1476729	119888065	374650	20	65536	2	multi
pread_nowait_chunked	forward	2	8	0	320	40	1.0000	1.0000	0.0000	0.0001	320	205131412	1560.0	5087872	6241505	7092124	9073500	320	929	4610547	6854538	18040	775184	340909074	1065340	17	65536	2	multi
pread_nowait_escalate	forward	2	8	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	70567228	4534.7	1599115	2197270	4239660	4683791	320	320	1445050	3836598	17931	1798513	150939185	471684	20	65536	2	multi
pread_nowait	forward	2	8	0	320	40	1.0000	1.0000	0.0000	0.0001	320	60054706	5328.5	1437119	1909687	2633568	3274477	320	320	1265916	2444348	18581	629984	122827878	383837	15	65536	2	multi
uring_whole	forward	2	8	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	57390187	5575.9	1397052	1844147	2076709	2726050	320	320	1172920	1903057	18616	749017	122949061	384215	5	65536	2	multi
pread_blocking_pooled	forward	2	8	0	320	40	1.0000	1.0000	0.0000	0.0001	320	58557421	5464.7	1360126	1960297	3309161	3521445	320	320	1258190	3179211	16795	673816	122848474	383901	19	65536	2	multi
pread_nowait_chunked	forward	3	8	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	227551278	1406.3	5281732	7300065	14258179	15831143	320	922	4758771	13828822	19677	3477904	389122144	1216006	17	65536	2	multi
pread_nowait_escalate	forward	3	8	0	320	40	1.0000	1.0000	0.0000	0.0001	320	76897207	4161.4	1812403	2211287	4197065	5455812	320	320	1649566	3995345	21145	2443515	165736267	517925	15	65536	2	multi
pread_nowait	forward	3	8	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	61946271	5165.8	1540366	1963538	2287998	2761579	320	320	1246232	2043197	32063	779577	133154340	416107	14	65536	2	multi
uring_whole	forward	3	8	0	320	40	1.0000	1.0000	0.0000	0.0001	320	62867889	5090.0	1548294	1888236	2540953	4806988	320	320	1225174	2361819	20472	905907	137814927	430671	5	65536	2	multi
pread_blocking_pooled	forward	3	8	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	60258654	5310.4	1450953	1979147	2382675	2985016	320	320	1320510	2247108	19672	789106	129366931	404271	17	65536	2	multi
pread_nowait_chunked	forward	4	8	0	320	40	1.0000	1.0000	0.0000	0.0001	320	211967378	1509.7	5357165	6146436	6963148	7622287	320	923	4790637	6327410	19382	1524491	372389422	1163716	16	65536	2	multi
pread_nowait_escalate	forward	4	8	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	74057863	4320.9	1486505	2675755	5552972	6763374	320	320	1312320	4957909	17800	1383755	187067674	584586	17	65536	2	multi
pread_nowait	forward	4	8	0	320	40	1.0000	1.0000	0.0000	0.0001	320	60600904	5280.4	1457788	1915496	2652071	2948859	320	320	1136186	2227851	21732	794328	129124640	403514	14	65536	2	multi
uring_whole	forward	4	8	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	60886065	5255.7	1420168	2047085	2763299	2872214	320	320	1117515	2302426	21966	838883	138682721	433383	5	65536	2	multi
pread_blocking_pooled	forward	4	8	0	320	40	1.0000	1.0000	0.0000	0.0001	320	61478806	5205.0	1447634	1975871	3434699	4471284	320	320	1271399	3109761	18836	882469	134250770	419533	17	65536	2	multi
pread_nowait_chunked	forward	5	8	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	200454779	1596.4	5045245	5782111	6721663	7443219	320	928	4503857	6160206	18042	761880	333284808	1041515	16	65536	2	multi
pread_nowait_escalate	forward	5	8	0	320	40	1.0000	1.0000	0.0000	0.0001	320	75534095	4236.5	1718137	2113835	5256614	7916742	320	320	1560817	4883294	19895	713931	149342384	466694	17	65536	2	multi
pread_nowait	forward	5	8	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	59715354	5358.8	1520647	1900489	2172761	2433402	320	320	1332231	1944301	62809	831539	119140234	372313	16	65536	2	multi
uring_whole	forward	5	8	0	320	40	1.0000	1.0000	0.0000	0.0001	320	58707922	5450.7	1436658	1896333	2523773	2920197	320	320	1153278	2189183	18829	670047	125096988	390928	5	65536	2	multi
pread_blocking_pooled	forward	5	8	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	61166392	5231.6	1428734	2031308	3132629	3295620	320	320	1314979	2788860	16708	708960	129207249	403772	18	65536	2	multi
