arm	trace	repeat	concurrency	region_start	region_frames	region_stride	mix_target	mix_achieved	hit_resident	miss_resident	asks	wall_ns	throughput_fps	p50_ns	p90_ns	p99_ns	max_ns	hop_count	hop_events	hop_p50_ns	hop_p99_ns	gap_p99_ns	gap_max_ns	cpu_ns	cpu_per_ask_ns	threads_max	read_chunk	uring_depth	runtime
pread_nowait_chunked	random	1	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	15532167	20602.4	318653	442945	599451	651111	0	0	0	0	0	0	49498170	154681	5	65536	2	multi
pread_nowait_escalate	random	1	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	11877431	26941.9	269648	372872	465695	622419	0	0	0	0	0	0	46097226	144053	5	65536	2	multi
pread_nowait	random	1	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	10118623	31624.9	221034	354715	600644	844328	0	0	0	0	0	0	39931548	124786	5	65536	2	multi
uring_whole	random	1	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	10632060	30097.6	234743	358790	612057	767799	0	0	0	0	0	0	41964375	131138	5	65536	2	multi
pread_blocking_pooled	random	1	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	27884764	11475.8	541432	1056592	1762304	2753349	320	320	275494	1538438	0	0	76118616	237870	25	65536	2	multi
pread_nowait_chunked	random	2	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	13065494	24492.0	295974	409108	569237	727983	0	0	0	0	0	0	50679802	158374	5	65536	2	multi
pread_nowait_escalate	random	2	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	12590931	25415.1	277591	388352	484365	519685	0	0	0	0	0	0	48547823	151711	5	65536	2	multi
pread_nowait	random	2	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	12678642	25239.3	265531	470463	598646	827906	0	0	0	0	0	0	48968465	153026	5	65536	2	multi
uring_whole	random	2	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	12895697	24814.5	256908	451627	637571	1053138	0	0	0	0	0	0	49637745	155117	5	65536	2	multi
pread_blocking_pooled	random	2	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	22137614	14455.0	469981	833249	1303769	1524254	320	320	225975	934473	0	0	67974106	212419	19	65536	2	multi
pread_nowait_chunked	random	3	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	13814091	23164.8	324794	432073	540721	675690	0	0	0	0	0	0	54547440	170460	5	65536	2	multi
pread_nowait_escalate	random	3	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	14148800	22616.8	305140	437167	949997	1256677	0	0	0	0	0	0	50622453	158195	5	65536	2	multi
pread_nowait	random	3	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	12850951	24900.9	262070	443906	723828	903609	0	0	0	0	0	0	48523967	151637	5	65536	2	multi
uring_whole	random	3	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	10977204	29151.3	234417	383234	645336	894546	0	0	0	0	0	0	43388881	135590	5	65536	2	multi
pread_blocking_pooled	random	3	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	16541027	19345.8	306848	669086	1094372	1407842	320	320	158314	741672	0	0	50619096	158184	25	65536	2	multi
pread_nowait_chunked	random	4	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	10907485	29337.7	259241	360190	486731	627979	0	0	0	0	0	0	39496226	123425	5	65536	2	multi
pread_nowait_escalate	random	4	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	9650977	33157.3	224242	303987	386609	454877	0	0	0	0	0	0	38201388	119379	5	65536	2	multi
pread_nowait	random	4	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	9702215	32982.2	203855	356910	546043	726229	0	0	0	0	0	0	37566885	117396	5	65536	2	multi
uring_whole	random	4	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	10790065	29656.9	217284	370984	621528	918308	0	0	0	0	0	0	40836643	127614	5	65536	2	multi
pread_blocking_pooled	random	4	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	15935127	20081.4	305025	645050	985252	1843438	320	320	170979	842207	0	0	50989103	159340	21	65536	2	multi
pread_nowait_chunked	random	5	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	10345264	30932.0	228059	310889	397706	507098	0	0	0	0	0	0	39648371	123901	5	65536	2	multi
pread_nowait_escalate	random	5	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	11001259	29087.6	253153	332049	420844	444614	0	0	0	0	0	0	43140451	134813	5	65536	2	multi
pread_nowait	random	5	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	9531864	33571.6	215067	337494	502819	543058	0	0	0	0	0	0	37895482	118423	5	65536	2	multi
uring_whole	random	5	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	10037282	31881.1	211412	345591	571760	899305	0	0	0	0	0	0	39547108	123584	5	65536	2	multi
pread_blocking_pooled	random	5	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	17422619	18366.9	306703	754081	1421771	1702729	320	320	175274	992028	0	0	51467780	160836	20	65536	2	multi
pread_nowait_chunked	random	1	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	108638212	2945.6	791039	5495488	6245506	6475974	160	464	4319476	5893204	0	0	87145708	272330	15	65536	2	multi
pread_nowait_escalate	random	1	8	0	320	40	0.5000	0.5000	1.0000	0.0000	320	35035660	9133.6	671816	1685432	2047923	2549911	160	160	1225696	1974167	0	0	57041764	178255	15	65536	2	multi
pread_nowait	random	1	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	31843984	10049.0	494535	1661614	2034247	2205523	160	160	926687	1954459	0	0	55535385	173548	14	65536	2	multi
uring_whole	random	1	8	0	320	40	0.5000	0.5000	1.0000	0.0000	320	32058255	9981.8	504341	1504788	1879665	2427596	160	160	1018519	1806702	0	0	58049294	181404	5	65536	2	multi
pread_blocking_pooled	random	1	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	33515310	9547.9	630071	1530809	1840849	2008318	320	320	547147	1711860	0	0	64073821	200230	17	65536	2	multi
pread_nowait_chunked	random	2	8	0	320	40	0.5000	0.5000	1.0000	0.0001	320	109049978	2934.4	1480362	5230952	6880970	7574256	160	472	4319488	6347993	0	0	89301159	279066	15	65536	2	multi
pread_nowait_escalate	random	2	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	36165728	8848.2	660588	1692988	2010668	2499198	160	160	1233239	1952408	0	0	59165771	184893	14	65536	2	multi
pread_nowait	random	2	8	0	320	40	0.5000	0.5000	1.0000	0.0001	320	37065518	8633.4	553266	1854363	2536083	3005950	160	160	1147590	2714481	0	0	54587999	170587	15	65536	2	multi
uring_whole	random	2	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	34700164	9221.9	654562	1681485	2123576	2361916	160	160	1020797	1908098	0	0	60539494	189185	5	65536	2	multi
pread_blocking_pooled	random	2	8	0	320	40	0.5000	0.5000	1.0000	0.0001	320	37666891	8495.5	673756	1793120	2293695	3458217	320	320	569647	2187694	0	0	64035436	200110	17	65536	2	multi
pread_nowait_chunked	random	3	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	103887420	3080.3	1128792	5260937	5961958	6190800	160	475	4144260	5263954	0	0	99264352	310201	15	65536	2	multi
pread_nowait_escalate	random	3	8	0	320	40	0.5000	0.5000	1.0000	0.0001	320	39662441	8068.1	809256	1845603	2516381	3248087	160	160	1345100	2441364	0	0	64351155	201097	14	65536	2	multi
pread_nowait	random	3	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	34773595	9202.4	616656	1674730	2128095	2703034	160	160	1234165	1892548	0	0	66342674	207320	14	65536	2	multi
uring_whole	random	3	8	0	320	40	0.5000	0.5000	1.0000	0.0001	320	35311201	9062.3	476075	1758805	2370127	3153016	160	160	1224053	2507438	0	0	61498814	192183	5	65536	2	multi
pread_blocking_pooled	random	3	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	31220898	10249.5	632419	1450368	1894202	2661361	320	320	514276	1666714	0	0	68789562	214967	17	65536	2	multi
pread_nowait_chunked	random	4	8	0	320	40	0.5000	0.5000	1.0000	0.0001	320	110866604	2886.4	999723	5685809	6380138	7232494	160	470	4578458	5880923	0	0	98277928	307118	14	65536	2	multi
pread_nowait_escalate	random	4	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	41825943	7650.8	676312	2075102	2672542	2774305	160	160	1532154	2340586	0	0	65909902	205968	14	65536	2	multi
pread_nowait	random	4	8	0	320	40	0.5000	0.5000	1.0000	0.0001	320	35647908	8976.7	674419	1759747	2383923	2742051	160	160	1208316	2244552	0	0	63566463	198645	15	65536	2	multi
uring_whole	random	4	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	34861202	9179.3	586371	1655558	2413316	2810459	160	160	1058685	2184920	0	0	65653017	205165	5	65536	2	multi
pread_blocking_pooled	random	4	8	0	320	40	0.5000	0.5000	1.0000	0.0001	320	41211014	7764.9	672049	1927001	2416188	3103829	320	320	447247	2114597	0	0	71825178	224453	17	65536	2	multi
pread_nowait_chunked	random	5	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	114975787	2783.2	824485	5864392	6362495	8259428	160	472	4609730	5944282	0	0	99207780	310024	16	65536	2	multi
pread_nowait_escalate	random	5	8	0	320	40	0.5000	0.5000	1.0000	0.0000	320	40668023	7868.6	903410	1876522	2832653	3542730	160	160	1423611	2698466	0	0	71788317	224338	15	65536	2	multi
pread_nowait	random	5	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	36167713	8847.7	588168	1831826	2211564	2849262	160	160	1147192	2074060	0	0	66717524	208492	15	65536	2	multi
uring_whole	random	5	8	0	320	40	0.5000	0.5000	1.0000	0.0000	320	37057593	8635.2	611169	1777679	2113634	2497167	160	160	1306173	1973113	0	0	70592650	220602	5	65536	2	multi
pread_blocking_pooled	random	5	8	12800	320	40	0.5000	0.5000	1.0000	0.0000	320	32482777	9851.4	691470	1499753	2051978	2571129	320	320	504921	2008483	0	0	68577262	214303	16	65536	2	multi
pread_nowait_chunked	random	1	8	0	320	40	1.0000	1.0000	0.0000	0.0001	320	216907660	1475.3	5461570	6151116	7010220	7977019	320	948	4824955	6429999	0	0	147850567	462033	17	65536	2	multi
pread_nowait_escalate	random	1	8	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	71206608	4494.0	1774503	1983258	2255899	2693261	320	320	1596836	2130358	0	0	88283533	275886	14	65536	2	multi
pread_nowait	random	1	8	0	320	40	1.0000	1.0000	0.0000	0.0001	320	64295437	4977.0	1633509	1922703	2448919	3275841	320	320	1429119	1939311	0	0	77160541	241126	14	65536	2	multi
uring_whole	random	1	8	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	63961938	5003.0	1574102	1853803	2067777	2110522	320	320	1360792	1757809	0	0	75118928	234746	5	65536	2	multi
pread_blocking_pooled	random	1	8	0	320	40	1.0000	1.0000	0.0000	0.0001	320	68935490	4642.0	1686005	2012539	2467463	2559185	320	320	1591109	2441432	0	0	82455067	257672	15	65536	2	multi
