arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_ns	threads_max	runtime	hop_count
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	213239	78391	192782	93215	30010324	306	14727	133015	41645	80000000	0	0	0	0	67894994	5	multi	0
pread_nowait_escalate	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	176784	75790	162483	85417	27486626	711	18834	89321	10678	80000000	0	0	0	0	60755622	5	multi	0
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	255418	77746	315900	90568	29213942	360	16584	135521	22667	80000000	0	0	0	0	63875693	5	multi	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	452634	221060	553981	262084	84244062	360	21498	615633	47654	80000000	110451	0	0	0	141055972	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	268272	217414	412994	221493	71104770	360	27739	116691	24243	0	57568	0	0	0	101744802	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	160834	84288	152472	91951	29550716	411	16997	72815	16682	80000000	0	0	0	0	66300490	5	multi	0
pread_nowait_escalate	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	101678	79381	146410	83912	26930378	573	18786	74166	13155	80000000	0	0	0	0	61210231	5	multi	0
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	295406	75985	156072	84342	27275451	717	19643	278496	13320	80000000	0	0	0	0	61330133	5	multi	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	271385	187821	402729	200467	64402483	357	22200	120732	31211	80000000	93565	0	0	0	111169400	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	259743	146515	289560	154509	49643851	306	21883	149934	24159	0	33333	0	0	0	74616155	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	133056	73466	142878	80081	25754630	307	17021	66571	20654	80000000	0	0	0	0	57528384	5	multi	0
pread_nowait_escalate	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	233456	68783	133864	77132	24897459	350	17271	175402	16534	80000000	0	0	0	0	55168700	5	multi	0
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	171914	72576	140455	78197	25191519	360	17461	82734	16968	80000000	0	0	0	0	56021485	5	multi	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	334533	187944	358518	186918	60102137	367	22432	261385	28233	80000000	88655	0	0	0	100321760	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	119618	144168	265490	146982	47090810	319	20920	86145	22517	0	31033	0	0	0	73582194	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	184938	68101	128059	75363	24293577	365	16375	67727	16185	80000000	0	0	0	0	53469534	5	multi	0
pread_nowait_escalate	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	232519	67365	144863	76170	24591110	321	15260	70299	17871	80000000	0	0	0	0	54719184	5	multi	0
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	223638	71361	139901	77248	24930890	314	14955	152894	19256	80000000	0	0	0	0	55587052	5	multi	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	278596	175054	282188	182535	58625161	323	18468	119138	31469	80000000	81859	0	0	0	99947091	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	267455	146591	375564	152973	49181965	335	21574	108313	23666	0	32735	0	0	0	76188243	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	206991	69444	123394	76045	24520564	329	15925	88444	22916	80000000	0	0	0	0	55421466	5	multi	0
pread_nowait_escalate	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	109257	74151	146493	83026	26667911	364	18212	71779	18377	80000000	0	0	0	0	59610478	5	multi	0
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	181328	66819	142352	75708	24391476	358	16367	159108	15586	80000000	0	0	0	0	53481264	5	multi	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	420570	179948	370693	181473	58461357	328	19854	126557	30171	80000000	82273	0	0	0	97379101	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	199617	138861	277116	145688	46752796	315	20146	83464	23740	0	32400	0	0	0	74029446	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	6	320	320	130596	67661	130568	74941	24092546	343	16231	71722	17683	80000000	0	0	0	0	53427041	5	multi	0
pread_nowait_escalate	frames_250k_live.sbnd	warm	forward	full	16384	6	320	320	157589	67897	126270	75500	24297440	340	14861	55059	17109	80000000	0	0	0	0	53752317	5	multi	0
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	6	320	320	156680	73504	150342	80898	26026154	714	16344	55828	12848	80000000	0	0	0	0	58118974	5	multi	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	6	320	320	363471	174408	356032	177997	57268547	323	18879	148499	32226	80000000	80722	0	0	0	95152700	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	6	320	320	230104	171003	326181	170176	54678036	345	26413	90269	21023	0	32919	0	0	0	80989517	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	7	320	320	163737	82399	155490	89800	28879671	553	19043	86028	15317	80000000	0	0	0	0	65985661	5	multi	0
pread_nowait_escalate	frames_250k_live.sbnd	warm	forward	full	16384	7	320	320	298980	72152	145374	81647	26414548	316	18090	88907	17740	80000000	0	0	0	0	58238517	5	multi	0
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	7	320	320	296628	81089	146991	87580	28296530	710	21436	230497	11830	80000000	0	0	0	0	63049779	5	multi	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	7	320	320	372551	312641	446980	302211	96954355	304	20878	139441	47924	80000000	148781	0	0	0	159445549	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	7	320	320	274997	196908	330596	192181	61689080	307	23799	90868	24890	0	43441	0	0	0	91160877	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	reverse	full	16384	1	320	320	164951	70757	172576	80061	25755865	710	17317	201606	22604	80000000	0	0	0	0	52764769	5	multi	0
pread_nowait_escalate	frames_250k_live.sbnd	warm	reverse	full	16384	1	320	320	107755	78842	320715	93992	30165812	308	18086	54810	29428	80000000	0	0	0	0	65355565	5	multi	0
pread_nowait	frames_250k_live.sbnd	warm	reverse	full	16384	1	320	320	178248	71347	151451	79381	25565360	370	16729	66757	16899	80000000	0	0	0	0	56813415	5	multi	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	reverse	full	16384	1	320	320	4120016	340243	531940	338302	112233569	483	26939	163877	33112	80000000	161661	0	0	0	179566970	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	reverse	full	16384	1	320	320	287612	221431	373293	222408	71354282	308	25660	155422	25823	0	49433	0	0	0	101174345	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	reverse	full	16384	2	320	320	223864	74171	182028	83610	26961203	314	17738	87663	17482	80000000	0	0	0	0	60021361	5	multi	0
pread_nowait_escalate	frames_250k_live.sbnd	warm	reverse	full	16384	2	320	320	108981	77886	150447	84777	27208043	340	17980	82231	18033	80000000	0	0	0	0	60268056	5	multi	0
