label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct
v15_fm_r5	pool	off	cold	trace	250000	0	1	1	0	0	300	85238	1118381	2011998	467709	157254313	1908	6	0	0	3.0	0.000
v15_fm_r5	uring	off	cold	trace	250000	0	1	1	0	1	300	51916	1005294	3589277	167705	65223527	4600	5	0	0	100.0	0.000
v15_fm_r5	hybrid	off	cold	trace	250000	0	1	1	0	2	300	28275	107664	4438636	78574	46455700	6458	5	0	0	3.3	0.000
v15_fm_r5	pooled_pread	off	cold	trace	250000	0	1	1	0	3	300	100556	167095	1506804	161396	53969062	5559	6	0	0	100.0	0.000
v15_fm_r5	uring	off	cold	trace	250000	0	1	1	1	0	300	36207	89245	3777791	77641	47893350	6264	5	0	0	100.0	0.000
v15_fm_r5	hybrid	off	cold	trace	250000	0	1	1	1	1	300	39694	81857	3759410	80673	44939651	6676	5	0	0	3.7	0.000
v15_fm_r5	pooled_pread	off	cold	trace	250000	0	1	1	1	2	300	84518	133357	1489941	102111	41580787	7215	7	0	0	100.0	0.000
v15_fm_r5	pool	off	cold	trace	250000	0	1	1	1	3	300	38696	71725	4406947	54897	35516610	8447	6	0	0	3.0	0.000
v15_fm_r5	hybrid	off	cold	trace	250000	0	1	1	2	0	300	37605	70135	3352279	50657	35618291	8423	5	0	0	4.0	0.000
v15_fm_r5	pooled_pread	off	cold	trace	250000	0	1	1	2	1	300	83032	128066	992936	99025	38134194	7867	6	0	0	100.0	0.000
v15_fm_r5	pool	off	cold	trace	250000	0	1	1	2	2	300	41728	87745	3903040	80705	44781117	6699	6	0	0	3.7	0.000
v15_fm_r5	uring	off	cold	trace	250000	0	1	1	2	3	300	32787	84307	3913765	72036	46024536	6518	5	0	0	100.0	0.000
v15_fm_r5	pooled_pread	off	cold	trace	250000	0	1	1	3	0	300	85960	143480	1211256	104611	42716562	7023	7	0	0	100.0	0.000
v15_fm_r5	pool	off	cold	trace	250000	0	1	1	3	1	300	39382	67267	2899633	52589	36174070	8293	6	0	0	2.7	0.000
v15_fm_r5	uring	off	cold	trace	250000	0	1	1	3	2	300	47079	84048	2915811	56190	38034098	7888	5	0	0	100.0	0.000
v15_fm_r5	hybrid	off	cold	trace	250000	0	1	1	3	3	300	41444	70568	4230699	55537	33487946	8958	5	0	0	1.3	0.000
v15_fm_r5	pool	off	cold	trace	250000	0	1	1	4	0	300	40886	91774	2962748	83301	43990467	6820	6	0	0	3.3	0.000
v15_fm_r5	uring	off	cold	trace	250000	0	1	1	4	1	300	49556	102540	3179556	90465	45823140	6547	5	0	0	100.0	0.000
v15_fm_r5	hybrid	off	cold	trace	250000	0	1	1	4	2	300	23769	183455	3583445	87158	46830472	6406	5	0	0	3.7	0.000
v15_fm_r5	pooled_pread	off	cold	trace	250000	0	1	1	4	3	300	82700	127932	616879	101578	35459404	8460	7	0	0	100.0	0.000
v15_fm_r5	uring	off	cold	trace	250000	0	1	1	5	0	300	47501	85879	3048641	57830	37262671	8051	5	0	0	100.0	0.000
v15_fm_r5	hybrid	off	cold	trace	250000	0	1	1	5	1	300	40156	61943	3264173	49664	36391964	8244	5	0	0	2.7	0.000
v15_fm_r5	pooled_pread	off	cold	trace	250000	0	1	1	5	2	300	92446	147353	585351	113174	37855358	7925	6	0	0	100.0	0.000
v15_fm_r5	pool	off	cold	trace	250000	0	1	1	5	3	300	54049	1207261	2658270	460164	158038798	1898	6	0	0	2.0	0.000
v15_fm_r5	hybrid	off	cold	trace	250000	0	1	1	6	0	300	37133	139421	3016167	121473	54933469	5461	5	0	0	3.0	0.000
v15_fm_r5	pooled_pread	off	cold	trace	250000	0	1	1	6	1	300	97213	153381	1190168	145692	47269071	6347	6	0	0	100.0	0.000
v15_fm_r5	pool	off	cold	trace	250000	0	1	1	6	2	300	37039	77712	3498137	86045	44599782	6726	6	0	0	3.3	0.000
v15_fm_r5	uring	off	cold	trace	250000	0	1	1	6	3	300	49969	88816	3864180	87459	47644586	6297	5	0	0	100.0	0.000
v15_fm_r5	pooled_pread	off	cold	trace	250000	0	1	1	7	0	300	99531	1207404	1738440	277470	95813456	3131	6	0	0	100.0	0.000
v15_fm_r5	pool	off	cold	trace	250000	0	1	1	7	1	300	39668	79442	4245594	89762	46484041	6454	6	0	0	3.7	0.000
v15_fm_r5	uring	off	cold	trace	250000	0	1	1	7	2	300	48655	169376	2417904	131285	57253086	5240	5	0	0	100.0	0.000
v15_fm_r5	hybrid	off	cold	trace	250000	0	1	1	7	3	300	36559	75919	3952719	76721	44807632	6695	5	0	0	3.3	0.000
