round	mode	frames	window	p50_ns	p90_ns	p99_ns	cpu_ns_per_frame	wall_ms	MB_per_s	pool_allocs	datagrams_per_frame	sendmsg_per_frame	mtu	hit_rate	cache_MB	payload_B	stream	cpu_ns_per_MB
1	write_all	1920	65536	106312	2055304	4806838	997076	1556	308.4	0	178.8	18.0	1452	0.00	0.0	250008	per_frame	3988178
1	write_all	1920	65536	497319	1459890	5480220	1098259	1549	309.7	0	177.1	17.7	1452	0.00	0.0	250008	shared	4392898
1	write_all	1920	65536	18034	281901	2781391	263686	409	307.1	0	47.1	4.8	1452	0.00	0.0	65544	per_frame	4023049
1	write_all	1920	65536	108367	332837	2006917	297472	414	303.4	0	46.9	4.7	1452	0.00	0.0	65544	shared	4538514
1	write_all	1920	65536	4584	28043	986871	68005	105	297.6	0	12.0	1.3	1452	0.00	0.0	16392	per_frame	4148730
1	write_all	1920	65536	8857	87355	1008502	75332	109	288.4	0	11.8	1.2	1452	0.00	0.0	16392	shared	4595696
1	write_all	1920	65536	1812	3929	372610	25632	42	186.7	0	3.2	0.5	1452	0.00	0.0	4104	per_frame	6245719
1	write_all	1920	65536	2410	3397	122293	18915	29	268.8	0	3.0	0.3	1452	0.00	0.0	4104	shared	4609015
2	write_all	1920	65536	131409	1986587	4913837	1006236	1550	309.7	0	178.7	18.0	1452	0.00	0.0	250008	per_frame	4024816
2	write_all	1920	65536	473830	1513902	5155251	1102961	31563	15.2	0	177.7	17.8	1452	0.00	0.0	250008	shared	4411706
2	write_all	1920	65536	18554	431025	2481125	254859	392	320.6	0	46.9	4.8	1452	0.00	0.0	65544	per_frame	3888368
2	write_all	1920	65536	107095	397929	1598872	294639	406	309.8	0	46.4	4.7	1452	0.00	0.0	65544	shared	4495292
2	write_all	1920	65536	5101	13416	943464	70978	108	289.0	0	11.9	1.3	1452	0.00	0.0	16392	per_frame	4330088
2	write_all	1920	65536	5654	123983	958637	78750	112	279.3	0	11.8	1.2	1452	0.00	0.0	16392	shared	4804190
2	write_all	1920	65536	1991	3984	434265	25161	40	194.0	0	3.1	0.4	1452	0.00	0.0	4104	per_frame	6130932
2	write_all	1920	65536	1960	4304	236839	22960	34	231.3	0	3.0	0.3	1452	0.00	0.0	4104	shared	5594674
3	write_all	1920	65536	132655	1934362	4542021	995662	1534	312.7	0	179.1	18.1	1452	0.00	0.0	250008	per_frame	3982523
3	write_all	1920	65536	461282	1459145	5494122	1077078	1515	316.8	0	178.1	17.8	1452	0.00	0.0	250008	shared	4308176
3	write_all	1920	65536	17729	425779	2328284	259359	397	316.8	0	47.1	4.8	1452	0.00	0.0	65544	per_frame	3957027
3	write_all	1920	65536	94293	334108	2087634	286765	393	319.6	0	46.6	4.7	1452	0.00	0.0	65544	shared	4375161
3	write_all	1920	65536	5368	26798	1155461	80175	123	255.3	0	12.3	1.3	1452	0.00	0.0	16392	per_frame	4891137
3	write_all	1920	65536	8334	13519	683841	68939	102	306.4	0	11.8	1.2	1452	0.00	0.0	16392	shared	4205683
3	write_all	1920	65536	2424	6152	402076	33063	50	154.8	0	3.1	0.5	1452	0.00	0.0	4104	per_frame	8056321
3	write_all	1920	65536	2132	5410	455319	26322	39	197.1	0	2.9	0.3	1452	0.00	0.0	4104	shared	6413819
4	write_all	1920	65536	131104	1887473	5081156	1115541	1758	272.9	0	179.1	18.1	1452	0.00	0.0	250008	per_frame	4462021
4	write_all	1920	65536	505383	1668513	5047470	1182673	1646	291.6	0	178.2	17.8	1452	0.00	0.0	250008	shared	4730541
4	write_all	1920	65536	19505	462285	2448749	292279	454	277.0	0	47.3	4.8	1452	0.00	0.0	65544	per_frame	4459281
4	write_all	1920	65536	36884	479734	2253831	292011	428	293.8	0	47.1	4.7	1452	0.00	0.0	65544	shared	4455193
4	write_all	1920	65536	5681	25550	928705	78825	131	239.3	0	11.8	1.2	1452	0.00	0.0	16392	per_frame	4808769
4	write_all	1920	65536	5535	131043	843659	84594	123	255.3	0	12.2	1.2	1452	0.00	0.0	16392	shared	5160738
4	write_all	1920	65536	2879	18311	449042	37436	55	142.9	0	3.1	0.5	1452	0.00	0.0	4104	per_frame	9121899
4	write_all	1920	65536	2416	3468	143593	21098	32	242.2	0	3.0	0.3	1452	0.00	0.0	4104	shared	5140842
5	write_all	1920	65536	113568	1650700	4804907	1071111	1724	278.3	0	178.9	18.1	1452	0.00	0.0	250008	per_frame	4284310
5	write_all	1920	65536	484744	1772784	5730050	1163863	1617	296.7	0	178.1	17.8	1452	0.00	0.0	250008	shared	4655304
5	write_all	1920	65536	21920	530596	2558157	304965	468	268.5	0	47.1	4.8	1452	0.00	0.0	65544	per_frame	4652834
5	write_all	1920	65536	39195	416447	2609720	311526	439	286.6	0	47.3	4.7	1452	0.00	0.0	65544	shared	4752930
5	write_all	1920	65536	6087	28572	1168144	87192	30162	1.0	0	12.0	1.3	1452	0.00	0.0	16392	per_frame	5319193
5	write_all	1920	65536	6144	39949	929928	71385	105	297.4	0	11.8	1.2	1452	0.00	0.0	16392	shared	4354902
5	write_all	1920	65536	1646	3520	321733	24238	38	207.0	0	3.1	0.5	1452	0.00	0.0	4104	per_frame	5906017
5	write_all	1920	65536	2566	3537	76725	19249	30	260.5	0	3.0	0.3	1452	0.00	0.0	4104	shared	4690367
