layout	temp	arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_ns	threads_max	runtime	hop_count
frame_major_prefix	cold	pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	180404	96646	158365	102672	33016748	269	53518	97617	16074	5242880	63808	0	0	0	48693409	6	multi	320
frame_major_prefix	cold	pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	262221	103649	191905	114035	36721692	256	15494	79324	46512	5242880	95616	0	0	0	59136199	7	multi	320
frame_major_prefix	cold	uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	160735	83826	136650	86850	28154261	381	22471	107334	16013	5242880	45675	0	0	0	43955099	5	multi	320
frame_major_prefix	cold	pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	171885	94273	152455	96990	31184189	258	96821	156896	3328	5242880	67246	0	0	0	38118120	6	multi	319
frame_major_prefix	cold	pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	247811	83076	155023	86768	28001579	255	15359	149722	40115	5242880	76442	0	0	0	49533691	7	multi	320
frame_major_prefix	cold	uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	152910	92576	155174	95246	30692079	435	50881	177428	10079	5242880	61141	0	0	0	49558456	5	multi	319
frame_major_prefix	cold	pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	146829	93443	142959	96238	30915091	293	108786	141203	1895	5242880	66871	0	0	0	36997977	6	multi	318
frame_major_prefix	cold	pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	247478	109391	186888	114092	36718417	379	46768	127812	7866	5242880	106094	0	0	0	54358978	6	multi	320
frame_major_prefix	cold	uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	3420727	86240	151604	88912	31917809	254	17401	138853	27000	5242880	53924	0	0	0	47893683	5	multi	318
frame_major_prefix	cold	pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	158073	94584	136122	97319	31274411	258	96299	175971	4210	5242880	67469	0	0	0	38245658	6	multi	318
frame_major_prefix	cold	pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	234683	106555	175112	111459	35882146	268	42925	102796	15057	5242880	102826	0	0	0	53511435	7	multi	320
frame_major_prefix	cold	uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	204932	91984	167442	96737	31327068	370	47688	109108	10499	5242880	61871	0	0	0	50637897	5	multi	319
frame_major_prefix	cold	pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	966000	90291	156403	111940	36751904	263	53005	502903	16660	5242880	60219	0	0	0	49957157	6	multi	320
frame_major_prefix	cold	pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	286246	106179	186304	114310	36825332	250	15391	81091	46016	5242880	95188	0	0	0	58744959	6	multi	320
frame_major_prefix	cold	uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	196716	96747	160145	100144	32298365	496	45655	172645	11992	5242880	63066	0	0	0	51721432	5	multi	318
frame_major_prefix	cold	pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	6	320	320	169293	92427	158846	144188	46250157	256	21088	230407	33347	5242880	61791	0	0	0	76581535	6	multi	318
frame_major_prefix	cold	pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	6	320	320	273689	109989	161724	113631	36592905	401	49714	158658	7298	5242880	106635	0	0	0	54125796	7	multi	320
frame_major_prefix	cold	uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	6	320	320	201389	103745	170216	103588	33499324	251	17124	253362	35582	5242880	68705	0	0	0	52353990	5	multi	319
frame_major_prefix	cold	pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	7	320	320	213715	95529	154152	97328	31357231	268	54935	124246	12558	5242880	61890	0	0	0	45517944	6	multi	320
