# callgrind: exact-server (HEAD fb26f7d, release+debuginfo), frames_250k-shared, one saturate harness D=4, ~6 s under valgrind
254,163,567 (100.0%)  PROGRAM TOTALS
59,921,653 (23.58%)  ring-0.17.14/pregenerated/aesni-gcm-x86_64-elf.S:_aesni_ctr32_ghash_6x [/tmp/claude-0/-home-user-wt-pacs/4388fb8e-14c3-
38,988,708 (15.34%)  ./string/../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S:__memcpy_avx_unaligned_erms [/usr/lib/x86_64-linux-gn
 8,307,928 ( 3.27%)  ring-0.17.14/pregenerated/aesni-x86_64-elf.S:ring_core_0_17_14__aes_hw_ctr32_encrypt_blocks [/tmp/claude-0/-home-user-w
 7,856,581 ( 3.09%)  quinn-proto-0.11.17/src/connection/mod.rs:quinn_proto::connection::Connection::poll_transmit [/tmp/claude-0/-home-user-
 6,871,872 ( 2.70%)  ring-0.17.14/pregenerated/aesni-gcm-x86_64-elf.S:_aesni_ctr32_6x [/tmp/claude-0/-home-user-wt-pacs/4388fb8e-14c3-5912-8
 5,686,114 ( 2.24%)  ring-0.17.14/pregenerated/ghash-x86_64-elf.S:ring_core_0_17_14__gcm_ghash_avx [/tmp/claude-0/-home-user-wt-pacs/4388fb8
 4,478,554 ( 1.76%)  ring-0.17.14/pregenerated/aesni-gcm-x86_64-elf.S:ring_core_0_17_14__aesni_gcm_encrypt [/tmp/claude-0/-home-user-wt-pacs
 2,638,228 ( 1.04%)  ring-0.17.14/pregenerated/aesni-x86_64-elf.S:_aesni_encrypt8 [/tmp/claude-0/-home-user-wt-pacs/4388fb8e-14c3-5912-8315-
 2,578,386 ( 1.01%)  quinn-proto-0.11.17/src/connection/packet_builder.rs:quinn_proto::connection::packet_builder::PacketBuilder::new [/tmp/
 2,128,458 ( 0.84%)  quinn-proto-0.11.17/src/connection/streams/state.rs:quinn_proto::connection::streams::state::StreamsState::write_stream
 2,113,695 ( 0.83%)  alloc/src/collections/btree/node.rs:alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<al
 1,839,652 ( 0.72%)  core/src/option.rs:quinn_proto::connection::Connection::poll_transmit
 1,694,715 ( 0.67%)  alloc/src/collections/btree/search.rs:alloc::collections::btree::navigate::<impl alloc::collections::btree::node::NodeR
 1,579,939 ( 0.62%)  quinn-proto-0.11.17/src/connection/packet_builder.rs:quinn_proto::connection::packet_builder::PacketBuilder::finish_and
 1,512,883 ( 0.60%)  alloc/src/collections/btree/map/entry.rs:alloc::collections::btree::map::entry::VacantEntry<K,V,A>::insert_entry [/tmp/
 1,482,187 ( 0.58%)  alloc/src/collections/btree/remove.rs:alloc::collections::btree::remove::<impl alloc::collections::btree::node::Handle<
 1,471,548 ( 0.58%)  quinn-proto-0.11.17/src/connection/mod.rs:quinn_proto::connection::Connection::on_packet_acked [/tmp/claude-0/-home-use
 1,447,591 ( 0.57%)  ./malloc/./malloc/malloc.c:_int_malloc [/usr/lib/x86_64-linux-gnu/libc.so.6]
 1,410,176 ( 0.55%)  alloc/src/collections/btree/map/entry.rs:alloc::collections::btree::map::entry::OccupiedEntry<K,V,A>::remove_kv [/tmp/c
 1,330,027 ( 0.52%)  quinn-proto-0.11.17/src/packet.rs:quinn_proto::packet::Header::encode [/tmp/claude-0/-home-user-wt-pacs/4388fb8e-14c3-5
 1,247,667 ( 0.49%)  quinn-proto-0.11.17/src/connection/mod.rs:quinn_proto::connection::Connection::pto_time_and_space [/tmp/claude-0/-home-
