exp	arm	cell	rtt_ms	rate_mbps	loss_pct	fixture	depth	run	p95_wait_ms	mean_wait_ms	fill_rate	peak_outstanding	wait_samples	srv_cpu_s	cli_cpu_s	ns_cpu_s	wall_s	bytes_on_wire	frames_on_wire
e3	shared_b1	B	60	25	0.5	frames_32k	4	1	384.52	82.17	14.00	4	161	0.460	0.830	0.830	20.98	11745468	367
e3	perframe_b1	B	60	25	0.5	frames_32k	4	1	505.41	81.69	15.50	4	161	0.450	0.900	0.790	21.14	10849356	339
e3	perframe_fifo_b1	B	60	25	0.5	frames_32k	4	1	340.71	75.61	14.50	4	161	0.470	0.840	0.830	20.06	11617452	363
e3	shared_b1	C	150	10	2.0	frames_32k	4	1	1923.24	550.93	5.00	4	161	0.680	3.220	1.200	98.43	9633204	301
e3	perframe_b1	C	150	10	2.0	frames_32k	4	1	2895.20	510.66	0.50	4	161	0.680	3.060	1.110	91.97	8161020	255
e3	perframe_fifo_b1	C	150	10	2.0	frames_32k	4	1	1877.96	520.34	3.00	4	161	0.660	3.000	1.140	91.82	8993124	281
e3	shared_b1	B	60	25	0.5	frames_32k	4	2	345.55	76.65	14.00	4	161	0.460	0.780	0.830	20.22	11809476	369
e3	perframe_b1	B	60	25	0.5	frames_32k	4	2	422.54	78.11	12.00	4	161	0.460	0.860	0.780	20.67	10753344	336
e3	perframe_fifo_b1	B	60	25	0.5	frames_32k	4	2	340.74	75.61	13.50	4	161	0.480	0.790	0.810	19.90	11617452	363
e3	shared_b1	C	150	10	2.0	frames_32k	4	2	1822.66	547.46	3.00	4	161	0.650	3.110	1.170	96.27	9569196	299
e3	perframe_b1	C	150	10	2.0	frames_32k	4	2	2879.92	494.44	0.50	4	161	0.640	2.880	1.040	88.11	7968996	249
e3	perframe_fifo_b1	C	150	10	2.0	frames_32k	4	2	1973.69	492.11	5.00	4	161	0.640	2.850	1.070	88.09	8673084	271
e3	shared_b1	B	60	25	0.5	frames_32k	4	3	347.46	79.39	13.50	4	161	0.400	0.660	0.680	20.50	11841480	370
e3	perframe_b1	B	60	25	0.5	frames_32k	4	3	435.60	82.20	15.00	4	161	0.460	0.910	0.800	22.70	10849356	339
e3	perframe_fifo_b1	B	60	25	0.5	frames_32k	4	3	372.22	79.83	16.00	4	161	0.470	0.830	0.800	20.67	11521440	360
e3	shared_b1	C	150	10	2.0	frames_32k	4	3	1975.37	562.90	5.00	4	161	0.630	3.030	1.050	100.39	9633204	301
e3	perframe_b1	C	150	10	2.0	frames_32k	4	3	3099.93	541.89	0.00	4	161	0.640	2.880	1.040	95.30	8513064	266
e3	perframe_fifo_b1	C	150	10	2.0	frames_32k	4	3	2005.86	519.08	3.50	4	161	0.710	3.040	1.150	91.65	8993124	281
e3	shared_b20	B	60	25	0.5	frames_32k	4	1	52.73	14.51	95.50	4	161	0.570	0.000	1.250	10.18	22978872	718
e3	perframe_b20	B	60	25	0.5	frames_32k	4	1	88.94	16.82	67.00	4	161	0.570	0.780	1.190	10.49	20258532	633
e3	perframe_fifo_b20	B	60	25	0.5	frames_32k	4	1	74.94	15.05	95.00	4	161	0.590	0.750	1.240	10.18	22754844	711
e3	shared_b20	C	150	10	2.0	frames_32k	4	1	175.11	43.41	21.00	4	161	0.490	0.770	1.230	14.96	13345668	417
e3	perframe_b20	C	150	10	2.0	frames_32k	4	1	272.31	61.02	12.50	4	161	0.490	0.870	1.140	18.20	11073384	346
e3	perframe_fifo_b20	C	150	10	2.0	frames_32k	4	1	108.06	40.75	20.50	4	161	0.560	0.790	1.230	14.65	13377672	418
e3	shared_b20	B	60	25	0.5	frames_32k	4	2	52.55	14.59	95.50	4	161	0.520	0.670	1.250	10.18	23074884	721
e3	perframe_b20	B	60	25	0.5	frames_32k	4	2	74.78	31.25	67.50	4	161	0.580	0.910	1.260	12.81	21090636	659
e3	perframe_fifo_b20	B	60	25	0.5	frames_32k	4	2	52.97	19.01	95.00	4	161	0.620	0.730	1.310	10.80	23202900	725
e3	shared_b20	C	150	10	2.0	frames_32k	4	2	160.26	42.14	21.50	4	161	0.520	0.760	1.270	14.84	13313664	416
e3	perframe_b20	C	150	10	2.0	frames_32k	4	2	260.06	60.51	16.50	4	161	0.500	0.850	1.100	17.90	10753344	336
e3	perframe_fifo_b20	C	150	10	2.0	frames_32k	4	2	103.71	39.66	21.00	4	161	0.590	0.780	1.250	14.51	13409676	419
e3	shared_b20	B	60	25	0.5	frames_32k	4	3	53.37	14.28	95.00	4	161	0.530	0.630	1.250	10.03	23042880	720
e3	perframe_b20	B	60	25	0.5	frames_32k	4	3	87.95	16.77	79.50	4	161	0.590	0.800	1.240	10.49	21314664	666
e3	perframe_fifo_b20	B	60	25	0.5	frames_32k	4	3	52.32	13.92	95.00	4	161	0.600	0.720	1.260	10.02	23202900	725
e3	shared_b20	C	150	10	2.0	frames_32k	4	3	176.00	44.81	20.50	4	161	0.500	0.770	1.240	15.27	13313664	416
e3	perframe_b20	C	150	10	2.0	frames_32k	4	3	311.42	69.22	15.50	4	161	0.500	0.900	1.120	19.28	10945368	342
e3	perframe_fifo_b20	C	150	10	2.0	frames_32k	4	3	106.37	40.61	20.50	4	161	0.540	0.790	1.250	14.65	13377672	418
