exp	arm	cell	rtt_ms	rate_mbps	loss_pct	fixture	depth	run	p95_wait_ms	mean_wait_ms	fill_rate	peak_outstanding	wait_samples	srv_cpu_s	cli_cpu_s	ns_cpu_s	wall_s	bytes_on_wire	frames_on_wire
e6_burst	cubic_b1	B	60	25	0.5	frames_32k	4	1	341.73	78.56	15.00	4	161	0.460	0.790	0.820	20.51	11745468	367
e6_burst	bbr_b1	B	60	25	0.5	frames_32k	4	1	76.83	16.50	86.50	4	161	0.560	0.670	1.240	10.50	21858732	683
e6_burst	cubic_b1	C	150	10	2.0	frames_32k	4	1	1887.59	560.12	2.50	4	161	0.720	3.270	1.220	98.31	9473184	296
e6_burst	bbr_b1	C	150	10	2.0	frames_32k	4	1	318.81	71.66	35.00	4	161	0.500	0.980	1.320	20.07	13473684	421
e6_burst	cubic_b1	B	60	25	0.5	frames_32k	4	2	344.87	83.33	13.50	4	161	0.450	0.840	0.840	21.15	11777472	368
e6_burst	bbr_b1	B	60	25	0.5	frames_32k	4	2	83.89	16.33	88.00	4	161	0.550	0.690	1.250	10.49	22594824	706
e6_burst	cubic_b1	C	150	10	2.0	frames_32k	4	2	1825.92	544.65	3.00	4	161	0.680	3.130	1.180	95.96	9569196	299
e6_burst	bbr_b1	C	150	10	2.0	frames_32k	4	2	326.42	69.41	30.00	4	161	0.500	0.890	1.280	19.28	13121640	410
e6_burst	cubic_b1	B	60	25	0.5	frames_32k	4	3	346.89	78.92	14.00	4	161	0.440	0.830	0.850	20.53	11777472	368
e6_burst	bbr_b1	B	60	25	0.5	frames_32k	4	3	76.81	15.49	90.50	4	161	0.490	0.680	1.220	10.34	21858732	683
e6_burst	cubic_b1	C	150	10	2.0	frames_32k	4	3	1907.75	556.77	2.50	4	161	0.710	3.220	1.200	97.77	9473184	296
e6_burst	bbr_b1	C	150	10	2.0	frames_32k	4	3	325.39	71.64	31.00	4	161	0.480	1.010	1.290	19.60	13505688	422
e6_burst	cubic_b5	B	60	25	0.5	frames_32k	4	1	53.11	14.59	33.00	4	161	0.450	0.580	0.910	10.19	14593824	456
e6_burst	bbr_b5	B	60	25	0.5	frames_32k	4	1	75.70	16.52	83.50	4	161	0.560	0.680	1.240	10.49	21442680	670
e6_burst	cubic_b5	C	150	10	2.0	frames_32k	4	1	467.91	101.75	14.00	4	161	0.530	1.010	1.160	24.69	11393424	356
e6_burst	bbr_b5	C	150	10	2.0	frames_32k	4	1	262.90	49.89	31.50	4	161	0.460	0.840	1.300	16.21	13569696	424
e6_burst	cubic_b5	B	60	25	0.5	frames_32k	4	2	53.57	14.88	28.00	4	161	0.420	0.530	0.860	10.19	14209776	444
e6_burst	bbr_b5	B	60	25	0.5	frames_32k	4	2	73.87	15.34	91.00	4	161	0.550	0.700	1.300	10.65	23074884	721
e6_burst	cubic_b5	C	150	10	2.0	frames_32k	4	2	483.53	102.09	14.50	4	161	0.540	0.990	1.160	24.70	11393424	356
e6_burst	bbr_b5	C	150	10	2.0	frames_32k	4	2	262.35	54.81	31.00	4	161	0.490	0.890	1.300	17.13	14081760	440
e6_burst	cubic_b5	B	60	25	0.5	frames_32k	4	3	53.66	14.54	32.50	4	161	0.440	0.540	0.870	10.19	14561820	455
e6_burst	bbr_b5	B	60	25	0.5	frames_32k	4	3	52.86	12.94	81.50	4	161	0.520	0.680	1.280	9.88	22114764	691
e6_burst	cubic_b5	C	150	10	2.0	frames_32k	4	3	463.77	101.82	13.50	4	161	0.560	1.000	1.160	24.54	11393424	356
e6_burst	bbr_b5	C	150	10	2.0	frames_32k	4	3	260.71	47.35	36.00	4	161	0.480	0.910	1.340	16.05	14401800	450
e6_burst	cubic_b20	B	60	25	0.5	frames_32k	4	1	52.43	13.51	95.50	4	161	0.540	0.000	1.260	10.03	23138892	723
e6_burst	bbr_b20	B	60	25	0.5	frames_32k	4	1	52.72	17.25	83.50	4	161	0.540	0.700	1.270	10.65	23234904	726
e6_burst	cubic_b20	C	150	10	2.0	frames_32k	4	1	174.74	43.34	21.00	4	161	0.550	0.770	1.250	14.97	13345668	417
e6_burst	bbr_b20	C	150	10	2.0	frames_32k	4	1	180.25	44.58	32.50	4	161	0.500	0.890	1.390	15.29	14625828	457
e6_burst	cubic_b20	B	60	25	0.5	frames_32k	4	2	52.88	14.17	95.50	4	161	0.570	0.660	1.270	10.03	23138892	723
e6_burst	bbr_b20	B	60	25	0.5	frames_32k	4	2	52.50	15.15	91.00	4	161	0.550	0.680	1.300	10.34	22882860	715
e6_burst	cubic_b20	C	150	10	2.0	frames_32k	4	2	159.70	42.16	20.50	4	161	0.510	0.760	1.260	14.81	13313664	416
e6_burst	bbr_b20	C	150	10	2.0	frames_32k	4	2	182.23	43.47	38.50	4	161	0.480	0.830	1.330	15.12	14465808	452
e6_burst	cubic_b20	B	60	25	0.5	frames_32k	4	3	52.75	14.16	95.50	4	161	0.540	0.670	1.240	10.03	23138892	723
e6_burst	bbr_b20	B	60	25	0.5	frames_32k	4	3	52.48	15.09	81.50	4	161	0.490	0.670	1.250	10.19	22082760	690
e6_burst	cubic_b20	C	150	10	2.0	frames_32k	4	3	175.67	43.37	20.50	4	161	0.510	0.780	1.250	14.97	13313664	416
e6_burst	bbr_b20	C	150	10	2.0	frames_32k	4	3	179.07	42.02	34.00	4	161	0.540	0.830	1.360	14.83	14305788	447
