exp	arm	cell	rtt_ms	rate_mbps	loss_pct	fixture	depth	run	p95_wait_ms	mean_wait_ms	fill_rate	peak_outstanding	wait_samples	srv_cpu_s	cli_cpu_s	ns_cpu_s	wall_s	bytes_on_wire	frames_on_wire	nz_n	nz_p50	nz_p95	nz_p99	nz_max
e7	cubic	B	60	25	0.5	frames_32k	16	1	3946.40	869.74	23.00	16	81	1.080	2.980	2.370	75.54	33156144	1036	67	192.69	4005.08	5077.02	5077.02
e7	bbr	B	60	25	0.5	frames_32k	16	1	420.01	109.98	100.00	16	81	0.910	1.150	2.200	14.04	39556944	1236	41	231.13	450.08	544.82	544.82
e7	bbr	C	150	10	2.0	frames_32k	16	1	1011.53	320.11	35.00	16	81	1.210	1.990	3.330	31.33	35364420	1105	61	343.46	1027.11	1405.60	1405.60
e7	cubic	B	60	25	0.5	frames_32k	16	2	3445.75	899.91	13.00	16	81	1.050	3.040	2.340	77.89	32388048	1012	73	967.97	3459.40	4876.85	4876.85
e7	bbr	B	60	25	0.5	frames_32k	16	2	391.68	109.50	111.50	16	81	0.940	1.170	2.230	14.20	39812976	1244	41	235.63	424.12	507.72	507.72
e7	bbr	C	150	10	2.0	frames_32k	16	2	1197.75	322.17	40.50	16	81	1.190	2.120	3.520	31.47	34692336	1084	41	565.95	1468.46	1799.27	1799.27
e7	cubic	B	60	25	0.5	frames_32k	16	3	4378.23	983.82	13.00	16	81	1.080	3.270	2.330	84.69	32132016	1004	67	214.83	4552.00	6079.41	6079.41
e7	bbr	B	60	25	0.5	frames_32k	16	3	339.03	109.64	96.50	16	81	0.870	1.160	2.150	14.04	39140892	1223	43	201.73	423.67	529.46	529.46
e7	bbr	C	150	10	2.0	frames_32k	16	3	1301.38	309.53	33.00	16	81	1.160	1.930	3.210	30.38	33860232	1058	45	395.63	1458.12	1593.90	1593.90
e7	cubic	B	60	25	0.5	frames_32k	16	4	2492.22	831.52	12.50	16	81	1.020	2.880	2.340	72.35	32804100	1025	65	1101.29	2591.67	3169.75	3169.75
e7	bbr	B	60	25	0.5	frames_32k	16	4	407.67	108.22	94.50	16	81	0.880	1.150	2.170	13.89	39108888	1222	45	189.53	437.88	522.64	522.64
e7	bbr	C	150	10	2.0	frames_32k	16	4	1067.70	298.96	38.50	16	81	1.190	1.890	3.120	29.61	33732216	1054	49	385.95	1328.77	1577.34	1577.34
