exp	arm	cell	rtt_ms	rate_mbps	loss_pct	fixture	depth	run	p95_wait_ms	mean_wait_ms	fill_rate	peak_outstanding	wait_samples	srv_cpu_s	cli_cpu_s	ns_cpu_s	wall_s	bytes_on_wire	frames_on_wire	nz_n	nz_p50	nz_p95	nz_p99	nz_max
e8	cubic	D	60	25	0.0	frames_32k	16	1	270.32	102.18	96.00	16	81	0.830	1.060	2.070	13.26	38980872	1218	53	123.54	270.61	602.77	602.77
e8	bbr	D	60	25	0.0	frames_32k	16	1	270.32	102.70	95.50	16	81	0.870	1.140	2.110	13.42	39332916	1229	50	132.92	270.80	309.81	309.81
e8	cubic	E	150	10	0.0	frames_32k	16	1	730.51	306.31	38.50	16	81	1.270	2.060	3.570	30.08	35172396	1099	69	386.58	732.25	1694.20	1694.20
e8	bbr	E	150	10	0.0	frames_32k	16	1	1184.19	320.41	31.50	16	81	1.330	2.110	3.570	31.47	34916364	1091	64	309.30	1184.55	1590.62	1590.62
e8	cubic	D	60	25	0.0	frames_32k	16	2	270.17	102.88	95.50	16	81	0.860	1.150	2.150	13.43	39140892	1223	50	122.82	272.45	606.35	606.35
e8	bbr	D	60	25	0.0	frames_32k	16	2	268.80	107.43	84.50	16	81	0.880	1.140	2.150	13.89	39620952	1238	56	123.17	292.51	481.08	481.08
e8	cubic	E	150	10	0.0	frames_32k	16	2	730.96	306.27	38.50	16	81	1.260	2.040	3.560	30.08	35108388	1097	70	386.07	757.13	1698.29	1698.29
e8	bbr	E	150	10	0.0	frames_32k	16	2	1172.98	318.35	36.00	16	81	1.230	2.140	3.610	31.62	34916364	1091	58	294.28	1603.58	1637.80	1637.80
e8	cubic	D	60	25	0.0	frames_32k	16	3	271.30	104.66	95.00	16	81	0.920	1.130	2.150	13.58	39364920	1230	44	136.23	378.74	636.88	636.88
e8	bbr	D	60	25	0.0	frames_32k	16	3	520.38	108.79	94.50	16	81	0.910	1.100	2.120	13.89	37988748	1187	35	148.73	633.21	752.36	752.36
e8	cubic	E	150	10	0.0	frames_32k	16	3	728.39	305.66	38.50	16	81	1.240	2.010	3.490	30.09	35108388	1097	69	385.96	733.63	1688.66	1688.66
e8	bbr	E	150	10	0.0	frames_32k	16	3	729.10	307.99	38.50	16	81	1.170	1.870	3.160	30.23	34884360	1090	71	383.56	1114.51	1588.59	1588.59
e8	cubic	D	60	25	0.0	frames_32k	16	4	270.02	100.95	95.50	16	81	0.850	1.050	2.030	13.27	38628828	1207	51	123.06	270.79	600.74	600.74
e8	bbr	D	60	25	0.0	frames_32k	16	4	271.84	108.13	88.50	16	81	0.880	1.060	2.110	13.73	39428928	1232	50	124.17	291.78	592.04	592.04
e8	cubic	E	150	10	0.0	frames_32k	16	4	728.51	307.80	38.50	16	81	1.250	2.070	3.530	30.23	35300412	1103	70	386.61	729.82	2115.08	2115.08
e8	bbr	E	150	10	0.0	frames_32k	16	4	1189.79	321.79	36.00	16	81	1.270	2.110	3.570	31.47	35332416	1104	64	329.92	1252.10	1341.38	1341.38
