exp	arm	cell	rtt_ms	rate_mbps	loss_pct	fixture	depth	run	p95_wait_ms	mean_wait_ms	fill_rate	peak_outstanding	wait_samples	srv_cpu_s	cli_cpu_s	ns_cpu_s	wall_s	bytes_on_wire	frames_on_wire	nz_n	nz_p50	nz_p95	nz_p99	nz_max
e9b_hol	shared	W	50	20	1.0	frames_32k	16	1	0.00	5.17	0.00	16	191	0.320	0.410	0.620	9.72	9505188	297	8	30.04	425.97	425.97	425.97
e9b_hol	perframe	W	50	20	1.0	frames_32k	16	1	0.00	34.71	3.00	16	191	0.590	0.820	1.130	15.43	13345668	417	8	344.39	3622.81	3622.81	3622.81
e9b_hol	perframe_fifo	W	50	20	1.0	frames_32k	16	1	0.00	5.98	0.00	16	191	0.300	0.370	0.560	9.88	8417052	263	8	19.18	688.53	688.53	688.53
e9b_hol	shared	W	50	20	1.0	frames_32k	16	2	440.93	122.47	23.00	16	191	0.780	0.000	1.680	32.24	21378672	668	30	288.10	6938.42	7199.98	7199.98
e9b_hol	perframe	W	50	20	1.0	frames_32k	16	2	521.66	109.03	15.00	16	191	0.770	1.400	1.520	29.63	17666208	552	19	521.66	4116.06	4116.06	4116.06
e9b_hol	perframe_fifo	W	50	20	1.0	frames_32k	16	2	289.93	104.29	32.50	16	191	0.800	1.260	1.560	28.70	20930616	654	20	279.32	7014.63	7195.33	7195.33
e9b_hol	shared	W	50	20	1.0	frames_32k	16	3	215.37	82.27	17.00	16	191	0.670	1.040	1.340	24.40	18306288	572	21	192.08	5509.20	6099.04	6099.04
e9b_hol	perframe	W	50	20	1.0	frames_32k	16	3	249.57	75.88	21.00	16	191	0.710	1.120	1.340	23.30	16322040	510	22	197.11	3295.48	5061.00	5061.00
e9b_hol	perframe_fifo	W	50	20	1.0	frames_32k	16	3	168.97	78.37	14.00	16	191	0.660	1.040	1.310	23.76	17570196	549	19	168.97	6325.95	6325.95	6325.95
e9b_hol	shared	W	50	20	1.0	frames_32k	16	4	112.82	48.65	31.50	16	191	0.690	0.860	1.340	18.06	18242280	570	19	112.82	6307.29	6307.29	6307.29
e9b_hol	perframe	W	50	20	1.0	frames_32k	16	4	153.25	54.59	55.00	16	191	0.640	1.000	1.300	19.14	17922240	560	16	173.98	6052.45	6052.45	6052.45
e9b_hol	perframe_fifo	W	50	20	1.0	frames_32k	16	4	102.59	46.98	30.00	16	191	0.630	0.890	1.320	17.75	17794224	556	17	135.07	6307.58	6307.58	6307.58
