exp	arm	cell	rtt_ms	rate_mbps	loss_pct	fixture	depth	run	p95_wait_ms	mean_wait_ms	fill_rate	peak_outstanding	wait_samples	srv_cpu_s	cli_cpu_s	ns_cpu_s	wall_s	bytes_on_wire	frames_on_wire	nz_n	nz_p50	nz_p95	nz_p99	nz_max
e9c_hol250	shared	W	50	20	1.0	frames_250k	8	1	1924.11	623.59	3.50	8	191	2.500	5.780	7.000	127.81	87001392	348	37	1525.42	35280.06	36972.62	36972.62
e9c_hol250	perframe	W	50	20	1.0	frames_250k	8	1	1803.37	613.80	0.00	8	191	2.660	6.550	6.800	126.04	82501320	330	32	687.72	22283.26	22607.47	22607.47
e9c_hol250	perframe_fifo	W	50	20	1.0	frames_250k	8	1	1791.40	617.90	3.50	8	191	2.600	5.800	6.990	126.82	86251380	345	36	1407.52	35422.05	36427.50	36427.50
e9c_hol250	shared	W	50	20	1.0	frames_250k	8	2	1969.95	598.45	4.00	8	191	2.330	5.450	6.380	123.15	86001376	344	36	1731.16	25500.59	33628.51	33628.51
e9c_hol250	perframe	W	50	20	1.0	frames_250k	8	2	3193.79	589.96	0.00	8	191	2.350	6.000	6.070	121.39	77001232	308	30	838.53	16779.28	25416.59	25416.59
e9c_hol250	perframe_fifo	W	50	20	1.0	frames_250k	8	2	2045.32	612.73	3.00	8	191	2.480	5.660	6.620	125.78	85751372	343	36	1751.89	25243.52	35235.90	35235.90
e9c_hol250	shared	W	50	20	1.0	frames_250k	8	3	2304.21	677.06	2.00	8	191	2.430	6.030	6.790	138.05	86001376	344	37	1930.24	31635.68	37825.76	37825.76
e9c_hol250	perframe	W	50	20	1.0	frames_250k	8	3	3878.40	648.16	0.00	8	191	2.490	6.440	6.330	132.64	78251252	313	32	549.35	21366.90	21644.85	21644.85
e9c_hol250	perframe_fifo	W	50	20	1.0	frames_250k	8	3	2508.49	727.97	4.00	8	191	2.690	6.510	7.070	147.79	85001360	340	34	2111.76	37476.21	40190.75	40190.75
e9c_hol250	shared	W	50	20	1.0	frames_250k	8	4	2151.13	690.90	1.50	8	191	2.630	6.320	7.200	140.72	86251380	345	38	1646.36	36743.68	42858.88	42858.88
e9c_hol250	perframe	W	50	20	1.0	frames_250k	8	4	3456.13	596.16	0.00	8	191	2.400	6.200	6.220	122.65	76501224	306	32	799.74	20496.39	22592.95	22592.95
e9c_hol250	perframe_fifo	W	50	20	1.0	frames_250k	8	4	2141.27	583.19	2.50	8	191	2.440	5.470	6.390	120.17	86751388	347	36	1493.52	27921.02	33926.49	33926.49
