exp	arm	cell	rtt_ms	rate_mbps	loss_pct	fixture	depth	run	p95_wait_ms	mean_wait_ms	fill_rate	peak_outstanding	wait_samples	srv_cpu_s	cli_cpu_s	ns_cpu_s	wall_s	bytes_on_wire	frames_on_wire	nz_n	nz_p50	nz_p95	nz_p99	nz_max	loss_burst	ns_qdrop	verdict
r5b	cubic	W	50	20	1.0	frames_500x64k	8	1	240.27	46.73	2.00	8	682	1.240	2.190	3.110	57.51	41666604	651	225	117.57	359.41	470.54	634.55	5	0	ok
r5b	bbr	W	50	20	1.0	frames_500x64k	8	1	81.89	10.41	0.00	8	682	0.960	1.400	2.840	32.71	41922620	655	75	81.61	261.93	689.22	689.22	5	0	ok
r5b	cubic	S	600	8	1.0	frames_500x64k	8	1	1184.73	261.36	2.50	8	682	1.930	7.060	4.960	205.52	41602600	650	254	588.63	1967.46	2906.67	3256.41	5	0	ok
r5b	bbr	S	600	8	1.0	frames_500x64k	8	1	676.93	125.09	2.00	8	682	1.300	4.150	4.160	112.47	41666604	651	191	465.98	1261.35	1309.23	1608.28	5	0	ok
r5b	cubic	W	50	20	1.0	frames_500x64k	8	2	232.07	49.62	2.00	8	682	1.300	2.260	3.200	59.42	41730608	652	249	117.31	319.31	479.30	599.85	5	0	ok
r5b	bbr	W	50	20	1.0	frames_500x64k	8	2	81.65	9.15	0.00	8	682	0.980	1.350	2.810	31.78	41922620	655	80	81.09	183.37	265.37	265.37	5	0	ok
r5b	cubic	S	600	8	1.0	frames_500x64k	8	2	1269.37	255.72	2.50	8	682	1.830	6.880	4.670	201.66	41602600	650	253	542.56	1810.94	2776.25	3626.65	5	0	ok
r5b	bbr	S	600	8	1.0	frames_500x64k	8	2	672.91	123.25	2.00	8	682	1.260	4.160	4.160	111.25	41474592	648	190	481.44	1096.08	2071.22	2130.23	5	0	ok
r5b	cubic	W	50	20	1.0	frames_500x64k	8	3	259.07	56.98	2.50	8	682	1.340	2.430	3.230	64.51	41794612	653	247	129.69	398.67	681.73	700.13	5	0	ok
r5b	bbr	W	50	20	1.0	frames_500x64k	8	3	81.53	9.65	0.00	8	682	1.000	1.450	2.890	32.11	41922620	655	83	81.29	187.02	666.43	666.43	5	0	ok
r5b	cubic	S	600	8	1.0	frames_500x64k	8	3	1700.95	353.16	2.50	8	682	2.060	9.160	5.060	268.06	41538596	649	270	685.42	2114.49	3778.44	4664.43	5	0	ok
r5b	bbr	S	600	8	1.0	frames_500x64k	8	3	673.69	123.51	2.50	8	682	1.300	4.270	4.330	111.46	41602600	650	178	566.86	1097.82	1309.32	1734.59	5	0	ok
