frame	depth	sessions	d_asks_per_s	paired	d_p50	paired	d_cpu_per_ask	paired
32k	1	1	+8.0%	0/6	-11.8%	6/6	-31.5%	6/6
32k	2	1	-6.0%	4/6	+14.1%	2/6	-32.0%	6/6
32k	4	1	+32.6%	0/6	-30.3%	6/6	-31.8%	6/6
32k	8	1	+41.1%	0/6	-33.8%	6/6	-30.9%	6/6
32k	1	4	+1.5%	1/6	-1.2%	4/6	-6.8%	6/6
32k	2	4	+4.4%	1/6	-2.3%	4/6	-10.2%	6/6
32k	4	4	+1.8%	3/6	-1.3%	3/6	-11.2%	6/6
32k	8	4	+1.5%	2/6	-7.3%	5/6	-12.2%	6/6
32k	1	16	+19.4%	1/6	-19.7%	6/6	-18.4%	6/6
32k	2	16	+19.2%	0/6	-21.8%	6/6	-21.7%	6/6
32k	4	16	+25.6%	0/6	-27.0%	6/6	-23.0%	6/6
32k	8	16	+21.4%	0/6	-25.4%	6/6	-20.3%	6/6
250k	1	1	+28.1%	0/6	-29.5%	6/6	-45.3%	6/6
250k	2	1	+49.9%	0/6	-36.2%	6/6	-35.7%	6/6
250k	4	1	+63.0%	0/6	-40.6%	6/6	-39.6%	6/6
250k	8	1	+60.0%	0/6	-40.0%	6/6	-38.6%	6/6
250k	1	4	-26.2%	6/6	-36.5%	6/6	-5.9%	6/6
250k	2	4	+12.5%	2/6	-10.6%	5/6	-18.7%	6/6
250k	4	4	+14.6%	1/6	-13.7%	6/6	-18.3%	6/6
250k	8	4	+27.7%	0/6	-20.0%	6/6	-20.9%	6/6
250k	1	16	+5.0%	1/6	-17.1%	6/6	-15.5%	6/6
250k	2	16	+21.4%	0/6	-14.1%	6/6	-18.2%	6/6
250k	4	16	+16.8%	0/6	-17.2%	5/6	-15.6%	6/6
250k	8	16	+25.5%	0/6	-23.1%	6/6	-21.9%	6/6
