arm	stream_mode	clients	run	srv_anon_kb	srv_base_kb	srv_delta_kb	cli_anon_kb	asks	bytes_read	unis_opened	stalled	alive	void	void_reason
default	shared	1	1	880	524	356	2232	400	11377	1	1	1	0	-
default	shared	4	1	1688	524	1164	8772	400	43858	4	1	1	0	-
default	shared	8	1	2496	524	1972	18060	400	87716	8	1	1	0	-
default	shared	16	1	3776	520	3256	35888	400	190374	16	1	1	0	-
default	per-frame	1	1	1112	524	588	7924	400	11365	99	1	1	0	-
default	per-frame	4	1	2496	520	1976	31552	400	45490	396	1	1	0	-
default	per-frame	8	1	4400	524	3876	63284	400	89100	792	1	1	0	-
default	per-frame	16	1	6972	520	6452	125344	400	105866	1584	1	1	0	-
default	shared	1	2	952	524	428	2284	400	11377	1	1	1	0	-
default	shared	4	2	1656	520	1136	9196	400	45508	4	1	1	0	-
default	shared	8	2	2380	524	1856	18200	400	86983	8	1	1	0	-
default	shared	16	2	3672	524	3148	35968	400	174975	16	1	1	0	-
default	per-frame	1	2	1108	524	584	7940	400	11375	99	1	1	0	-
default	per-frame	4	2	2328	524	1804	31328	400	33892	396	1	1	0	-
default	per-frame	8	2	4148	528	3620	63060	400	78194	792	1	1	0	-
default	per-frame	16	2	6816	520	6296	125152	400	108839	1584	1	1	0	-
default	shared	1	3	872	520	352	2060	400	11377	1	1	1	0	-
default	shared	4	3	1816	524	1292	8932	400	45480	4	1	1	0	-
default	shared	8	3	2480	520	1960	18028	400	88836	8	1	1	0	-
default	shared	16	3	3820	520	3300	35736	400	172654	16	1	1	0	-
default	per-frame	1	3	1048	524	524	8056	400	5687	99	1	1	0	-
default	per-frame	4	3	2356	524	1832	31272	400	27014	396	1	1	0	-
default	per-frame	8	3	4648	524	4124	62592	400	65052	792	1	1	0	-
default	per-frame	16	3	6684	520	6164	124852	400	117465	1584	1	1	0	-
