cell_dir	cell_id	arm	slot	repeat	link	rtt_ms	rate_mbit	study	stream_mode	ask_cell	depth	n	interval_ms	client_valid	invalid_reasons	connect_ms	wall_ms	deliver_rows	server_serve_us_p50	git_sha	chromium
VOID-shaped60-250k-fill-80f	shaped60-250k-fill	wasm	0	0	shim	60.0	10.0	lab/fixtures/frames_250k/frames_250k.sbnd	per-frame	fill	1	80		True		215.31	16546	79	268.0	fd5c15f56aa7	141.0.7390.37
VOID-shaped60-250k-fill-80f	shaped60-250k-fill	ts	1	0	shim	60.0	10.0	lab/fixtures/frames_250k/frames_250k.sbnd	per-frame	fill	1	80		False	byte_closure_ok false	194.41	15002	50	314.0	fd5c15f56aa7	141.0.7390.37
VOID-shaped60-250k-fill-80f	shaped60-250k-fill	wasm	0	1	shim	60.0	10.0	lab/fixtures/frames_250k/frames_250k.sbnd	per-frame	fill	1	80		True		213.235	16548	79	241.0	fd5c15f56aa7	141.0.7390.37
VOID-shaped60-250k-fill-80f	shaped60-250k-fill	ts	1	1	shim	60.0	10.0	lab/fixtures/frames_250k/frames_250k.sbnd	per-frame	fill	1	80		False	byte_closure_ok false	195.785	15002	50	232.0	fd5c15f56aa7	141.0.7390.37
VOID-shaped60-250k-fill-80f	shaped60-250k-fill	wasm	0	2	shim	60.0	10.0	lab/fixtures/frames_250k/frames_250k.sbnd	per-frame	fill	1	80		True		211.775	16545	79	219.0	fd5c15f56aa7	141.0.7390.37
VOID-shaped60-250k-fill-80f	shaped60-250k-fill	ts	1	2	shim	60.0	10.0	lab/fixtures/frames_250k/frames_250k.sbnd	per-frame	fill	1	80		False	byte_closure_ok false	197.015	15002	50	268.0	fd5c15f56aa7	141.0.7390.37
VOID-shaped60-250k-fill-80f	shaped60-250k-fill	wasm	0	3	shim	60.0	10.0	lab/fixtures/frames_250k/frames_250k.sbnd	per-frame	fill	1	80		True		212.805	16548	79	249.0	fd5c15f56aa7	141.0.7390.37
VOID-shaped60-250k-fill-80f	shaped60-250k-fill	ts	1	3	shim	60.0	10.0	lab/fixtures/frames_250k/frames_250k.sbnd	per-frame	fill	1	80		False	byte_closure_ok false	196.23	15002	50	243.0	fd5c15f56aa7	141.0.7390.37
VOID-shaped60-250k-fill-80f	shaped60-250k-fill	wasm	0	4	shim	60.0	10.0	lab/fixtures/frames_250k/frames_250k.sbnd	per-frame	fill	1	80		True		209.435	16546	79	219.0	fd5c15f56aa7	141.0.7390.37
VOID-shaped60-250k-fill-80f	shaped60-250k-fill	ts	1	4	shim	60.0	10.0	lab/fixtures/frames_250k/frames_250k.sbnd	per-frame	fill	1	80		False	byte_closure_ok false	194.285	15002	50	250.0	fd5c15f56aa7	141.0.7390.37
aa-local-250k-ondemand	aa-local-250k-ondemand	ts	0	0	direct	0.0		lab/fixtures/frames_250k/frames_250k.sbnd	per-frame	ondemand	1	400	20	True		6.075	8100	399	183.0	07a070f9f872	141.0.7390.37
aa-local-250k-ondemand	aa-local-250k-ondemand	ts	1	0	direct	0.0		lab/fixtures/frames_250k/frames_250k.sbnd	per-frame	ondemand	1	400	20	True		8.69	8103	399	176.0	07a070f9f872	141.0.7390.37
aa-local-250k-ondemand	aa-local-250k-ondemand	ts	0	1	direct	0.0		lab/fixtures/frames_250k/frames_250k.sbnd	per-frame	ondemand	1	400	20	True		8.855	8109	399	170.0	07a070f9f872	141.0.7390.37
