cell	link	study	ask_cell	stream_mode	metric	stat	arm_a	arm_b	a_us	b_us	delta_us	ratio	p_perm
aa-local-250k-ondemand	direct	frames_250k	ondemand	per-frame	deliver_us	median	ts#s0	ts#s1	273.3	266.7	-6.7	0.976	0.3787878787878788
aa-local-250k-ondemand	direct	frames_250k	ondemand	per-frame	deliver_us	p95	ts#s0	ts#s1	375.0	368.3	-6.7	0.982	0.6688311688311688
aa-local-250k-ondemand	direct	frames_250k	ondemand	per-frame	serve_plus_path_us	median	ts#s0	ts#s1	1257.5	1270.0	12.5	1.01	0.6233766233766234
aa-local-250k-ondemand	direct	frames_250k	ondemand	per-frame	serve_plus_path_us	p95	ts#s0	ts#s1	2078.3	2156.7	78.3	1.038	0.5844155844155844
aa-local-250k-ondemand	direct	frames_250k	ondemand	per-frame	transfer_us	median	ts#s0	ts#s1	967.5	982.5	15.0	1.016	0.3593073593073593
aa-local-250k-ondemand	direct	frames_250k	ondemand	per-frame	transfer_us	p95	ts#s0	ts#s1	1323.3	1409.2	85.8	1.065	0.1645021645021645
aa-local-250k-ondemand	direct	frames_250k	ondemand	per-frame	ask_to_complete_us	median	ts#s0	ts#s1	2509.2	2534.2	25.0	1.01	0.5367965367965368
aa-local-250k-ondemand	direct	frames_250k	ondemand	per-frame	ask_to_complete_us	p95	ts#s0	ts#s1	3198.3	3338.3	140.0	1.044	0.19047619047619047
aa-local-250k-ondemand	direct	frames_250k	ondemand	per-frame	total_us	median	ts#s0	ts#s1	2554.2	2580.0	25.8	1.01	0.5476190476190477
aa-local-250k-ondemand	direct	frames_250k	ondemand	per-frame	total_us	p95	ts#s0	ts#s1	3245.8	3394.2	148.3	1.046	0.18181818181818182
local-250k-fill	direct	frames_250k	fill	per-frame	deliver_us	median	wasm	ts	4987.5	2506.7	-2480.8	0.503	0.2662337662337662
local-250k-fill	direct	frames_250k	fill	per-frame	deliver_us	p95	wasm	ts	19159.2	13859.2	-5300.0	0.723	0.37662337662337664
local-250k-fill	direct	frames_250k	fill	per-frame	serve_plus_path_us	median	wasm	ts	33247.5	29585.0	-3662.5	0.89	0.2077922077922078
local-250k-fill	direct	frames_250k	fill	per-frame	serve_plus_path_us	p95	wasm	ts	138865.8	147170.8	8305.0	1.06	0.5021645021645021
local-250k-fill	direct	frames_250k	fill	per-frame	transfer_us	median	wasm	ts	171456.7	184228.3	12771.7	1.074	0.3528138528138528
local-250k-fill	direct	frames_250k	fill	per-frame	transfer_us	p95	wasm	ts	196073.3	203767.5	7694.2	1.039	0.6341991341991342
local-250k-fill	direct	frames_250k	fill	per-frame	ask_to_complete_us	median	wasm	ts	216766.7	222688.3	5921.7	1.027	0.7121212121212122
local-250k-fill	direct	frames_250k	fill	per-frame	ask_to_complete_us	p95	wasm	ts	242080.8	250752.5	8671.7	1.036	0.6320346320346321
local-250k-fill	direct	frames_250k	fill	per-frame	total_us	median	wasm	ts	217520.8	223203.3	5682.5	1.026	0.7207792207792207
local-250k-fill	direct	frames_250k	fill	per-frame	total_us	p95	wasm	ts	242835.0	251267.5	8432.5	1.035	0.645021645021645
local-250k-ondemand	direct	frames_250k	ondemand	per-frame	deliver_us	median	wasm	ts	310.0	275.8	-34.2	0.89	0.015151515151515152
local-250k-ondemand	direct	frames_250k	ondemand	per-frame	deliver_us	p95	wasm	ts	425.8	376.7	-49.2	0.885	0.010822510822510822
local-250k-ondemand	direct	frames_250k	ondemand	per-frame	serve_plus_path_us	median	wasm	ts	1341.7	1360.0	18.3	1.014	0.6471861471861472
local-250k-ondemand	direct	frames_250k	ondemand	per-frame	serve_plus_path_us	p95	wasm	ts	2198.3	2153.3	-45.0	0.98	0.803030303030303
local-250k-ondemand	direct	frames_250k	ondemand	per-frame	transfer_us	median	wasm	ts	994.2	988.3	-5.8	0.994	0.6774891774891775
local-250k-ondemand	direct	frames_250k	ondemand	per-frame	transfer_us	p95	wasm	ts	1413.3	1376.7	-36.7	0.974	0.5476190476190477
local-250k-ondemand	direct	frames_250k	ondemand	per-frame	ask_to_complete_us	median	wasm	ts	2668.3	2635.0	-33.3	0.988	0.5562770562770563
local-250k-ondemand	direct	frames_250k	ondemand	per-frame	ask_to_complete_us	p95	wasm	ts	3430.8	3454.2	23.3	1.007	0.9393939393939394
local-250k-ondemand	direct	frames_250k	ondemand	per-frame	total_us	median	wasm	ts	2741.7	2685.0	-56.7	0.979	0.329004329004329
local-250k-ondemand	direct	frames_250k	ondemand	per-frame	total_us	p95	wasm	ts	3507.5	3508.3	0.8	1.0	1.0
local-250k-ondemand-shared	direct	frames_250k	ondemand	shared	deliver_us	median	wasm	ts	201.7	175.8	-25.8	0.872	0.0021645021645021645
local-250k-ondemand-shared	direct	frames_250k	ondemand	shared	deliver_us	p95	wasm	ts	311.7	254.2	-57.5	0.816	0.0021645021645021645
local-250k-ondemand-shared	direct	frames_250k	ondemand	shared	serve_plus_path_us	median	wasm	ts	1010.0	1014.2	4.2	1.004	0.8636363636363636
local-250k-ondemand-shared	direct	frames_250k	ondemand	shared	serve_plus_path_us	p95	wasm	ts	1618.3	1562.5	-55.8	0.965	0.5367965367965368
local-250k-ondemand-shared	direct	frames_250k	ondemand	shared	transfer_us	median	wasm	ts	855.8	835.0	-20.8	0.976	0.13852813852813853
local-250k-ondemand-shared	direct	frames_250k	ondemand	shared	transfer_us	p95	wasm	ts	1253.3	1222.5	-30.8	0.975	0.4675324675324675
local-250k-ondemand-shared	direct	frames_250k	ondemand	shared	ask_to_complete_us	median	wasm	ts	2084.2	2030.8	-53.3	0.974	0.15151515151515152
local-250k-ondemand-shared	direct	frames_250k	ondemand	shared	ask_to_complete_us	p95	wasm	ts	2824.2	2675.0	-149.2	0.947	0.13852813852813853
local-250k-ondemand-shared	direct	frames_250k	ondemand	shared	total_us	median	wasm	ts	2157.5	2080.0	-77.5	0.964	0.0670995670995671
local-250k-ondemand-shared	direct	frames_250k	ondemand	shared	total_us	p95	wasm	ts	2918.3	2728.3	-190.0	0.935	0.049783549783549784
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	deliver_us	median	wasm	ts	187.5	130.0	-57.5	0.693	0.0021645021645021645
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	deliver_us	p95	wasm	ts	279.2	190.8	-88.3	0.684	0.0021645021645021645
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	serve_plus_path_us	median	wasm	ts	1306.7	1246.7	-60.0	0.954	0.4458874458874459
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	serve_plus_path_us	p95	wasm	ts	1720.8	1606.7	-114.2	0.934	0.1645021645021645
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	transfer_us	median	wasm	ts	125.0	72.5	-52.5	0.58	0.6666666666666666
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	transfer_us	p95	wasm	ts	130.0	72.5	-57.5	0.558	0.5333333333333333
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	ask_to_complete_us	median	wasm	ts	1503.3	1380.0	-123.3	0.918	0.16233766233766234
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	ask_to_complete_us	p95	wasm	ts	1959.2	1759.2	-200.0	0.898	0.04329004329004329
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	total_us	median	wasm	ts	1576.7	1430.0	-146.7	0.907	0.09956709956709957
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	total_us	p95	wasm	ts	2036.7	1815.8	-220.8	0.892	0.03463203463203463
shaped150-250k-ondemand	shim	frames_250k	ondemand	per-frame	deliver_us	median	wasm	ts	392.5	342.5	-50.0	0.873	0.02857142857142857
shaped150-250k-ondemand	shim	frames_250k	ondemand	per-frame	deliver_us	p95	wasm	ts	513.8	432.5	-81.2	0.842	0.02857142857142857
shaped150-250k-ondemand	shim	frames_250k	ondemand	per-frame	serve_plus_path_us	median	wasm	ts	154287.5	154256.2	-31.2	1.0	0.34285714285714286
shaped150-250k-ondemand	shim	frames_250k	ondemand	per-frame	serve_plus_path_us	p95	wasm	ts	155117.5	154918.8	-198.8	0.999	0.2571428571428571
shaped150-250k-ondemand	shim	frames_250k	ondemand	per-frame	transfer_us	median	wasm	ts	201583.8	201696.2	112.5	1.001	0.05714285714285714
shaped150-250k-ondemand	shim	frames_250k	ondemand	per-frame	transfer_us	p95	wasm	ts	202518.8	202656.2	137.5	1.001	0.22857142857142856
