provider	algorithm	payload_bytes	gbps	cpu_s_per_gb
ring	aes-128-gcm	1200	47.93	0.167
ring	aes-256-gcm	1200	41.85	0.191
ring	chacha20-poly1305	1200	11.46	0.698
ring	aes-128-gcm	1452	42.50	0.188
ring	aes-256-gcm	1452	37.36	0.214
ring	chacha20-poly1305	1452	11.65	0.687
ring	aes-128-gcm	14520	71.51	0.112
ring	aes-256-gcm	14520	60.52	0.132
ring	chacha20-poly1305	14520	15.06	0.531
aws-lc-rs	aes-128-gcm	1200	55.55	0.144
aws-lc-rs	aes-256-gcm	1200	47.33	0.169
aws-lc-rs	chacha20-poly1305	1200	11.56	0.692
aws-lc-rs	aes-128-gcm	1452	56.88	0.141
aws-lc-rs	aes-256-gcm	1452	49.28	0.162
aws-lc-rs	chacha20-poly1305	1452	11.59	0.690
aws-lc-rs	aes-128-gcm	14520	110.07	0.073
aws-lc-rs	aes-256-gcm	14520	94.94	0.084
aws-lc-rs	chacha20-poly1305	14520	14.72	0.543
