arm	fixture	clients	depth	run	agg_mbps	srv_cpu_s	srv_cores	bytes	cpu_s_per_gb
F_seg10	frames_250k	2	16	1	4108.33	5.090	1.66	3085799372	1.649
F_seg32	frames_250k	2	16	1	4804.33	4.700	1.53	3606057696	1.303
F_seg44	frames_250k	2	16	1	4715.00	4.460	1.46	3539806636	1.260
F32_seg10	frames_32k	2	16	1	13805.67	4.210	1.37	1325509668	3.176
F32_seg32	frames_32k	2	16	1	14399.33	3.730	1.22	1382508792	2.698
F32_seg44	frames_32k	2	16	1	14332.67	3.710	1.21	1376204004	2.696
F_seg10	frames_250k	2	16	1	4048.33	5.100	1.67	3040298644	1.677
F_seg32	frames_250k	2	16	1	4947.33	4.770	1.56	3714559432	1.284
F_seg44	frames_250k	2	16	1	4719.00	4.470	1.46	3543306692	1.262
F32_seg10	frames_32k	2	16	1	13788.33	4.140	1.35	1323845460	3.127
F32_seg32	frames_32k	2	16	1	14393.67	3.760	1.23	1382092740	2.721
F32_seg44	frames_32k	2	16	1	14297.67	3.690	1.20	1373035608	2.687
F_seg10	frames_250k	2	16	1	3972.33	5.110	1.67	2983547736	1.713
F_seg32	frames_250k	2	16	1	4463.00	4.630	1.51	3351803628	1.381
F_seg44	frames_250k	2	16	1	4766.00	4.560	1.49	3579307268	1.274
F32_seg10	frames_32k	2	16	1	13481.67	4.300	1.40	1294401780	3.322
F32_seg32	frames_32k	2	16	1	14309.67	3.740	1.22	1373899716	2.722
F32_seg44	frames_32k	2	16	1	14417.33	3.670	1.20	1384301016	2.651
F_seg10	frames_250k	2	16	1	4008.33	5.040	1.65	3011798188	1.673
F_seg32	frames_250k	2	16	1	4698.67	4.740	1.55	3527306436	1.344
F_seg44	frames_250k	2	16	1	4583.67	4.440	1.45	3441305060	1.290
F32_seg10	frames_32k	2	16	1	13531.67	4.210	1.37	1299266388	3.240
F32_seg32	frames_32k	2	16	1	14289.33	3.730	1.22	1371947472	2.719
F32_seg44	frames_32k	2	16	1	14322.00	3.740	1.22	1375211880	2.720
