arm	fixture	stream_mode	depth	run	mbps	frames	bytes	srv_cpu_s	srv_rss_kb	cpu_s_per_gb
B_ring_copy	frames_250k	shared	4	1	1333.33	4000	1000016000	3.640	29608	3.640
B_ring_copy	frames_250k	shared	4	2	1358.33	4075	1018766300	3.740	28996	3.670
B_ring_copy	frames_250k	shared	4	3	1318.67	3956	989015824	3.670	28880	3.710
B_ring_copy	frames_250k	shared	16	1	1608.67	4826	1206519304	4.170	30944	3.448
B_ring_copy	frames_250k	shared	16	2	1528.33	4585	1146268340	4.200	30684	3.657
B_ring_copy	frames_250k	shared	16	3	1618.67	4856	1214019424	4.150	31376	3.413
B_ring_chunked	frames_250k	shared	4	1	1374.67	4124	1031016496	3.350	27432	3.247
B_ring_chunked	frames_250k	shared	4	2	1381.67	4145	1036266580	3.360	27464	3.242
B_ring_chunked	frames_250k	shared	4	3	1380.67	4142	1035516568	3.360	27492	3.244
B_ring_chunked	frames_250k	shared	16	1	1867.67	5603	1400772412	4.160	27724	2.966
B_ring_chunked	frames_250k	shared	16	2	1898.67	5696	1424022784	4.120	27728	2.890
B_ring_chunked	frames_250k	shared	16	3	1948.33	5845	1461273380	4.140	27752	2.829
C_awslc_copy	frames_250k	shared	4	1	1311.00	3933	983265732	3.570	31140	3.630
C_awslc_copy	frames_250k	shared	4	2	1344.00	4032	1008016128	3.600	29772	3.570
C_awslc_copy	frames_250k	shared	4	3	1328.00	3984	996015936	3.470	31944	3.484
C_awslc_copy	frames_250k	shared	16	1	1617.33	4852	1213019408	4.210	31784	3.464
C_awslc_copy	frames_250k	shared	16	2	1615.00	4845	1211269380	4.210	32324	3.470
C_awslc_copy	frames_250k	shared	16	3	1589.33	4768	1192019072	4.200	31992	3.517
C_awslc_chunked	frames_250k	shared	4	1	1379.67	4139	1034766556	3.200	28844	3.092
C_awslc_chunked	frames_250k	shared	4	2	1391.00	4173	1043266692	3.310	28844	3.171
C_awslc_chunked	frames_250k	shared	4	3	1375.67	4127	1031766508	3.210	28984	3.111
C_awslc_chunked	frames_250k	shared	16	1	1899.67	5699	1424772796	4.110	29384	2.880
C_awslc_chunked	frames_250k	shared	16	2	1974.00	5922	1480523688	4.080	29200	2.751
C_awslc_chunked	frames_250k	shared	16	3	1942.33	5827	1456773308	4.120	29112	2.824
B_ring_copy	frames_32k	shared	4	1	1843.67	5531	177014124	1.150	10316	6.497
B_ring_copy	frames_32k	shared	4	2	1829.00	5487	175605948	1.180	10340	6.720
B_ring_copy	frames_32k	shared	4	3	1812.00	5436	173973744	1.200	10364	6.898
B_ring_copy	frames_32k	shared	16	1	6314.00	18942	606219768	3.190	11252	5.260
B_ring_copy	frames_32k	shared	16	2	6340.00	19020	608716080	3.190	10832	5.241
B_ring_copy	frames_32k	shared	16	3	6284.00	18852	603339408	3.190	10968	5.286
B_ring_chunked	frames_32k	shared	4	1	1817.33	5452	174485808	1.140	9772	6.533
B_ring_chunked	frames_32k	shared	4	2	1805.33	5416	173333664	1.110	9832	6.404
B_ring_chunked	frames_32k	shared	4	3	1826.33	5479	175349916	1.200	9752	6.843
B_ring_chunked	frames_32k	shared	16	1	6326.33	18979	607403916	3.200	10424	5.266
B_ring_chunked	frames_32k	shared	16	2	6331.33	18994	607883976	3.140	10452	5.165
B_ring_chunked	frames_32k	shared	16	3	6399.33	19198	614412792	3.060	10420	4.980
C_awslc_copy	frames_32k	shared	4	1	1809.33	5428	173717712	1.200	12076	6.908
C_awslc_copy	frames_32k	shared	4	2	1813.33	5440	174101760	1.190	11884	6.835
C_awslc_copy	frames_32k	shared	4	3	1805.67	5417	173365668	1.200	11832	6.922
C_awslc_copy	frames_32k	shared	16	1	6314.67	18944	606283776	3.270	12680	5.393
C_awslc_copy	frames_32k	shared	16	2	6213.00	18639	596522556	3.220	12632	5.395
C_awslc_copy	frames_32k	shared	16	3	6304.67	18914	605323656	3.190	12900	5.270
C_awslc_chunked	frames_32k	shared	4	1	1821.00	5463	174837852	1.130	11276	6.463
C_awslc_chunked	frames_32k	shared	4	2	1845.00	5535	177142140	1.190	11288	6.718
