arm	fixture	clients	depth	run	agg_mbps	srv_cpu_s	srv_cores	bytes	cpu_s_per_gb
P_pf_true	frames_250k	2	16	1	2663.33	5.110	1.67	2001282020	2.553
P_pf_false	frames_250k	2	16	1	3067.67	4.830	1.58	2305786892	2.095
P_pf_true	frames_250k	2	16	1	2890.00	5.100	1.66	2172284756	2.348
P_pf_false	frames_250k	2	16	1	3165.67	4.840	1.58	2379038064	2.034
P_pf_true	frames_250k	2	16	1	2909.33	5.100	1.66	2187034992	2.332
P_pf_false	frames_250k	2	16	1	3164.00	4.870	1.59	2377288036	2.049
P_pf_true	frames_250k	2	16	1	2965.33	5.090	1.66	2228535656	2.284
P_pf_false	frames_250k	2	16	1	3186.33	4.840	1.58	2394038304	2.022
P32_pf_true	frames_32k	2	16	1	12398.33	4.820	1.57	1190548800	4.049
P32_pf_false	frames_32k	2	16	1	13755.00	3.480	1.14	1320645060	2.635
P32_pf_true	frames_32k	2	16	1	12425.00	4.870	1.58	1193141124	4.082
P32_pf_false	frames_32k	2	16	1	13418.67	3.550	1.16	1288353024	2.755
P32_pf_true	frames_32k	2	16	1	12043.33	4.990	1.63	1156464540	4.315
P32_pf_false	frames_32k	2	16	1	13296.33	3.640	1.19	1276831584	2.851
P32_pf_true	frames_32k	2	16	1	11836.33	5.100	1.66	1136718072	4.487
P32_pf_false	frames_32k	2	16	1	13070.33	3.660	1.19	1254972852	2.916
