arm	fixture	stream_mode	depth	run	mbps	frames	bytes	srv_cpu_s	srv_rss_kb	cpu_s_per_gb
I_copy	frames_250k	shared	16	1	1174.67	3524	881014096	4.290	29740	4.856
I_split	frames_250k	shared	16	1	1175.67	3527	881764108	4.170	29680	4.718
I_chunked	frames_250k	shared	16	1	1381.33	4144	1036016576	4.250	27556	4.094
I_copy	frames_250k	shared	16	1	1192.33	3577	894264308	4.290	30488	4.784
I_split	frames_250k	shared	16	1	1191.67	3575	893764300	4.150	29448	4.634
I_chunked	frames_250k	shared	16	1	1369.33	4108	1027016432	4.170	27644	4.050
I_copy	frames_250k	shared	16	1	1169.33	3508	877014032	4.250	30652	4.832
I_split	frames_250k	shared	16	1	1152.00	3456	864013824	4.120	29836	4.755
I_chunked	frames_250k	shared	16	1	1368.00	4104	1026016416	4.160	27652	4.048
I_copy	frames_250k	shared	16	1	1155.00	3465	866263860	4.240	30036	4.882
I_split	frames_250k	shared	16	1	1137.67	3413	853263652	4.130	29188	4.823
I_chunked	frames_250k	shared	16	1	1322.67	3968	992015872	4.200	27640	4.226
I_copy	frames_250k	shared	16	1	1185.67	3557	889264228	4.200	31132	4.711
I_split	frames_250k	shared	16	1	1154.67	3464	866013856	4.110	31040	4.729
I_chunked	frames_250k	shared	16	1	1363.33	4090	1022516360	4.190	27636	4.090
I_copy	frames_250k	shared	16	1	1147.67	3443	860763772	4.160	30356	4.816
I_split	frames_250k	shared	16	1	1216.00	3648	912014592	4.060	29952	4.441
I_chunked	frames_250k	shared	16	1	1484.00	4452	1113017808	4.130	27616	3.702
