arm	study	temp	trace	frames	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	stall_mean_ns	stall_max_ns	stall_samples	bytes_copied	cpu_user_us	cpu_sys_us	rss_delta_bytes	hop_p50_ns
mmap_naive	frames_32k.sbnd	cold	forward	80	555	2076	108461	17163	1359939	870835	870835	1	0	0	706	2600960	0
mmap_blocking_touch	frames_32k.sbnd	cold	forward	80	108461	11385	66500	20026	1695561	879487	1245715	2	0	0	1567	2514944	11186
pread_blocking	frames_32k.sbnd	cold	forward	80	98062	15582	51670	22829	1918471	990306	1482931	2	2560000	39	1790	94208	15519
mmap_willneed	frames_32k.sbnd	cold	forward	80	1723	2319	87074	13279	1054186	559638	559638	1	0	176	352	2498560	0
mmap_willneed_next	frames_32k.sbnd	cold	forward	80	1618	12893	37352	20164	1599383	1104992	1104992	1	0	0	781	2498560	0
mmap_blocking_ahead_2	frames_32k.sbnd	cold	forward	80	213167	11606	72861	20679	1851568	956729	1386287	2	0	0	1726	2498560	11582
mmap_naive	frames_32k.sbnd	cold	reverse	80	83953	1612	76463	22624	1874765	1380206	1380206	1	0	0	686	2498560	0
mmap_blocking_touch	frames_32k.sbnd	cold	reverse	80	176615	11650	93358	34047	2871575	811993	1439777	3	0	1561	0	2498560	11456
pread_blocking	frames_32k.sbnd	cold	reverse	80	174296	62435	79171	60406	4963079	705710	1522118	5	2560000	0	2800	0	62369
mmap_willneed	frames_32k.sbnd	cold	reverse	80	40419	34290	38203	32464	2611054	2117066	2117066	1	0	0	1027	2498560	0
mmap_willneed_next	frames_32k.sbnd	cold	reverse	80	44845	11178	278082	39154	3143595	2649693	2649693	1	0	0	852	2498560	0
mmap_blocking_ahead_2	frames_32k.sbnd	cold	reverse	80	204615	11747	103841	34052	2899830	820782	1406503	3	0	0	1606	2498560	11565
mmap_naive	frames_32k.sbnd	cold	random	80	105292	1735	111891	16034	1375249	881815	881815	1	0	0	629	2498560	0
mmap_blocking_touch	frames_32k.sbnd	cold	random	80	221196	11972	136146	27242	2377962	646550	940225	3	0	0	1548	2498560	11737
pread_blocking	frames_32k.sbnd	cold	random	80	109506	54536	279551	69851	5643427	617430	1161024	6	2560000	0	2386	0	54709
mmap_willneed	frames_32k.sbnd	cold	random	80	281707	38271	283717	51110	4324743	3831029	3831029	1	0	0	1082	2498560	0
mmap_willneed_next	frames_32k.sbnd	cold	random	80	57985	14633	38114	22233	1819268	1324834	1324834	1	0	0	910	2498560	0
mmap_blocking_ahead_2	frames_32k.sbnd	cold	random	80	443560	12072	356290	37312	3395381	607960	935544	4	0	0	1926	2498560	11832
mmap_naive	frames_32k.sbnd	warm	forward	80	290	52	145	69	8172	575457	575457	1	0	0	52	0	0
mmap_blocking_touch	frames_32k.sbnd	warm	forward	80	195488	10075	10805	10418	1023008	529357	559807	2	0	0	994	4096	9912
pread_blocking	frames_32k.sbnd	warm	forward	80	248905	12894	14888	13089	1298255	679433	855486	2	2560000	0	1274	0	12850
mmap_willneed	frames_32k.sbnd	warm	forward	80	2500	299	448	311	29733	593425	593425	1	0	0	61	0	0
mmap_willneed_next	frames_32k.sbnd	warm	forward	80	1520	523	632	530	46074	611143	611143	1	0	0	70	0	0
mmap_blocking_ahead_2	frames_32k.sbnd	warm	forward	80	192093	10338	14386	10718	1043635	553006	609491	2	0	0	981	0	10054
mmap_naive	frames_32k.sbnd	warm	reverse	80	320	63	130	66	8062	573987	573987	1	0	0	35	0	0
mmap_blocking_touch	frames_32k.sbnd	warm	reverse	80	81691	10058	13469	10156	889256	1450872	1450872	1	0	0	847	0	9810
pread_blocking	frames_32k.sbnd	warm	reverse	80	254150	12885	14822	13395	1327089	694944	889586	2	2560000	0	1298	0	12835
mmap_willneed	frames_32k.sbnd	warm	reverse	80	2192	301	408	307	29118	593578	593578	1	0	0	54	0	0
mmap_willneed_next	frames_32k.sbnd	warm	reverse	80	2806	563	638	565	50305	615080	615080	1	0	0	73	0	0
mmap_blocking_ahead_2	frames_32k.sbnd	warm	reverse	80	217235	9445	10703	9795	995741	499074	499074	1	0	112	785	0	9181
mmap_naive	frames_32k.sbnd	warm	random	80	319	61	154	71	8341	570459	570459	1	0	4	26	0	0
