arm	study	temp	trace	frames	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	stall_mean_ns	stall_max_ns	stall_samples	bytes_copied	cpu_user_us	cpu_sys_us	rss_delta_bytes	hop_p50_ns
mmap_naive	frames_32k.sbnd	cold	forward	80	489	1530	102707	16179	1282243	791485	791485	1	0	0	673	2596864	0
mmap_blocking_touch	frames_32k.sbnd	cold	forward	80	124530	10874	298955	42463	3485180	636718	907126	4	0	0	1630	2580480	10697
mmap_hybrid_mincore	frames_32k.sbnd	cold	forward	80	3091	1316	330051	73176	5787924	641386	1323560	6	0	0	1544	2158592	81987
mmap_dedicated_pool	frames_32k.sbnd	cold	forward	80	82669	11165	63208	19585	1634979	848627	1195728	2	0	0	1522	2498560	10941
pread_blocking	frames_32k.sbnd	cold	forward	80	276064	14564	73481	24649	2240812	600778	805792	3	2560000	1991	0	45056	14620
mmap_naive	frames_32k.sbnd	cold	reverse	80	78524	1636	67368	18823	1569268	1074216	1074216	1	0	102	511	2498560	0
mmap_blocking_touch	frames_32k.sbnd	cold	reverse	80	583242	11162	101767	30807	3023261	521012	588076	4	0	0	1612	2498560	10968
mmap_hybrid_mincore	frames_32k.sbnd	cold	reverse	80	503296	1063	102508	25563	2526406	695872	1071826	3	0	113	1080	2486272	74756
mmap_dedicated_pool	frames_32k.sbnd	cold	reverse	80	465749	10791	136497	38425	3506518	641836	1072483	4	0	0	1588	2498560	10563
pread_blocking	frames_32k.sbnd	cold	reverse	80	533859	61705	273642	71704	6211659	538957	748608	7	2560000	360	2521	4096	61648
mmap_naive	frames_32k.sbnd	cold	random	80	100318	1722	108708	15468	1325871	831160	831160	1	0	79	553	2498560	0
mmap_blocking_touch	frames_32k.sbnd	cold	random	80	532380	20159	185079	39361	3647539	677214	1204910	4	0	273	1906	2498560	20001
mmap_hybrid_mincore	frames_32k.sbnd	cold	random	80	396946	876	173972	25721	2432534	664413	995618	3	0	143	1006	1630208	100313
mmap_dedicated_pool	frames_32k.sbnd	cold	random	80	560438	11646	162334	33084	3179380	560965	742896	4	0	0	1747	2498560	11483
pread_blocking	frames_32k.sbnd	cold	random	80	291374	63152	128665	58179	4901979	692572	1399931	5	2560000	0	2873	0	63135
mmap_naive	frames_32k.sbnd	warm	forward	80	309	67	156	72	8683	574468	574468	1	0	0	40	0	0
mmap_blocking_touch	frames_32k.sbnd	warm	forward	80	68190	9507	10547	9681	839110	1397004	1397004	1	0	0	780	0	9277
mmap_hybrid_mincore	frames_32k.sbnd	warm	forward	80	3087	338	485	350	33905	594811	594811	1	0	0	58	0	0
mmap_dedicated_pool	frames_32k.sbnd	warm	forward	80	169527	8971	17342	9423	918446	1479993	1479993	1	0	0	679	0	8752
pread_blocking	frames_32k.sbnd	warm	forward	80	85625	12663	28308	13907	1204209	634184	769278	2	2560000	0	1167	0	12606
mmap_naive	frames_32k.sbnd	warm	reverse	80	214	66	138	67	8079	571231	571231	1	0	0	40	0	0
mmap_blocking_touch	frames_32k.sbnd	warm	reverse	80	194248	9841	11379	10144	1002008	531400	561081	2	0	0	966	0	9641
mmap_hybrid_mincore	frames_32k.sbnd	warm	reverse	80	2777	341	556	351	33781	594919	594919	1	0	0	55	0	0
mmap_dedicated_pool	frames_32k.sbnd	warm	reverse	80	146735	9790	10828	9955	937825	1497445	1497445	1	0	0	783	0	9548
pread_blocking	frames_32k.sbnd	warm	reverse	80	190973	12788	21825	13083	1244516	652073	806350	2	2560000	1174	0	0	12748
mmap_naive	frames_32k.sbnd	warm	random	80	162	53	155	68	8137	571034	571034	1	0	32	0	0	0
mmap_blocking_touch	frames_32k.sbnd	warm	random	80	208456	9137	9941	9249	945530	1503809	1503809	1	0	852	0	0	8921
mmap_hybrid_mincore	frames_32k.sbnd	warm	random	80	2698	333	545	348	33538	599577	599577	1	0	67	0	0	0
mmap_dedicated_pool	frames_32k.sbnd	warm	random	80	161275	8810	10470	9085	883493	1441300	1441300	1	0	647	0	0	8559
pread_blocking	frames_32k.sbnd	warm	random	80	201615	12240	21233	12710	1226021	642050	780086	2	2560000	1201	0	0	12194
mmap_naive	frames_250k.sbnd	cold	forward	80	113659	110087	163773	114050	9129098	8638414	8638414	1	0	0	3786	19939328	0
mmap_blocking_touch	frames_250k.sbnd	cold	forward	80	546864	156581	492423	176994	14535422	539812	811666	15	0	0	6718	19939328	156664
mmap_hybrid_mincore	frames_250k.sbnd	cold	forward	80	622623	165970	349080	170396	14088452	510063	660659	15	0	0	7250	19152896	163063
mmap_dedicated_pool	frames_250k.sbnd	cold	forward	80	355958	159253	459967	197325	15950387	563279	1505938	16	0	0	6530	19939328	159697
pread_blocking	frames_250k.sbnd	cold	forward	80	709601	253608	634825	233406	19169528	511484	669492	20	20000000	0	9045	217088	260360
mmap_naive	frames_250k.sbnd	cold	reverse	80	208805	175067	189874	174598	14007478	13517297	13517297	1	0	0	5247	19939328	0
mmap_blocking_touch	frames_250k.sbnd	cold	reverse	80	829931	205404	619449	219177	18149237	511096	949808	19	0	0	6748	19939328	205566
mmap_hybrid_mincore	frames_250k.sbnd	cold	reverse	80	1026102	255071	869102	400210	32647289	662512	1679792	29	0	888	7009	19939328	268670
mmap_dedicated_pool	frames_250k.sbnd	cold	reverse	80	270443	190293	243856	193566	15566989	539354	1027101	16	0	208	5696	19939328	190480
pread_blocking	frames_250k.sbnd	cold	reverse	80	610093	261819	558695	269308	21904006	543937	1240049	22	20000000	4649	7400	0	262060
mmap_naive	frames_250k.sbnd	cold	random	80	265743	134258	264425	123642	10038172	9546015	9546015	1	0	0	4868	19939328	0
