arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	34095	28842	87138	44434	14221451	2711	8114	1604924	5121	0	0	66914	485769	320
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	26161	17373	86331	31547	10102255	1614	7995	995500	5121	0	0	51294	498982	320
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	18276	16090	62059	27702	8867606	1548	7433	970543	5121	0	0	50011	202865	320
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	18935	16106	59705	27864	8919632	1560	8189	820109	5121	0	0	49430	295953	320
mmap_naive	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	18411	16149	56223	26582	8510536	1567	6392	802362	5121	0	0	49006	98322	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	419185	25488	82624	35448	11741681	368	4991	928280	8646	0	6244	47685	309528	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	449037	23858	82589	33416	11123011	361	5728	926503	8828	0	6350	47198	290786	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	225534	23621	67638	33850	11039234	358	5209	964340	9216	0	6107	47141	193106	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	239546	23720	54568	32228	10534722	362	5385	800008	8389	0	6231	47337	235402	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	142434	23681	57149	32041	10377929	365	6344	815505	8109	0	6267	46115	117270	320
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	21536	16479	62456	28870	9244304	1528	8924	798950	5121	0	0	50628	487693	320
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	20244	16586	60195	27647	8852449	1558	7402	797163	5121	0	0	49947	274072	320
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	21130	15652	56317	26695	8549138	1446	5789	912207	5121	0	0	49245	130210	320
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	22234	15819	71325	28010	8970859	1472	8359	796323	5121	0	0	49584	313972	320
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	21024	16478	76004	27962	8954014	1540	7173	802811	5121	0	0	51088	269357	320
pread_blocking	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	355730	60653	224345	73416	23839402	324	4286	865648	40685	80000000	41866	46997	210482	320
pread_blocking	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	135399	61871	230948	70826	22796001	325	3513	832140	39983	80000000	43710	47396	97575	320
pread_blocking	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	230778	59749	186064	66875	21629568	320	3887	866847	34140	80000000	39911	49158	192500	320
pread_blocking	frames_250k_live.sbnd	warm	forward	full	16384	4	320	320	135200	56966	101311	68785	22143890	339	5076	957118	34099	80000000	38725	47816	86873	320
pread_blocking	frames_250k_live.sbnd	warm	forward	full	16384	5	320	320	275344	61569	222488	72693	23528980	339	4620	867442	38568	80000000	42363	47937	217642	320
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	343903	187083	377022	189382	60774408	2488	117315	1117649	5121	0	0	197315	553486	320
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	520147	171639	375219	174824	56307652	2272	104476	1117315	5121	0	0	163680	633339	320
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	209774	167677	398603	168904	54107605	2299	100471	1208644	5121	0	0	133248	387159	320
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	488989	177467	383196	183345	58994287	2353	113531	1112611	5121	0	0	160807	598131	320
mmap_naive	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	537241	168761	381881	167898	54114101	2352	100965	1191867	5121	0	0	135245	641953	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	244396	235939	476507	252441	80793159	331	7551	1130530	142673	0	173152	42285	141882	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	508739	241226	500126	249946	80256947	322	3031	1204929	181055	0	181539	41988	239837	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	694524	207730	509625	223813	72106927	322	7053	1193523	151420	0	147855	42341	242035	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	323304	238365	427686	238924	76555226	338	7172	1100742	155444	0	178187	42084	111187	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	348833	221273	533283	238265	76375308	332	7588	1335346	133515	0	159050	41913	118787	320
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	653350	221412	493882	236851	76223947	322	7205	1245860	155461	0	163450	41625	138551	320
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	556642	219013	458324	240545	77306281	319	4866	1244741	166320	0	168489	43019	282157	320
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	413269	248539	600748	274263	87918895	337	3471	1079403	189260	0	191598	42616	192786	320
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	390247	219619	645551	253804	81369520	337	5391	1318415	166607	0	166847	44195	155600	320
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	298986	222279	595614	243942	78132268	337	7359	1225211	152481	0	160860	47273	201874	320
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	771412	126036	419120	148688	48296635	332	4736	1155624	74904	80000000	100860	47040	627195	320
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	637225	125523	427480	171274	55336694	337	2244	1129930	124259	80000000	105363	45685	131142	320
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	498863	122689	414707	153328	49478695	323	2622	1238885	110269	80000000	100237	43989	226232	320
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	410528	106570	446616	134617	43418381	323	2593	1130878	95182	80000000	87984	49725	167012	320
pread_blocking	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	501427	104572	402937	153255	49454829	322	2240	1203906	113388	80000000	86483	41543	201742	320
