arm	study	temp	trace	access	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	stall_mean_ns	stall_max_ns	stall_samples	bytes_copied	cpu_user_us	cpu_sys_us	rss_delta_bytes	hop_p50_ns
mmap_naive	frames_250k_live.sbnd	cold	forward	full	320	320	466572	157661	437977	178077	57293048	56811383	56811383	1	0	0	20055	80109568	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	320	320	895601	120716	560610	137013	44621883	515229	1146972	45	0	7974	11456	80027648	120507
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	full	320	320	549471	164074	634512	180527	58158545	539021	1107416	57	0	0	24150	75685888	161245
mmap_dedicated_pool	frames_250k_live.sbnd	cold	forward	full	320	320	793136	151043	387724	154972	50247538	506118	887432	51	0	0	22625	79949824	150879
pread_blocking	frames_250k_live.sbnd	cold	forward	full	320	320	831122	84931	339020	104089	34092769	504517	797096	35	80000000	0	28339	262144	84889
mmap_naive	frames_250k_live.sbnd	cold	reverse	full	320	320	872279	157855	609607	173286	56174674	55694550	55694550	1	0	0	17637	79945728	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	reverse	full	320	320	1071552	216954	248543	215767	69916968	514024	1312837	70	0	4044	20537	79941632	216718
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	reverse	full	320	320	840925	214604	242424	205191	66313246	505653	776860	67	0	40	24687	79941632	212273
mmap_dedicated_pool	frames_250k_live.sbnd	cold	reverse	full	320	320	528375	163091	229640	167778	54065395	502391	691832	55	0	0	19647	79941632	162919
pread_blocking	frames_250k_live.sbnd	cold	reverse	full	320	320	567270	257737	617297	269199	86510165	518353	1092667	86	80000000	4054	39119	4096	258025
mmap_naive	frames_250k_live.sbnd	cold	forward	prefix_4k	320	320	203	95818	276633	96016	30649550	30163083	30163083	1	0	0	9021	21458944	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	prefix_4k	320	320	229315	112497	278307	113769	36539496	516328	999619	37	0	0	12651	21458944	112228
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	prefix_4k	320	320	4680	109149	526663	127073	40557630	515131	1127155	41	0	20	13921	21458944	108155
mmap_dedicated_pool	frames_250k_live.sbnd	cold	forward	prefix_4k	320	320	46877	85579	401777	106538	34055166	503427	872995	35	0	0	9978	21458944	85321
pread_blocking	frames_250k_live.sbnd	cold	forward	prefix_4k	320	320	288965	40522	298603	50574	16484666	539858	1179449	17	1310720	4057	2884	0	40459
mmap_naive	frames_250k_live.sbnd	cold	reverse	prefix_4k	320	320	243248	96696	126366	100464	32310683	31823146	31823146	1	0	0	10592	21458944	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	reverse	prefix_4k	320	320	763821	82581	359641	95490	31245507	509675	748717	32	0	8175	2916	21458944	82322
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	reverse	prefix_4k	320	320	641647	108888	362852	113300	36801043	523430	1291324	37	0	0	12882	21467136	107910
mmap_dedicated_pool	frames_250k_live.sbnd	cold	reverse	prefix_4k	320	320	469720	84188	255521	92783	30094491	505150	661381	31	0	3774	6955	21458944	83947
pread_blocking	frames_250k_live.sbnd	cold	reverse	prefix_4k	320	320	184956	39794	299060	56658	18321367	520261	888478	19	1310720	44	6583	0	39737
mmap_naive	frames_250k_live.sbnd	cold	forward	prefix_64k	320	320	3932	211671	280132	130456	41638226	41152552	41152552	1	0	0	15277	38055936	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	prefix_64k	320	320	278954	183331	660936	144682	46459618	580029	1284851	44	0	3942	13931	38064128	183645
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	forward	prefix_64k	320	320	6266	230007	740877	156154	49837606	582958	1381332	47	0	132	17960	21204992	271198
mmap_dedicated_pool	frames_250k_live.sbnd	cold	forward	prefix_64k	320	320	49711	151692	615064	127921	40878015	575466	1324370	39	0	3652	10568	38064128	151415
pread_blocking	frames_250k_live.sbnd	cold	forward	prefix_64k	320	320	289822	96661	446761	113140	36443004	513711	939922	37	20971520	14	16969	0	96612
mmap_naive	frames_250k_live.sbnd	cold	reverse	prefix_64k	320	320	593356	195220	328351	198582	63961057	63477155	63477155	1	0	4192	15897	41869312	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	reverse	prefix_64k	320	320	1101656	197403	666435	201328	65344235	506173	879134	66	0	0	23111	41865216	197358
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	reverse	prefix_64k	320	320	613023	171562	631570	201454	64899900	547012	1460853	63	0	7879	14594	41811968	170260
mmap_dedicated_pool	frames_250k_live.sbnd	cold	reverse	prefix_64k	320	320	644939	218667	253220	204382	65867250	514141	1233525	66	0	129	22932	41865216	218541
pread_blocking	frames_250k_live.sbnd	cold	reverse	prefix_64k	320	320	770821	96600	287961	100541	32903565	529375	1395041	33	20971520	0	16143	0	96574
mmap_naive	frames_250k_live.sbnd	warm	forward	full	320	320	1791	1521	1961	1562	510588	1079029	1079029	1	0	544	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	320	320	219307	10448	21567	11372	3863894	731925	1426267	4	0	69	3268	0	10216
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	full	320	320	10046	397	693	420	154398	718146	718146	1	0	0	182	0	0
mmap_dedicated_pool	frames_250k_live.sbnd	warm	forward	full	320	320	156453	10041	10984	10041	3375715	609346	936926	4	0	0	3003	0	9825
