arm	fixture	rtt_ms	loss_pct	depth	run	p95_wait_ms	mean_wait_ms	mbps	peak_outstanding	asks_sent
S	frames_32k	60	0	1	1	266.11	156.12	0.000	1	64
S	frames_32k	60	0	1	2	263.95	155.89	0.000	1	64
S	frames_32k	60	0	1	3	269.99	163.06	0.000	1	64
Q	frames_32k	60	0	1	1	278.14	168.93	0.000	1	64
Q	frames_32k	60	0	1	2	263.13	156.64	0.000	1	64
Q	frames_32k	60	0	1	3	265.59	159.71	0.000	1	64
S	frames_32k	60	0	8	1	163.32	15.63	0.000	8	629
S	frames_32k	60	0	8	2	169.97	17.67	0.000	8	626
S	frames_32k	60	0	8	3	166.40	18.37	0.000	8	625
Q	frames_32k	60	0	8	1	165.27	16.46	0.000	8	631
Q	frames_32k	60	0	8	2	167.83	20.20	0.000	8	626
Q	frames_32k	60	0	8	3	172.32	19.96	0.000	8	625
S	frames_32k	60	0.5	8	1	8.99	20.57	0.000	8	618
S	frames_32k	60	0.5	8	2	406.55	70.58	0.000	8	482
S	frames_32k	60	0.5	8	3	0.00	17.63	0.000	8	614
Q	frames_32k	60	0.5	8	1	989.32	239.28	0.000	8	508
Q	frames_32k	60	0.5	8	2	413.95	123.11	0.000	8	439
Q	frames_32k	60	0.5	8	3	1200.13	305.96	0.000	8	503
S	frames_32k	60	2	8	1	2948.38	621.07	0.000	8	446
S	frames_32k	60	2	8	2	3292.55	738.52	0.000	8	424
S	frames_32k	60	2	8	3	3818.33	854.00	0.000	8	442
Q	frames_32k	60	2	8	1	2941.02	896.98	0.000	8	442
Q	frames_32k	60	2	8	2	1888.73	580.05	0.000	8	453
Q	frames_32k	60	2	8	3	2879.22	931.27	0.000	8	440
S	frames_32k	150	0	1	1	366.50	200.86	0.000	1	64
S	frames_32k	150	0	1	2	338.96	202.14	0.000	1	64
S	frames_32k	150	0	1	3	327.86	197.17	0.000	1	64
Q	frames_32k	150	0	1	1	340.22	206.54	0.000	1	64
Q	frames_32k	150	0	1	2	347.84	197.21	0.000	1	64
Q	frames_32k	150	0	1	3	347.92	196.77	0.000	1	64
S	frames_32k	150	0	12	1	380.17	70.63	0.000	12	869
S	frames_32k	150	0	12	2	381.30	69.26	0.000	12	872
S	frames_32k	150	0	12	3	380.15	72.35	0.000	12	873
Q	frames_32k	150	0	12	1	382.90	69.61	0.000	12	871
Q	frames_32k	150	0	12	2	386.53	72.97	0.000	12	854
Q	frames_32k	150	0	12	3	387.19	77.46	0.000	12	853
S	frames_32k	150	0.5	12	1	665.29	83.26	0.000	12	884
S	frames_32k	150	0.5	12	2	1185.11	184.75	0.000	12	698
S	frames_32k	150	0.5	12	3	838.47	191.85	0.000	12	732
Q	frames_32k	150	0.5	12	1	752.00	247.09	0.000	12	746
Q	frames_32k	150	0.5	12	2	379.42	72.68	0.000	12	756
Q	frames_32k	150	0.5	12	3	1245.71	304.79	0.000	12	733
S	frames_32k	150	2	12	1	4351.19	1131.69	0.000	12	695
S	frames_32k	150	2	12	2	6551.52	1411.55	0.000	12	683
S	frames_32k	150	2	12	3	3440.71	1034.96	0.000	12	685
Q	frames_32k	150	2	12	1	7218.84	1323.72	0.000	12	700
Q	frames_32k	150	2	12	2	5004.53	1262.21	0.000	12	685
Q	frames_32k	150	2	12	3	3212.98	566.14	0.000	12	709
