arm	fixture	rtt_ms	loss_pct	depth	run	miss_p95_wait_ms	miss_mean_wait_ms	p95_wait_ms	mean_wait_ms	cache_hit_rate	cache_misses	asks_sent	peak_outstanding
S	frames_32k	60	0	1	1	265.50	261.34	265.50	258.11	0.0123	80	81	1
S	frames_32k	60	0	1	2	264.90	260.14	264.90	256.92	0.0123	80	81	1
S	frames_32k	60	0	1	3	264.85	257.05	264.85	253.88	0.0123	80	81	1
S	frames_32k	60	0	1	4	265.28	260.22	265.28	257.00	0.0123	80	81	1
S	frames_32k	60	0	1	5	263.08	258.32	263.08	255.13	0.0123	80	81	1
Q	frames_32k	60	0	1	1	266.28	257.89	266.28	254.71	0.0123	80	81	1
Q	frames_32k	60	0	1	2	265.95	258.20	265.95	255.01	0.0123	80	81	1
Q	frames_32k	60	0	1	3	265.89	258.39	265.89	255.20	0.0123	80	81	1
Q	frames_32k	60	0	1	4	266.80	260.48	266.80	257.26	0.0123	80	81	1
Q	frames_32k	60	0	1	5	267.68	258.99	267.68	255.79	0.0123	80	81	1
S	frames_32k	60	0	4	1	175.56	75.25	135.21	69.68	0.0741	75	316	4
S	frames_32k	60	0	4	2	162.84	75.71	132.17	69.17	0.0864	74	315	4
S	frames_32k	60	0	4	3	153.15	93.58	132.81	72.78	0.2222	63	305	4
S	frames_32k	60	0	4	4	168.64	74.83	129.70	70.21	0.0617	76	315	4
S	frames_32k	60	0	4	5	155.01	74.83	131.33	69.29	0.0741	75	316	4
Q	frames_32k	60	0	4	1	167.11	91.45	133.47	73.39	0.1975	65	305	4
Q	frames_32k	60	0	4	2	134.61	84.34	134.12	71.84	0.1481	69	310	4
Q	frames_32k	60	0	4	3	155.22	94.08	137.53	73.17	0.2222	63	305	4
Q	frames_32k	60	0	4	4	156.53	89.70	134.18	73.09	0.1852	66	307	4
Q	frames_32k	60	0	4	5	172.48	92.69	135.91	73.24	0.2099	64	305	4
S	frames_32k	60	0.5	4	1	262.70	92.18	250.12	70.56	0.2346	62	306	4
S	frames_32k	60	0.5	4	2	155.99	95.77	149.41	73.30	0.2346	62	304	4
S	frames_32k	60	0.5	4	3	392.10	213.04	354.76	197.26	0.0741	75	313	4
S	frames_32k	60	0.5	4	4	170.01	95.43	166.12	70.69	0.2593	60	303	4
S	frames_32k	60	0.5	4	5	343.71	164.08	323.03	145.84	0.1111	72	303	4
S	frames_32k	60	0.5	4	6	442.20	231.72	414.48	205.98	0.1111	72	305	4
S	frames_32k	60	0.5	4	7	365.76	229.84	350.53	224.16	0.0247	79	315	4
S	frames_32k	60	0.5	4	8	225.32	102.90	189.82	80.03	0.2222	63	302	4
S	frames_32k	60	0.5	4	9	172.82	97.41	168.23	75.77	0.2222	63	304	4
S	frames_32k	60	0.5	4	10	251.16	96.18	245.48	71.24	0.2593	60	305	4
Q	frames_32k	60	0.5	4	1	163.32	90.30	147.57	78.04	0.1358	70	307	4
Q	frames_32k	60	0.5	4	2	167.59	84.11	156.98	71.65	0.1481	69	311	4
Q	frames_32k	60	0.5	4	3	232.29	114.05	216.94	105.60	0.0741	75	316	4
Q	frames_32k	60	0.5	4	4	164.47	84.95	131.96	72.36	0.1481	69	306	4
Q	frames_32k	60	0.5	4	5	158.17	86.75	151.94	72.83	0.1605	68	310	4
Q	frames_32k	60	0.5	4	6	304.72	160.51	285.99	146.64	0.0864	74	312	4
Q	frames_32k	60	0.5	4	7	166.89	84.04	135.40	71.59	0.1481	69	309	4
Q	frames_32k	60	0.5	4	8	154.92	90.08	138.67	72.29	0.1975	65	306	4
Q	frames_32k	60	0.5	4	9	173.62	91.09	138.18	73.10	0.1975	65	307	4
Q	frames_32k	60	0.5	4	10	161.48	96.32	152.97	76.11	0.2099	64	306	4
S	frames_32k	60	2	4	1	1250.66	532.79	1180.84	499.90	0.0617	76	312	4
S	frames_32k	60	2	4	2	1773.86	692.86	1250.54	675.75	0.0247	79	301	4
S	frames_32k	60	2	4	3	1251.38	330.08	857.79	281.18	0.1481	69	311	4
S	frames_32k	60	2	4	4	1064.87	435.61	1061.98	392.59	0.0988	73	295	4
S	frames_32k	60	2	4	5	1374.36	722.66	1311.93	704.82	0.0247	79	295	4
S	frames_32k	60	2	4	6	1741.25	567.13	1344.39	525.12	0.0741	75	309	4
S	frames_32k	60	2	4	7	2033.15	936.95	1948.05	913.82	0.0247	79	301	4
S	frames_32k	60	2	4	8	1059.78	506.32	1053.18	456.31	0.0988	73	297	4
S	frames_32k	60	2	4	9	1375.50	522.36	1117.10	509.46	0.0247	79	307	4
S	frames_32k	60	2	4	10	1439.96	639.44	1315.61	615.75	0.0370	78	299	4
Q	frames_32k	60	2	4	1	852.39	466.36	826.43	449.09	0.0370	78	317	4
Q	frames_32k	60	2	4	2	1245.03	594.21	1132.71	579.53	0.0247	79	300	4
Q	frames_32k	60	2	4	3	1575.61	641.96	1570.63	618.18	0.0370	78	306	4
Q	frames_32k	60	2	4	4	1465.54	513.63	1253.41	475.58	0.0741	75	309	4
Q	frames_32k	60	2	4	5	1597.67	759.38	1431.30	740.63	0.0247	79	301	4
Q	frames_32k	60	2	4	6	851.51	305.70	838.99	275.50	0.0988	73	305	4
Q	frames_32k	60	2	4	7	1387.35	632.84	1311.24	617.22	0.0247	79	300	4
Q	frames_32k	60	2	4	8	1038.31	463.59	978.82	434.98	0.0617	76	318	4
Q	frames_32k	60	2	4	9	1560.18	846.26	1457.42	825.36	0.0247	79	301	4
Q	frames_32k	60	2	4	10	1400.85	554.11	1264.64	519.91	0.0617	76	307	4
S	frames_32k	150	0	1	1	325.69	326.63	325.69	322.60	0.0123	80	81	1
S	frames_32k	150	0	1	2	326.55	325.91	326.55	321.89	0.0123	80	81	1
S	frames_32k	150	0	1	3	325.71	326.71	325.71	322.67	0.0123	80	81	1
S	frames_32k	150	0	1	4	352.45	326.53	352.45	322.50	0.0123	80	81	1
S	frames_32k	150	0	1	5	324.04	325.37	324.04	321.36	0.0123	80	81	1
Q	frames_32k	150	0	1	1	326.51	328.13	326.51	324.08	0.0123	80	81	1
Q	frames_32k	150	0	1	2	325.10	327.38	325.10	323.34	0.0123	80	81	1
Q	frames_32k	150	0	1	3	325.30	328.00	325.30	323.95	0.0123	80	81	1
Q	frames_32k	150	0	1	4	325.56	327.47	325.56	323.43	0.0123	80	81	1
Q	frames_32k	150	0	1	5	326.01	328.11	326.01	324.06	0.0123	80	81	1
S	frames_32k	150	0	7	1	249.52	134.59	180.17	126.29	0.0617	76	530	7
S	frames_32k	150	0	7	2	241.41	134.20	178.23	125.92	0.0617	76	528	7
S	frames_32k	150	0	7	3	144.14	135.44	143.28	125.41	0.0741	75	528	7
S	frames_32k	150	0	7	4	238.20	135.68	238.17	125.63	0.0741	75	530	7
S	frames_32k	150	0	7	5	143.17	135.31	142.61	125.28	0.0741	75	528	7
Q	frames_32k	150	0	7	1	211.64	136.90	156.06	123.38	0.0988	73	528	7
Q	frames_32k	150	0	7	2	151.89	134.00	148.16	125.72	0.0617	76	528	7
Q	frames_32k	150	0	7	3	178.26	133.04	146.51	126.47	0.0494	77	528	7
Q	frames_32k	150	0	7	4	175.33	132.93	148.80	126.37	0.0494	77	530	7
Q	frames_32k	150	0	7	5	176.19	134.74	150.98	126.43	0.0617	76	529	7
S	frames_32k	150	0.5	7	1	834.57	431.50	793.58	404.86	0.0617	76	546	7
S	frames_32k	150	0.5	7	2	816.18	331.54	738.11	286.52	0.1358	70	539	7
S	frames_32k	150	0.5	7	3	507.54	161.61	490.02	123.70	0.2346	62	531	7
S	frames_32k	150	0.5	7	4	519.25	211.44	513.01	164.45	0.2222	63	528	7
S	frames_32k	150	0.5	7	5	1310.94	552.74	1229.83	525.45	0.0494	77	539	7
S	frames_32k	150	0.5	7	6	502.24	162.94	486.02	124.72	0.2346	62	532	7
S	frames_32k	150	0.5	7	7	807.70	325.23	794.57	281.06	0.1358	70	538	7
S	frames_32k	150	0.5	7	8	659.18	172.58	585.44	127.84	0.2593	60	529	7
S	frames_32k	150	0.5	7	9	710.70	319.41	706.68	276.03	0.1358	70	535	7
S	frames_32k	150	0.5	7	10	659.42	161.90	408.85	117.93	0.2716	59	528	7
Q	frames_32k	150	0.5	7	1	862.75	360.23	814.40	324.65	0.0988	73	530	7
Q	frames_32k	150	0.5	7	2	373.86	159.34	357.45	139.67	0.1235	71	528	7
Q	frames_32k	150	0.5	7	3	464.32	244.48	442.18	223.36	0.0864	74	540	7
Q	frames_32k	150	0.5	7	4	534.32	291.19	529.03	276.81	0.0494	77	546	7
Q	frames_32k	150	0.5	7	5	1051.01	324.96	949.27	304.90	0.0617	76	533	7
