arm	rtt_label_ms	rtt_measured_ms	depth	run	miss_p95_wait_ms	asks_sent	step_loop_ms
Q	150	150.30	1	1	246.106696	80	17475.785603
Q	150	150.30	1	2	245.799925	80	17635.615244
Q	150	150.30	1	3	249.206872	80	17550.586087
Q	150	150.30	1	4	248.166457	80	17526.190461
Q	150	150.30	1	5	248.269501	80	17673.005841
Q	60	60.28	1	1	109.222152	80	8156.581477
Q	60	60.28	1	2	109.292756	80	8117.301555
Q	60	60.28	1	3	109.120990	80	8084.802990
Q	60	60.28	1	4	111.088638	80	8100.390830
Q	60	60.28	1	5	109.047802	80	8089.033281
S	150	150.30	1	1	242.608719	80	17833.947640
S	150	150.30	1	2	245.887643	80	17763.381739
S	150	150.30	1	3	303.144763	80	19626.309043
S	150	150.30	1	4	299.184627	80	18162.302807
S	150	150.30	1	5	248.122818	80	17774.377987
S	60	60.28	1	1	109.085433	80	8169.248932
S	60	60.28	1	2	110.880154	80	8195.102787
S	60	60.28	1	3	110.028115	80	8172.967670
S	60	60.28	1	4	108.978421	80	8198.424495
S	60	60.28	1	5	108.769256	80	8135.138192
