arm	rtt_label_ms	loss_pct	depth	run	f_cell_fps	frames_on_wire	step_loop_ms	asks_sent	cache_misses	miss_p95_wait_ms	role
S	60	0	4	1	33.865995	80	2362.252	80	80	30.200	pilot
S	60	0	4	2	33.895805	80	2360.174	80	80	30.051	pilot
S	60	0	4	3	33.893104	80	2360.362	80	80	29.159	pilot
S	60	0.5	4	1	32.221882	80	2482.785	80	75	92.971	pilot
S	60	0.5	4	2	12.516055	80	6391.790	80	78	141.166	pilot
S	60	0.5	4	3	32.168069	80	2486.938	80	74	100.970	pilot
S	60	2	4	1	9.650476	80	8289.747	80	80	157.713	pilot
S	60	2	4	2	31.804190	80	2515.392	80	74	95.591	pilot
S	60	2	4	3	31.559026	80	2534.933	80	74	98.817	pilot
S	150	0	7	1	28.446111	80	2812.335	80	80	47.215	pilot
S	150	0	7	2	28.456955	80	2811.264	80	80	48.561	pilot
S	150	0	7	3	28.457100	80	2811.249	80	80	48.812	pilot
S	150	0.5	7	1	26.555225	80	3012.590	80	70	176.638	pilot
S	150	0.5	7	2	28.353694	80	2821.502	80	80	46.949	pilot
S	150	0.5	7	3	7.917286	80	10104.472	80	77	325.585	pilot
