# DIRECTIONAL — NOT A DECISION
order_index	ts_iso	arm	rtt_label_ms	loss_pct	depth	run	regime	step_interval_ms	miss_p95_wait_ms	miss_mean_wait_ms	cache_misses	tail_at_p95	asks_sent	peak_outstanding	step_loop_ms	bytes_on_wire	frames_on_wire	wait_h1_median_ms	wait_h2_median_ms	cell_label	protocol_sha	cadence_sha	server_sha
1	2026-09-05T19:52:37+00:00	Q	60	0	4	1	clean	31	34.406893	29.165203	60	4	160	4	4930.653706	5120640	160	26.102116	0.000000	null	b5c7319bddc6da31036fc54179d970735b2a3f88	4e65ffa7fb2bfc3b05770f8366feda323643e5c6e02ae80192ef7a96834036a6	11a1f4ecd5157e66c086b99290d8544a7dd8550711994869dee99cae02cc61a4
2	2026-09-05T19:52:50+00:00	P	60	0	4	1	clean	31	64.687593	34.415788	104	6	160	4	4930.024290	5120640	160	27.021653	0.000000	null	b5c7319bddc6da31036fc54179d970735b2a3f88	4e65ffa7fb2bfc3b05770f8366feda323643e5c6e02ae80192ef7a96834036a6	11a1f4ecd5157e66c086b99290d8544a7dd8550711994869dee99cae02cc61a4
3	2026-09-05T19:53:04+00:00	S	60	0	4	1	clean	31	29.119165	27.806027	60	4	160	4	4930.912034	5120640	160	25.904292	0.000000	null	b5c7319bddc6da31036fc54179d970735b2a3f88	4e65ffa7fb2bfc3b05770f8366feda323643e5c6e02ae80192ef7a96834036a6	11a1f4ecd5157e66c086b99290d8544a7dd8550711994869dee99cae02cc61a4
4	2026-09-05T19:53:18+00:00	S	60	0	4	2	clean	31	45.740171	28.961054	57	3	160	4	4930.606640	5120640	160	25.953245	0.000000	null	b5c7319bddc6da31036fc54179d970735b2a3f88	4e65ffa7fb2bfc3b05770f8366feda323643e5c6e02ae80192ef7a96834036a6	11a1f4ecd5157e66c086b99290d8544a7dd8550711994869dee99cae02cc61a4
5	2026-09-05T19:53:33+00:00	P	60	0	4	2	clean	31	60.740547	32.217437	81	5	160	4	4930.571052	5120640	160	27.044577	0.000000	null	b5c7319bddc6da31036fc54179d970735b2a3f88	4e65ffa7fb2bfc3b05770f8366feda323643e5c6e02ae80192ef7a96834036a6	11a1f4ecd5157e66c086b99290d8544a7dd8550711994869dee99cae02cc61a4
6	2026-09-05T19:53:58+00:00	Q	60	0	4	2	clean	31	29.038322	27.371035	61	4	160	4	4929.602511	5120640	160	26.064555	0.000000	null	b5c7319bddc6da31036fc54179d970735b2a3f88	4e65ffa7fb2bfc3b05770f8366feda323643e5c6e02ae80192ef7a96834036a6	11a1f4ecd5157e66c086b99290d8544a7dd8550711994869dee99cae02cc61a4
7	2026-09-05T19:54:11+00:00	P	60	0	4	3	clean	31	64.466866	35.238139	100	6	161	4	4929.951131	5152644	161	26.924960	2.422586	null	b5c7319bddc6da31036fc54179d970735b2a3f88	4e65ffa7fb2bfc3b05770f8366feda323643e5c6e02ae80192ef7a96834036a6	11a1f4ecd5157e66c086b99290d8544a7dd8550711994869dee99cae02cc61a4
8	2026-09-05T19:54:25+00:00	Q	60	0	4	3	clean	31	41.945764	28.729778	58	3	160	4	4929.516632	5120640	160	26.097236	0.000000	null	b5c7319bddc6da31036fc54179d970735b2a3f88	4e65ffa7fb2bfc3b05770f8366feda323643e5c6e02ae80192ef7a96834036a6	11a1f4ecd5157e66c086b99290d8544a7dd8550711994869dee99cae02cc61a4
9	2026-09-05T19:54:39+00:00	S	60	0	4	3	clean	31	43.081529	28.292415	59	3	160	4	4930.046141	5120640	160	25.056772	0.000000	null	b5c7319bddc6da31036fc54179d970735b2a3f88	4e65ffa7fb2bfc3b05770f8366feda323643e5c6e02ae80192ef7a96834036a6	11a1f4ecd5157e66c086b99290d8544a7dd8550711994869dee99cae02cc61a4
10	2026-09-05T19:54:52+00:00	P	60	0	4	4	clean	31	64.225439	34.408044	90	5	160	4	4929.862072	5120640	160	27.058523	0.000000	null	b5c7319bddc6da31036fc54179d970735b2a3f88	4e65ffa7fb2bfc3b05770f8366feda323643e5c6e02ae80192ef7a96834036a6	11a1f4ecd5157e66c086b99290d8544a7dd8550711994869dee99cae02cc61a4
11	2026-09-05T19:55:05+00:00	S	60	0	4	4	clean	31	29.864903	27.788350	61	4	160	4	4930.594145	5120640	160	25.936884	0.000000	null	b5c7319bddc6da31036fc54179d970735b2a3f88	4e65ffa7fb2bfc3b05770f8366feda323643e5c6e02ae80192ef7a96834036a6	11a1f4ecd5157e66c086b99290d8544a7dd8550711994869dee99cae02cc61a4
