arm	rtt_ms	loss_pct	run	p95_wait_ms	mean_wait_ms	bytes_on_wire	asks_sent	d_min_observed	d_max_observed	peak_outstanding	wait_samples	stream_mode
control	20	0	1	1521.190134	1005.4533438487397	3808476	119	0	0	58	119	shared
control	20	0	2	1428.487461	922.2589647731094	3808476	119	0	0	55	119	shared
control	20	0	3	1472.832893	964.6681299663867	3808476	119	0	0	57	119	shared
fixed	20	0	1	151.318144	76.10536894166667	7584948	239	2	2	2	120	shared
fixed	20	0	2	116.071128	74.50116240833331	7584948	239	2	2	2	120	shared
fixed	20	0	3	137.161414	74.14741693333335	7584948	239	2	2	2	120	shared
dynamic	20	0	1	3783.797352	1561.741257066667	37476684	1187	2	16	16	120	shared
dynamic	20	0	2	3781.181043	1562.3909383916662	37476684	1187	2	16	16	120	shared
dynamic	20	0	3	3779.612018	1561.6661636750002	37476684	1187	2	16	16	120	shared
control	20	0.5	1	1513.4316669999998	1004.320144504202	3808476	119	0	0	58	119	shared
control	20	0.5	2	1631.625879	972.8960323109251	3808476	119	0	0	67	119	shared
control	20	0.5	3	1444.328188	941.3538375042015	3808476	119	0	0	56	119	shared
fixed	20	0.5	1	488.183223	217.97214	7584948	239	2	2	2	120	shared
fixed	20	0.5	2	125.34024199999999	77.40891295833333	7552944	238	2	2	2	120	shared
fixed	20	0.5	3	130.165503	81.50930990000002	7552944	238	2	2	2	120	shared
dynamic	20	0.5	1	9439.772272999999	2806.001651716666	35044380	1111	2	16	16	120	shared
dynamic	20	0.5	2	3913.374974	1413.0348218666666	38820852	1229	2	16	16	120	shared
dynamic	20	0.5	3	8825.37934	2504.5570066166665	32516064	1032	2	16	16	120	shared
control	60	0	1	1557.56654	1047.4831980672272	3808476	119	0	0	60	119	shared
control	60	0	2	1563.023974	1049.9529147563023	3808476	119	0	0	60	119	shared
control	60	0	3	1636.095611	1115.235899235294	3808476	119	0	0	63	119	shared
fixed	60	0	1	252.170301	161.6973473583333	11361420	359	4	4	4	120	shared
fixed	60	0	2	252.57699	161.7090431750001	11361420	359	4	4	4	120	shared
fixed	60	0	3	251.77566499999998	162.3936522833333	11361420	359	4	4	4	120	shared
dynamic	60	0	1	3457.241216	1391.0788592249999	41061132	1299	4	16	16	120	shared
dynamic	60	0	2	3456.395403	1176.7654223666661	37732716	1195	4	16	16	120	shared
dynamic	60	0	3	3458.272145	1396.7143294833334	41221152	1304	4	16	16	120	shared
control	60	0.5	1	1557.3954800000001	1045.617535117647	3808476	119	0	0	60	119	shared
control	60	0.5	2	1882.19929	1224.64148697479	3808476	119	0	0	60	119	shared
control	60	0.5	3	11753.148382	9300.95642964706	3808476	119	0	0	78	119	shared
fixed	60	0.5	1	424.20498899999996	165.72012031666674	12193524	385	4	4	4	120	shared
fixed	60	0.5	2	289.030385	161.4399119583334	12193524	385	4	4	4	120	shared
fixed	60	0.5	3	833.130998	326.26660254166666	13729716	433	4	4	4	120	shared
dynamic	60	0.5	1	11945.875076	4379.197314849998	42245280	1336	4	16	16	120	shared
dynamic	60	0.5	2	11027.562036000001	3187.9245475166676	42949368	1358	4	16	16	120	shared
dynamic	60	0.5	3	8832.721883	2594.723635274999	42213276	1335	4	16	16	120	shared
control	150	0	1	1822.119558	1306.7099943445378	3808476	119	0	0	69	119	shared
control	150	0	2	1900.574692	1379.030435016807	3808476	119	0	0	71	119	shared
control	150	0	3	1817.37959	1297.873616647059	3808476	119	0	0	69	119	shared
fixed	150	0	1	840.619505	499.2807297000001	17826228	564	7	7	7	120	shared
fixed	150	0	2	817.834129	497.483554575	17826228	564	7	7	7	120	shared
fixed	150	0	3	899.518022	492.7569995833331	18402300	582	7	7	7	120	shared
dynamic	150	0	1	3489.9216499999998	1659.8576094833338	46629828	1473	7	16	16	120	shared
dynamic	150	0	2	3458.552732	1656.3933762416668	46629828	1473	7	16	16	120	shared
dynamic	150	0	3	3459.0327190000003	1656.1201276083332	46629828	1473	7	16	16	120	shared
control	150	0.5	1	2073.75162	1529.0888317647066	3808476	119	0	0	71	119	shared
control	150	0.5	2	2348.2519540000003	1578.4858590840338	3808476	119	0	0	70	119	shared
control	150	0.5	3	10601.661036	7795.6683111344555	3808476	119	0	0	79	119	shared
fixed	150	0.5	1	1419.690563	490.4447130333335	20578572	650	7	7	7	120	shared
fixed	150	0.5	2	1405.313597	478.8846159333334	20450556	646	7	7	7	120	shared
fixed	150	0.5	3	1797.81635	598.7597371500001	21986748	694	7	7	7	120	shared
dynamic	150	0.5	1	14237.681335	6164.564714858334	47461932	1499	7	16	16	120	shared
dynamic	150	0.5	2	18356.688267999998	5712.783378225003	42533316	1345	7	16	16	120	shared
dynamic	150	0.5	3	16560.336782	4385.662082958334	47333916	1495	7	16	16	120	shared
