arm	rtt_nom_ms	loss_pct	run	path_rtt_ms	p95_lateness_ms	mean_lateness_ms	frac_steps_late	p95_wait_ms	mean_wait_ms	bytes_on_wire	asks_sent	unique_frames_asked	duplicate_asks	d_min_observed	d_max_observed	peak_outstanding	wait_samples	stream_mode	drain_incomplete	depth_saturated
dynamic	20	0	1	469	1615.578348	921.6673734117646	0.7478991596638656	464.267453	240.73320030252097	2560320	80	80	823	16	16	16	119	shared	0	1
fixed	20	0	1	469	1616.9941159999998	921.4962462857143	0.7478991596638656	463.204686	240.66130230252097	2560320	80	80	823	16	16	16	119	shared	0	0
control	20	0	1	469	1521.9107510000001	992.9560471008399	0.9747899159663865	1511.6919850000002	757.654477890756	2560320	80	80	36	0	0	59	119	shared	0	0
dynamic	20	0	2	469	1614.109481	920.1437086218486	0.7478991596638656	463.489957	240.88548368907573	2560320	80	80	823	16	16	16	119	shared	0	1
fixed	20	0	2	469	1610.266548	917.6378119159664	0.7478991596638656	464.48265399999997	240.72792640336132	2560320	80	80	823	16	16	16	119	shared	0	0
control	20	0	2	469	1521.214463	991.1947351260504	0.9747899159663865	1510.402037	756.5154794957984	2560320	80	80	36	0	0	59	119	shared	0	0
dynamic	20	0	3	469	1612.387946	919.7513022941177	0.7478991596638656	466.77452600000004	240.8331837478992	2560320	80	80	823	16	16	16	119	shared	0	1
fixed	20	0	3	469	1627.3540180000002	929.5861507142858	0.7478991596638656	471.62692699999997	240.7423171260504	2560320	80	80	823	16	16	16	119	shared	0	0
control	20	0	3	469	1518.4229139999998	991.6131867983191	0.9747899159663865	1515.522491	756.9070771764706	2560320	80	80	36	0	0	59	119	shared	0	0
dynamic	20	0.5	1	479	2968.5643769999997	1441.195236840336	0.7058823529411765	784.2609980000001	342.44192134453795	2560320	80	80	655	11	16	16	119	shared	0	1
fixed	20	0.5	1	479	1760.398469	1020.9192791428574	0.7478991596638656	677.056369	213.5680618991597	2560320	80	80	886	16	16	16	119	shared	0	0
control	20	0.5	1	479	1753.427772	1055.9098496302522	0.9747899159663865	1752.485054	788.0281932521004	2560320	80	80	36	0	0	58	119	shared	0	0
dynamic	20	0.5	2	479	1791.448237	914.9558267142853	0.6890756302521008	703.422899	237.2336666638655	2560320	80	80	719	16	16	16	119	shared	0	1
