arm	fixture	rtt_ms	depth	run	mbps	p95_wait_ms	peak_outstanding	asks_sent
S	frames_250k	20	1	1	4.800	0.00	1	13
S	frames_250k	20	1	2	4.800	0.00	1	13
S	frames_250k	20	1	3	4.800	0.00	1	13
S	frames_250k	20	2	1	8.000	0.00	2	22
S	frames_250k	20	2	2	8.000	0.00	2	22
S	frames_250k	20	2	3	8.000	0.00	2	22
S	frames_250k	20	3	1	8.000	0.00	3	23
S	frames_250k	20	3	2	8.000	0.00	3	23
S	frames_250k	20	3	3	8.000	0.00	3	23
S	frames_250k	20	4	1	8.000	0.00	4	24
S	frames_250k	20	4	2	8.000	0.00	4	24
S	frames_250k	20	4	3	8.000	0.00	4	24
S	frames_250k	20	6	1	7.600	0.00	6	25
S	frames_250k	20	6	2	7.600	0.00	6	25
S	frames_250k	20	6	3	7.600	0.00	6	25
S	frames_250k	20	8	1	7.600	0.00	8	27
S	frames_250k	20	8	2	7.600	0.00	8	27
S	frames_250k	20	8	3	7.600	0.00	8	27
S	frames_250k	20	12	1	7.600	0.00	12	31
S	frames_250k	20	12	2	7.200	0.00	12	30
S	frames_250k	20	12	3	7.600	0.00	12	31
S	frames_250k	20	16	1	7.600	0.00	16	35
S	frames_250k	20	16	2	7.600	0.00	16	35
S	frames_250k	20	16	3	7.600	0.00	16	35
P	frames_250k	20	1	1	4.800	0.00	1	13
P	frames_250k	20	1	2	4.800	0.00	1	13
P	frames_250k	20	1	3	4.800	0.00	1	13
P	frames_250k	20	2	1	6.800	0.00	2	19
P	frames_250k	20	2	2	6.800	0.00	2	19
P	frames_250k	20	2	3	6.800	0.00	2	19
P	frames_250k	20	3	1	7.600	0.00	3	22
P	frames_250k	20	3	2	7.200	0.00	3	21
P	frames_250k	20	3	3	7.600	0.00	3	22
P	frames_250k	20	4	1	7.200	0.00	4	22
P	frames_250k	20	4	2	7.200	0.00	4	22
P	frames_250k	20	4	3	7.200	0.00	4	22
P	frames_250k	20	6	1	7.600	0.00	6	25
P	frames_250k	20	6	2	7.600	0.00	6	25
P	frames_250k	20	6	3	7.600	0.00	6	25
P	frames_250k	20	8	1	6.800	0.00	8	25
P	frames_250k	20	8	2	6.800	0.00	8	25
P	frames_250k	20	8	3	6.800	0.00	8	25
P	frames_250k	20	12	1	4.800	0.00	12	24
P	frames_250k	20	12	2	4.800	0.00	12	24
P	frames_250k	20	12	3	5.200	0.00	12	25
P	frames_250k	20	16	1	6.400	0.00	16	32
P	frames_250k	20	16	2	6.400	0.00	16	32
P	frames_250k	20	16	3	6.400	0.00	16	32
Q	frames_250k	20	1	1	4.400	0.00	1	12
Q	frames_250k	20	1	2	4.800	0.00	1	13
Q	frames_250k	20	1	3	4.800	0.00	1	13
Q	frames_250k	20	2	1	8.000	0.00	2	22
Q	frames_250k	20	2	2	8.000	0.00	2	22
Q	frames_250k	20	2	3	7.600	0.00	2	21
Q	frames_250k	20	3	1	8.000	0.00	3	23
Q	frames_250k	20	3	2	8.000	0.00	3	23
Q	frames_250k	20	3	3	8.000	0.00	3	23
Q	frames_250k	20	4	1	7.600	0.00	4	23
Q	frames_250k	20	4	2	8.000	0.00	4	24
Q	frames_250k	20	4	3	7.600	0.00	4	23
Q	frames_250k	20	6	1	7.600	0.00	6	25
Q	frames_250k	20	6	2	7.200	0.00	6	24
Q	frames_250k	20	6	3	7.200	0.00	6	24
Q	frames_250k	20	8	1	7.200	0.00	8	26
Q	frames_250k	20	8	2	7.600	0.00	8	27
Q	frames_250k	20	8	3	6.800	0.00	8	25
Q	frames_250k	20	12	1	7.600	0.00	12	31
Q	frames_250k	20	12	2	6.400	0.00	12	28
Q	frames_250k	20	12	3	6.800	0.00	12	29
Q	frames_250k	20	16	1	6.800	0.00	16	33
Q	frames_250k	20	16	2	6.400	0.00	16	32
Q	frames_250k	20	16	3	6.000	0.00	16	31
S	frames_32k	20	1	1	0.973	0.00	1	20
S	frames_32k	20	1	2	0.973	0.00	1	20
S	frames_32k	20	1	3	1.024	0.00	1	21
S	frames_32k	20	2	1	2.151	0.00	2	44
S	frames_32k	20	2	2	2.253	0.00	2	46
S	frames_32k	20	2	3	2.304	0.00	2	47
S	frames_32k	20	3	1	3.738	0.00	3	76
S	frames_32k	20	3	2	3.482	0.00	3	71
S	frames_32k	20	3	3	3.687	0.00	3	75
S	frames_32k	20	4	1	4.916	0.00	4	100
S	frames_32k	20	4	2	5.018	0.00	4	102
S	frames_32k	20	4	3	5.018	0.00	4	102
S	frames_32k	20	6	1	7.271	0.00	6	148
S	frames_32k	20	6	2	7.066	0.00	6	144
S	frames_32k	20	6	3	6.964	0.00	6	142
S	frames_32k	20	8	1	8.193	0.00	8	168
