delay_ms	rate_mbps	loss_pct	trace	scale	rep	lag_ms	strand	cens_frac	cdrop	p95	nz_n	frames	admissible
25	20	0.1	radiologist_review_500	1	1	1.5	155	0.0000	0	97.26	377	654	yes
25	20	0.1	radiologist_review_500	2	1	1.3	30	0.0000	0	81.69	113	655	yes
25	20	0.1	radiologist_review_500	4	1	0.9	0	0.0000	0	81.69	57	655	no
25	20	0.1	radiologist_review_500	8	1	1.3	0	0.0000	0	80.90	54	655	no
25	20	0.0	radiologist_review_500	1	1	2.0	153	0.0000	0	91.16	378	654	yes
25	20	0.0	radiologist_review_500	2	1	1.1	30	0.0000	0	80.93	115	655	yes
25	20	0.0	radiologist_review_500	4	1	0.6	0	0.0000	0	82.48	55	655	no
25	20	0.0	radiologist_review_500	8	1	0.9	0	0.0000	0	81.72	54	655	no
25	20	1.0	radiologist_review_500	1	1	1.8	263	0.0308	67	1915.21	617	297	no
25	20	1.0	radiologist_review_500	2	1	0.8	363	0.0000	0	1355.31	592	412	yes
25	20	1.0	radiologist_review_500	4	1	1.1	75	0.0000	0	488.70	145	649	yes
25	20	1.0	radiologist_review_500	8	1	1.0	0	0.0000	0	83.65	54	655	no
25	20	0.1	radiologist_review_500	1	1	1.6	161	0.0000	0	96.81	383	654	yes
25	20	0.1	radiologist_review_500	1	2	1.3	162	0.0000	0	92.49	381	653	yes
25	20	0.1	radiologist_review_500	1	3	1.4	173	0.0000	0	110.93	403	654	yes
25	20	0.0	radiologist_review_500	1	1	1.8	162	0.0000	0	100.23	384	653	yes
25	20	0.0	radiologist_review_500	1	2	1.3	153	0.0000	0	96.45	383	654	yes
25	20	0.0	radiologist_review_500	1	3	1.8	156	0.0000	0	94.45	378	654	yes
25	20	1.0	radiologist_review_500	4	1	1.0	46	0.0000	0	191.27	115	653	yes
25	20	1.0	radiologist_review_500	4	2	0.9	39	0.0000	0	173.19	103	654	yes
25	20	1.0	radiologist_review_500	4	3	2.0	14	0.0000	0	85.25	71	655	yes
25	20	0.0	radiologist_review_500	4	1	1.1	0	0.0000	0	81.53	57	655	no
25	20	0.0	radiologist_review_500	4	2	1.4	0	0.0000	0	81.87	55	655	no
25	20	0.0	radiologist_review_500	4	3	0.8	0	0.0000	0	82.49	58	655	no
