cell	rep	rate_mbps	delay_ms	loss_pct	queue_pkts	dwell_ms	flow_a	flow_b	a_bytes	b_bytes	a_mbps	b_mbps	a_share	jain
qcubic_qcubic	1	5	25	0.0	500	30000	quic_cubic	quic_cubic	8896556	8768548	2.372	2.338	0.5036	0.9999
qbbr_qbbr	1	5	25	0.0	500	30000	quic_bbr	quic_bbr	4736296	12992812	1.263	3.465	0.2671	0.8218
qcubic_tcp	1	5	25	0.0	500	30000	quic_cubic	tcp_cubic	13440840	3506176	3.584	1.038	0.7754	0.7673
qbbr_tcp	1	5	25	0.0	500	30000	quic_bbr	tcp_cubic	9728608	7143424	2.594	2.116	0.5507	0.9898
qcubic_qcubic	2	5	25	0.0	500	30000	quic_cubic	quic_cubic	8896556	8768548	2.372	2.338	0.5036	0.9999
qbbr_qbbr	2	5	25	0.0	500	30000	quic_bbr	quic_bbr	9856616	7744484	2.628	2.065	0.5600	0.9858
qcubic_tcp	2	5	25	0.0	500	30000	quic_cubic	tcp_cubic	13376836	3637248	3.567	1.077	0.7681	0.7767
qbbr_tcp	2	5	25	0.0	500	30000	quic_bbr	tcp_cubic	11648728	5275648	3.106	1.563	0.6653	0.9015
qcubic_qcubic	3	5	25	0.0	500	30000	quic_cubic	quic_cubic	8896556	8768548	2.372	2.338	0.5036	0.9999
qbbr_qbbr	3	5	25	0.0	500	30000	quic_bbr	quic_bbr	4864304	12736796	1.297	3.396	0.2764	0.8333
qcubic_tcp	3	5	25	0.0	500	30000	quic_cubic	tcp_cubic	13120820	3604480	3.499	1.068	0.7662	0.7791
qbbr_tcp	3	5	25	0.0	500	30000	quic_bbr	tcp_cubic	7680480	9109504	2.048	2.698	0.4316	0.9816
qcubic_qcubic	1	5	25	0.0	20	30000	quic_cubic	quic_cubic	9792612	7808488	2.611	2.082	0.5564	0.9875
qbbr_qbbr	1	5	25	0.0	20	30000	quic_bbr	quic_bbr	7808488	9088568	2.082	2.424	0.4621	0.9943
qcubic_tcp	1	5	25	0.0	20	30000	quic_cubic	tcp_cubic	12736796	4915200	3.396	1.456	0.7000	0.8621
qbbr_tcp	1	5	25	0.0	20	30000	quic_bbr	tcp_cubic	17089068	98304	4.557	0.029	0.9937	0.5064
qcubic_qcubic	2	5	25	0.0	20	30000	quic_cubic	quic_cubic	9856616	7808488	2.628	2.082	0.5580	0.9867
qbbr_qbbr	2	5	25	0.0	20	30000	quic_bbr	quic_bbr	10816676	6144384	2.884	1.639	0.6377	0.9295
qcubic_tcp	2	5	25	0.0	20	30000	quic_cubic	tcp_cubic	12160760	5537792	3.243	1.640	0.6641	0.9028
qbbr_tcp	2	5	25	0.0	20	30000	quic_bbr	tcp_cubic	16961060	98304	4.523	0.029	0.9936	0.5064
qcubic_qcubic	3	5	25	0.0	20	30000	quic_cubic	quic_cubic	10816676	6784424	2.884	1.809	0.6145	0.9501
qbbr_qbbr	3	5	25	0.0	20	30000	quic_bbr	quic_bbr	8320520	8832552	2.219	2.355	0.4851	0.9991
qcubic_tcp	3	5	25	0.0	20	30000	quic_cubic	tcp_cubic	12032752	5537792	3.209	1.640	0.6617	0.9053
qbbr_tcp	3	5	25	0.0	20	30000	quic_bbr	tcp_cubic	17025064	98304	4.540	0.029	0.9936	0.5064
qcubic_qcubic	4	5	25	0.0	20	30000	quic_cubic	quic_cubic	6656416	10816676	1.775	2.884	0.3810	0.9464
qbbr_qbbr	4	5	25	0.0	20	30000	quic_bbr	quic_bbr	8768548	8000500	2.338	2.133	0.5229	0.9979
qcubic_tcp	4	5	25	0.0	20	30000	quic_cubic	tcp_cubic	12864804	4620288	3.431	1.368	0.7149	0.8441
qbbr_tcp	4	5	25	0.0	20	30000	quic_bbr	tcp_cubic	17089068	65536	4.557	0.019	0.9958	0.5043
qcubic_qcubic	5	5	25	0.0	20	30000	quic_cubic	quic_cubic	6400400	11072692	1.707	2.953	0.3663	0.9333
qbbr_qbbr	5	5	25	0.0	20	30000	quic_bbr	quic_bbr	7616476	9216576	2.031	2.458	0.4525	0.9910
qcubic_tcp	5	5	25	0.0	20	30000	quic_cubic	tcp_cubic	12864804	4620288	3.431	1.368	0.7149	0.8441
qbbr_tcp	5	5	25	0.0	20	30000	quic_bbr	tcp_cubic	16961060	131072	4.523	0.039	0.9915	0.5086
