seg	rep	shape	dwell_ms	fill_bytes	fill_frames	wall_s	mbps	srv_cpu_s	srv_cpu_frac	cpu_us_per_MB
10	1	off	15000	91333708	1427	15.15	48.711	1.580	0.1043	17299
32	1	off	15000	90437652	1413	15.15	48.233	1.700	0.1122	18797
10	2	off	15000	89221576	1394	15.15	47.585	1.790	0.1181	20062
32	2	off	15000	90629664	1416	15.16	48.336	1.710	0.1128	18868
10	3	off	15000	91205700	1425	15.16	48.643	1.490	0.0983	16337
32	3	off	15000	92293768	1442	15.16	49.223	1.530	0.1009	16578
10	4	off	15000	91525720	1430	15.16	48.814	1.800	0.1188	19667
32	4	off	15000	89925620	1405	15.15	47.960	1.680	0.1109	18682
10	5	off	15000	91461716	1429	15.16	48.780	1.590	0.1049	17384
32	5	off	15000	89861616	1404	15.15	47.926	1.700	0.1122	18918
